9854699,52087264,范文优,听了第一句果断点叉叉关掉。妈的太不吉利了，哥跑船的。,12.4万,2015年2月1日
6095632,39598514,大仁儿,七月底独自去武汉旅游时，认识了一个和我一样独身一人来武汉玩的女孩。我们去户部巷吃热干面 去昙华林装逼 去黎黄坡路的lisahouse 去逛租界 在黄鹤楼下抽着黄鹤楼。临别的前一天我们去看了后会无期 坐到最后才走。我们笑着调侃真的是后会无期了 什么时候还能再见面呢,78449,2014年11月21日
4720512,37485325,草莓昕,仿佛做了很长一个梦 最后转过头对着模糊的身影说了声再见“所以告别的时候一定要用力一点因为你不知道多看的这一眼 可能就是最后一眼多说的这一句话 可能就是最后一句话”,30913,2014年10月6日
5526291,1600456,小银酱Fun,写马航的稿子的时候，一直单曲循环这首歌 觉得家属们的等待就像这首歌一样，不知道他们为何离去，不知道这竟是结局,21269,2014年11月6日
15580021,338724,McJohny,4月来东极岛，遇到一个内蒙古的女生，我们住在同一间旅舍，然后一起去礁石上海钓，一起坐在观景台上的台阶上等了两次日出，一起去徒步环岛，我的水喝光了之后给我喝她的水。今天她要离开这个海岛了，我决定再留一天。在北岙码头送她上船的时候说着后会有期，但我心里知道，我们后会无期了吧。,18752,2015年4月18日
17096416,50523259,天生低能,听起这歌，就让我想起前不久去武汉某洗浴中心光顾的一个技师，长的很像邓紫棋，她还笑着说就因为大家都说她像邓紫棋，所以她的号码是777。,16979,2015年5月3日
5300682,906455,NeverEverBeing,有那么一些歌：自己喜欢，却不太接受在别的公共场合听到——就像击中了软肋一样……,15917,2014年10月30日
24361219,45682509,帐号已注销,现在寝室就剩我一个人了，毕业季，真是没有实感。看着一个个干净的床铺。也的确是后会无期了吧。,14826,2015年6月30日
20578893,53253425,时间过敏者,当一艘船沉入海底，当一个人成了迷。愿这次在长江沉船事故中的人们，生者坚强，逝者安息。,10054,2015年6月3日
20453788,40577653,warshion,#东方之星沉船事故#【南京开往重庆客轮在长江湖北段倾覆 载有458人】6月1日约21：28，一艘从南京驶往重庆的客船在长江中游湖北监利水域沉没。出事船舶载客458人，其中内宾406人、旅行社随行工作人员5人、船员47人。目前已搜救11人，其中10人生还。还有447人成了迷。,8948,2015年6月2日
11309074,55041554,月牙湾畔,邓紫棋的声音特别的悠扬，仿佛在一条笔直的奔向天际的公路里一辆破烂的吉普车，摇摇晃晃的驶向看不见的尽头。,7489,2015年2月24日
5357404,37570285,帐号已注销,深夜听这首歌，想起博尔赫斯的一句话：上帝的长夜没有尽期，你的肉体只是时光，不停流逝的时光，你不过是每一个孤独的瞬息。,4998,2014年10月31日
5475860,18793228,丫丫玛利亚,那首是原唱，这是翻唱顺便翻译中文,4864,2014年11月5日
7760168,40414810,往忆云姻月,痴情——只会毁了你的生活，甚至毁了你的生命！！！忘记烦恼、振作精神、迎接明天的太阳。人生的坐标出现偏差不要紧，重要的是要及时纠正。学会与烦恼说“后会无期”,4193,2014年12月27日
20987893,62573030,munyamunya,看着东方之星的新闻 突然想起了这首歌。当一艘船沉入海底 当一个人成了谜 你不知道 他们为何离去 那声再见竟是他最后一句。愿逝者安息。,2360,2015年6月6日
