4983373,1375689,上山下海哎呦喂,作曲 : 李荣浩。,12.5万,2014年10月18日
19493122,49690672,Ethan爱吃烤面筋,买了包精美的薯片，我妈训斥，这是膨化食品，不许吃。薯片哭着对我说：原谅膨化的我盛装出席只为错过你...,90404,2015年5月25日
132022512,98102767,古德奈特先生,结婚时也给我张请柬吧。开心的，难过的，生气的，温柔的，你所有的样子我都见过，就想最后见见你不属于我的样子。,68578,2016年3月21日
5840039,39130820,kahei的海,李荣浩出品，必属精品。,45841,2014年11月15日
145509650,77454815,狂暴军医,七年后，你结婚了。听说那天新娘很美，眉眼温柔。听说那天你爸妈很高兴，让你拉着新娘的手挨桌敬酒，你从前是一杯倒，如今却怎么喝也醉不了。兄弟们凑到一起，开你和新娘的玩笑，新娘娇羞的笑，你却忽然神情恍惚，因为你不合时宜的想起，以前你拉着的另一只手，还说要天荒地老。,36175,2016年4月24日
5352667,7304126,yzhf,原谅捧花的我盛装出席只为错过你， 目送洁白纱裙路过我对他说我愿意。。。写出了多少真实的场景…………,34092,2014年10月31日
5143941,16513218,冬日凉悠悠,虽然不喜欢陈学冬，但是这首真的很棒,29628,2014年10月25日
8759824,29296612,山阴路八楼的万青,李荣浩一脸高冷的人写出这么温柔的旋律也真是没想到 希望你踢馆成功呀 千万不要一轮游！晚安,27399,2015年1月14日
47670784,5925693,仙女與樹,在微博上看到黄宗泽说要盛装出席胡杏儿婚礼的消息时脑海里只浮现出这一句:原谅捧花的我盛装出席只为错过你,25333,2015年11月18日
58481155,33415611,H愿无岁月可回头,有人说《小时代》很作很矫情，但是谁的青春多年之后看来不作不矫情呢？,20270,2016年1月2日
5390415,33993810,莪是Z小姐,曾经说好要天荒地老，如今你已娶我已嫁，就让我们就此错过吧。。。,16268,2014年11月2日
5501069,37692407,L-哥哥,原谅捧花的我盛装出席只为错过你。,14132,2014年11月6日
24874146,77220264,千寻和芝士挞,作曲真的好 我知道用网易的旁友逼格都比较高 但我真的很觉得陈学冬唱的不错,12635,2015年7月4日
5181049,38218655,鸭翅爱上胃,我想大言不惭卑微奢求来世再爱你，希望每晚星亮入梦时有人来代替我 吻你。,11160,2014年10月26日
1066103481,417826611,渎职_,一大早起来听这首歌……穿上西装 准备去参加她的婚礼了……今天男孩要赴女孩最后的约,9077,2018年3月27日
