9202746,17967854,幸福的宝马,谁在右声道弹棉花？？,14.8万,2015年1月22日
12090068,5772791,龙从东方而来,当我垂垂老矣，静坐一藤椅，手捧一册诗集，蝉声伴随着流云流淌过心田，往事一一浮现于眼前，再逐渐烟消云散。当我阖上双眼，恍然明了，一切生死皆为浮尘，只是记忆不朽。这便是我的桑榆暮景了罢。,79884,2015年3月7日
146681536,114783061,账号即将失效,有时候打动我的不是歌曲本身，而是这些写入心扉的评论，，，，，,48606,2016年4月27日
627638333,434597217,婪污,曾经一直好奇私人FM怎么没有 上一首 这个按键，现在终于懂了。——“喜欢只在一瞬间，错过了便不再回来”,41723,2017年11月29日
142614114,114861679,幻丶歌,到哪都是听出二胡的 都庸俗 这马头琴拉的不错,40937,2016年4月16日
284622728,250898686,幸福的小潘恩,我的婚礼就用了这首音乐 特别特别大气，太喜欢！,34334,2017年1月10日
377508270,254451369,-你是碳水化合物z,路过老妈的早点摊，顺手拿了2个包子就走，就在这时，一菇凉看我拿包子不给钱，也跟着拿了2个就走。被我妈一把拽住，“你这姑娘拿包子怎么不给钱？”菇凉说，“刚才那人不也没给钱吗？”“他是我儿子啊，你是谁？”“我是他女朋友！”最后她真的成了我的女朋友……,33511,2017年5月8日
11829885,32094722,葬思之处,还是3D录制，讨厌，我以为身后有人,25134,2015年3月3日
216315655,324018586,止于终老07,昨天，我向她求婚了，亲手为她带上了戒指，,24477,2016年9月18日
131509636,106418471,仰视与俯视,全部收藏起来，也许当我老了的那一天，一个人静静的坐在香樟树下，没有家人朋友的陪伴，一个人孤独的听着自己喜欢的歌，翻着那些曾经注满无数记忆的照片，开心着，回忆着，想象着，循环着，孤独着，直到生命的终点。,23970,2016年3月19日
41411829,62666259,吃着饭扯着蛋,二胡和弹棉花，演奏者虽然是位外国人，但很巧妙地把这两个中国元素糅合在一起,16505,2015年10月18日
368850127,297563319,紟-_-,有一天和朋友出去吃饭，遇到一美女服务员 。于是调侃：“妹纸，你知道你长的像谁吗？”“像谁？”“我舅舅家的外甥媳妇。” 朋友都捂嘴偷笑。“不会吧？”妹纸一脸呆萌。吃过饭结账的时候，妹子频频看我。迟钝的妹子终于反应过来了😁,16480,2017年4月29日
1101102482,419576132,书逸尊宸,当这首歌响起时，我转头看向正在少女之年的她，我心里轻轻荡漾，脸上微红，笑了一下道:“春天来了，我想告白。”她呆萌的道:“向谁告白啊？”“你啊”我捏了捏她的鼻子笑道。她听见怔了一下，道:“我家人不会同意的”“谁不同意啊，”我有点怨气道。我老公,13681,2018年4月29日
14488226,56680754,迟连群,明明是duang～,13629,2015年4月6日
1532827340,378356063,-不漏声色,昨晚去吃火锅，看见火锅店的墙上提醒，羊是自己养的🐑菜是自己种的🌱油是自己榨的，提醒顾客放心使用。买单的时候我，悄悄告诉老板，钱是我自己印的，请放心使用🌚，老板追了我好几条街没追上，真有意思，腿是我自己长的，想往哪里跑就往哪里跑，🙈陌生人，如果你笑了，那我祝你2019年一切顺利,8313,2019年6月23日
