8259290,47427759,狐狸公子夜游春,沉醉在养老院生活的垂暮大三狗需要点激励。,18万,2015年1月6日
21111140,32420472,舞清风丶,英文版杨坤,14.2万,2015年6月6日
49789621,56463770,竹不怕出名怕壮,说像杨坤的害我听着歌满脑子都是杨坤,71107,2015年11月28日
10358951,49784049,顾倾,Gavin DeGraw的声音虽然单薄但由此使得他的声音张力十足，就好像橡皮筋一样，穿透力也不是Will Young和Maroon 5的主唱可以比拟的。在他的歌曲中，低音下浅的不算太足但出色的爆发力使他的声音在中高音域绝对刺激了每个人的神经,44075,2015年2月8日
148418583,260046097,胜却人间无数的是什么,感觉以后找男朋友相亲的话，第一句问的一定是你用什么播放器听歌,41868,2016年5月1日
146508888,93512304,HunKer_Sun,距高考42天，我不想要多么耀眼的分数，只想不辜负复读这一年的苦难和高中四年的痛苦。,30378,2016年4月26日
151272572,112052606,木子方糖,网易有毒，大清早起来，穿着球服睡衣，走路都有节奏感，点头，摔头，撩头发，分分钟被自己迷倒。,25749,2016年5月8日
7027266,35519100,氿渔,只前奏就秒了,19530,2014年12月12日
142481934,100927642,家名花花,今天跟朋友分享这首我单曲循环很久的歌 他竟然说不好听 友谊的小船我看是要翻一翻了,17507,2016年4月16日
137853405,105798677,这个haoma作废,到了现在这个年纪，确实谁都不想再取悦了，跟谁在一起舒服就和谁在一起，包括朋友也是，累了我就躲远一点，你喜欢我，我喜欢你，那么我们就在一起，如果我们都不喜欢就不要勉强，已经过了那个你不喜欢我我也非要喜欢你的年纪，更多的是，如果你喜欢我，那我也试着喜欢你好了、,13976,2016年4月4日
392386094,278243969,青絲如墨氵,👿喂，119吗？这里起火了！本人自燃……,9910,2017年5月25日
127266144,31916767,Maan_,2015听着这个来往于家和图书馆，12.26听着这个在去考场的路上。此时此刻，听着这个准备着研究生复试。,8391,2016年3月8日
444023130,425053446,弋未,高三最难熬的日子，每天晚上一边洗澡一边听这首歌。一个人在浴室里像个疯子一样手舞足蹈。高考前两个月右手腕被玻璃划拉出两道大口子，差点划破手筋，已经忘了那段日子是怎么过来的，只记得每天循环n遍的这首歌。走过的日子已记不太清，we are the champion的呐喊依旧回响。,7565,2017年6月19日
1340677926,36869657,梦如南筏_囚我终老,用个播放器竟用出了优越感，并且还有这么多人赞，我个人认为这是一种病态的思想。好的音乐从来都不是播放器给我找的，在某一瞬间某一个音符让我觉得欢心，我都会为那首歌点上红心。,6341,2018年12月29日
1333774212,1313075174,童话镇薄荷er1712,秀的我措手不及[多多笑哭],4569,2018年12月21日
