5193243,14145438,李会长我还是你的声控呀,一听到这个，就想到kobe的苦情圣脸。。,14336,2014年10月27日
24660851,45664375,乐随享-,有一种男人叫卓sir，有一种女人叫钉姐，有一种爱叫kobe，有一种帅叫爆seed，有一种兄弟叫木虱，有一种牺牲叫欢喜，有一种忠心叫猜Fing，有一首歌叫越难越爱，有部剧叫使徒行者。黑帮里都是卧底，警察里都是黑警，只有猜Fing一人在认认真真混黑社会，其他人都是骗纸！！！骗纸骗纸！,13956,2015年7月2日
11906852,54898570,Jessica败给了忧伤,五年前我远赴美国，邂逅了我最幸福的时光和他。为了和他蹩脚的普通话沟通，我学会了粤语。五年后的今天，和我在一起的只有粤语和一世都无法忘怀的记忆，却没了他。粤语之于我，是一份情怀，是眼泪，是回忆，是勇气，也是祭奠..,10608,2015年3月5日
5118456,2942331,U胖儿,这首歌每次响起就是有狗血剧情了。。,7237,2014年10月24日
5936603,9494206,Prins,Kimi：爸比，你会唱小星星吗？小志：不会啊。Kimi：那我教你好了。小志：好啊。Kimi：无惧世事变改，还是越难越爱……小志：……,6144,2014年11月17日
5063932,30873672,一点不全能,看完了全部，警察全是黑警，黑社会全是卧底，只有猜fing是真正一心一意混黑社会的，全是骗子,5845,2014年10月22日
35447710,87973552,远hz,前几个评论是什么情况？使徒可以说是近几年最火的港剧了，比大陆的傻白甜剧好多了吧,3894,2015年9月10日
5040181,38027464,GBTAN_,无负跳入爱海，沉重越来越爱 就是这句歌词，循环到停不下来,2642,2014年10月20日
69268001,113680246,八十块钱环游世界,绝对是TVB的铁粉，从《难兄难弟》开始至今已经看了183部剧了。,1806,2016年2月9日
39029369,90061951,HARU99,最烦评论那些“只有我觉得什么什么怎么样吗”…对对对就只有你，不喜欢滚一边去ok？！,1494,2015年10月4日
139897066,133795492,急躁的小欧,林峯，永远的爆seed哥 ！无人能替代你在我心目中的位置。,1346,2016年4月9日
68859284,44258089,我想成为神经病,我向很多人推荐过网易云音乐，也向你推荐过，你说，我觉的我现在的播放器也不错，你说，我是不是挺偏执的。我想，无论你怎样我都是那么喜欢你。虽然最后我们没有在一起。或许有一天，你无端用起这个播放器，又碰巧听到这首歌，会看到我评论里的你。,1017,2016年2月8日
124841795,127687257,咣咩,高三在紧张的备考阶段，班上的女生晚上都在被窝里偷偷追使徒行者，外宿的女生负责每天下午回家把更新下载到手机然后晚自习的时候一群女生把手机放抽屉里一边写作业一边看蓝牙传输了多少。。。现在大学了，却真的怀念高中时代半夜躲在厕所蹲坑看电视剧的日子,765,2016年2月29日
143266771,105055328,用户105055328,看完《使徒行者》的那一天距离今天已经有一个月多了虽说是港剧警匪片的重度沉溺者但在此之前未曾有过一部对我影响如此深的港剧从三部《法证先锋》到《无间道》第一部再到《好心作怪》《护花危情》《潜行狙击》《雷霆扫毒》等，《使徒行者》是唯一让我听着主题曲会更坚定内心意志的港剧警匪片。,418,2016年4月18日
149418737,75170029,RockCoke,电视剧一言不合就BGM,274,2016年5月4日
491274439,498331188,秦淮_k,马上要异地了 一个月才能见一次 我上课错过了还见不到 即使这样 我还想要好好爱他 。和他在一起 越难越难爱熬过去就是真爱 熬不过去那便是无缘 ❤,175,2017年7月30日
491150253,528572256,Airong2889,从头到尾看完使徒行者,60,2017年7月30日
491070993,289592419,莫向花笺TJU,楼主是不喜欢黄宗泽呀好多他的剧～,42,2017年7月30日
491047601,125706133,糖玉小宝zb,这不正常吗,21,2017年7月30日
491019638,294535256,Alone岚,电影里有 电视剧里没有,8,2017年7月30日
490984483,492061862,年轻的老头9527,做兄弟 在心中,25,2017年7月30日
490943633,369783607,偏糖型人格,当你习惯听歌的时候戴耳机，开始学会一个人吃饭出行，不再那么手舞足蹈和别人分享你的喜怒哀乐，可能就是成熟的开始，不是所有的鱼都生活在一片海里，但你要在你的海里过的有意义。,63,2017年7月30日
490849806,407674241,多么幸运遇见了你,最爱看香港的警匪片，，看的大快人心，演员不仅颜值高，演技同样一级棒,23,2017年7月30日
490834917,62411656,PENGYUANYUE,看到他们拥抱 这首歌再也忍不住要识曲一下,13,2017年7月30日
490707719,335455178,小迪114,太喜欢这首歌了,5,2017年7月30日
490454906,552170292,吕吕吕紫嫣Xx,无需世界变改还是越难越爱。,8,2017年7月30日
490369198,9531389,扫拉西刀1992,,3,2017年7月30日
490351511,452212824,我没空好吧,三年来你都没有进步过，我对你实在太失望了,25,2017年7月30日
490260469,269923729,千叶绘里,我的妈呀 打滚握爪,2,2017年7月30日
490248245,121976639,厕所之妖,我失恋了,6,2017年7月30日
490191514,485553587,乏月时朔,哦，谢谢,1,2017年7月30日
489974802,402683758,WanerChan,没有~这首是电视剧版《使徒行者》，电影版《使徒行者》才有她~,6,2017年7月29日
489909736,451648586,小鹏的魔法小千,别让手放开,2,2017年7月29日
489900741,509168778,流年放肆7,喜欢在喜欢的歌里留下评论，无关外乎，单纯喜欢。,2,2017年7月29日
489900264,313612121,哥没故事看看评论足矣,每次网吧里都是这首歌,0,2017年7月29日
