8096744,1101247,费夕,"你在南方的艳阳里大雪纷飞，我在北方的寒夜里四季如春"，这首歌深刻地点明了北方有暖气南方无暖气所导致的人民矛盾。,28.5万,2015年1月3日
32642525,44917336,ID什么的丨最讨厌了,写歌的人假正经听歌的人最无情人要是矫情起来 听什么都像在唱自己,14.6万,2015年8月24日
34980134,52430344,董浩fantasy,事实上，机场比婚礼现场见证了更多真挚的接吻，医院的墙壁比教堂聆听了更多的祷告,12万,2015年9月7日
5041050,38249762,一个Delpy,循环了很久，在猛然听成“如果天黑之前还来得及，我要挖了你的眼睛”之后，我就没法好好听这首歌了,10.4万,2014年10月20日
22833077,73972960,坏掉的朋友,“我写过一首歌，叫《南山南》，常有人听完后说它太悲伤，接着问起，这首歌里是不是有一个故事。我说，你听到这首歌的时候，它就已经和我无关了，你掉的眼泪，才是只有你自己知道的故事。”,86957,2015年6月19日
5515343,31862798,夏日毛虫,中间插播的是老电影马路天使里的插曲，上世纪红极一时的歌星周璇唱的，那首歌叫四季歌，外婆非常喜欢，曾经花了好几个下午教会了我唱，外婆离开我五年多了，挺感谢马頔写出这支歌，里面又放上这么一小段，那是珍藏在我心底的回忆,51267,2014年11月6日
46386550,92427289,泪水在战壕里决了堤丶,那是在西藏当兵的日子，当时大年初一晚上又站岗，站岗完了肚子好饿。下岗的时候就翻墙到墙外一家村民开的小卖部买了包泡面。用碗泡，结果在吃的时候在桌子上发现了一盘腊肉，好想吃。我就问那个买泡面的:兄弟，我能吃块腊肉下面条不。他说了一句感动一辈子的话:吃吧，把这当家一样。当时眼睛就红了…,50834,2015年11月12日
5182585,39325614,往事如烟君莫笑,民谣歌手的生活走肾，唱作的时候走心,47625,2014年10月26日
53043720,106940499,大梁辟天,外面大雪纷飞…………我说“出去么？”你“……”我说“去散步吧？”你“……”我真的很想和你在大雪纷飞的天空下散步，因为一不小心，我们就白了头。哈哈哈哈哈哈骗你的其实没有下雪也没有你,28664,2015年12月11日
31552248,37629392,_Neptune__,这首歌火了为什么有那么多人酸来酸去，你觉得你小众东西很优越，被我们大众听了就会玷污你们高高在上的品位了吗？,23255,2015年8月17日
5024072,33118493,帐号已注销,有个视频是采访宋胖子，说莉莉安歌词太怪，胖子说他原来写歌有时很纠结，想要表达的表达不出来，不过后来明白了，表达不出来，就放在哪里，因为每一首歌对任何一个人来说，感觉都不一样，就像董小姐，本是写朋友的，大家却听出了爱情。就这样，也许歌词不知所云，但听完了，很感动。这不也是民谣。[可,18006,2014年10月20日
371426552,453532796,Melody-1125,后来发现凉白开喝下去更干净，半夜写出的文字也挺有味道，清晨那碗粥暖胃舒服，痛极后孤立无援的想法更成熟，一路走一路失去也一路拥有，去见你想见的人吧.趁自己还活着.趁她还活着.趁记忆还能将过往呈现.趁时光还没有吞噬你们的思念. --------至 所有人.,17389,2017年5月2日
41943748,85317288,britta说,马頔发消息称“好声音”冠军张磊将自己的《南山南》用于商演，属于侵权行为。创建民谣组织“麻油叶”的马頔（di）是《南山南》的原唱和词曲作者，然而许多网友却说“没张磊唱红这歌我们根本就不知道你”。因为翻唱更红就反对原唱维权，我们是不是像《南山南》里唱的，做了“只对自己说谎的哑巴”？,15906,2015年10月21日
38990218,36174902,岁月是把猪饲料n,生如夏花出来，火了，所以你喜欢听。董小姐发布，流行了，所以你追。南山南唱红了，你又开始喜欢南山南，你喜欢的只是流行，不是民谣，喜欢的是任何人称道的美丽，不是第一次遇到你,14734,2015年10月4日
41253500,37268903,小摄影,现在在大众的眼里，南山南 是张磊的，是那英的。其实南山南一直都是马頔的。正如董小姐一直都是宋冬野的，不是左立的。,14380,2015年10月17日
1242143055,539473201,Dili_Oreo,大雁没了😭😭😭,1605,2018年9月10日
1242152673,427775090,段一生_,再见,881,2018年9月10日
1242130758,1407723945,一枚丢,"有些人就像星星，你抓不住的。",852,2018年9月10日
1242103624,333790537,全球花样抖腿中国赛区总冠军,你们有没有下大雪哭过…,370,2018年9月10日
1242062487,510128499,流翼水封剑,居然不需要会员！,324,2018年9月10日
1242068224,1406788181,刘念很困,一首歌一个故事 歌手唱哭所有有故事的人,159,2018年9月10日
1242078846,51100709,芮文峰,测试,100,2018年9月10日
1242041392,580175842,妖月97,穷民谣,93,2018年9月10日
1242046325,515131140,大白兔白不白_,好好鬼混 不许谈那狗屁的恋爱,208,2018年9月10日
1242051520,432068996,愿你来日方长,下架了 我还没下载呢,262,2018年9月10日
1242043544,453532796,Melody-1125,安好,59,2018年9月10日
1242035665,510076329,那些在夏天盛开的花朵,或许哪天回忆起来就只剩下回忆的画面了吧,57,2018年9月10日
1242030793,382013465,这不是我的名字啦,第一次听他唱歌就是这首，我永远都不会忘记他拿着吉他，坐在前面的样子，今年他去了日本，我们可能没有机会再见面了吧，希望能有人去爱他，让他也爱这个世界，虽然我有小小太阳，却不能再给他正能量了，只是偶尔会想起他,73,2018年9月10日
1242009022,493616062,洪嘻嘻吖,美好的一天从丧开始,48,2018年9月10日
1241992431,58955137,桃白白兽性大发,听说所有摩登天空旗下的艺人歌曲都 要在这里下架了,72,2018年9月10日
1241993242,335789979,熊小雨的食有八酒,摩登天空旗下艺人的版权即将下架网易云，你们快把马頔宋冬野啥的歌曲都下载了吧,111,2018年9月10日
1242004890,441374017,流芳123,你在南方的艳阳里大雪纷飞，我在北方的寒夜里四季如春…,40,2018年9月10日
1241981469,290961541,De2_Chen,在没下架前赶紧下载了,72,2018年9月10日
1241979366,478503557,从你的全世界路过wer,“我梦见 你说我们去看雪去看大草原 我笑得真甜 一下醒来发现全是梦🌙”我曾以为我会忘了你，我发现我忘不了！FMY,33,2018年9月10日
1241976173,117924374,孤酒叹离殇,你太皮了,28,2018年9月10日
