11113927,3535650,飞雪落花,加入人声是防止你们腿抖断了。让你们歇一会儿。用心良苦,16.4万,2015年2月20日
172649766,280387478,wiplmm9,让同桌听了这首歌，同桌说不好听，然后我就换了个同桌,13.6万,2016年6月22日
6030436,16328562,少先队员之惩戒,我这条不争气的腿啊..,81855,2014年11月19日
55084517,100162653,哦皮脸,媳妇怀孕6个月，胎动太频繁，让给放个胎教音乐舒缓一下，我毫不犹豫的打开了unity，然后媳妇不理我了。。,68585,2015年12月20日
124013921,81213261,Yozhen,吃饭的时候听疯狂抖腿，老爸一巴掌扇过来把我耳机都扇飞了。。,54423,2016年2月27日
6960135,45749824,_吕_,扭着腰吃完了十块五的麻辣烫,38878,2014年12月11日
54041786,78336133,帐号已注销,上面有几个糖，问哪个是奶糖！(╯°口°)╯(┴-┴饿又没有吃到嘴里，沃特么知道？(╯°口°)╯(┴-┴四十道验证码，没有一道答对滴！(╯°口°)╯(┴-┴没有没有，一道，一道答对滴！！(╯°口°)╯(┴-┴,37748,2015年12月16日
5208730,9416099,Leexbody,没好耳机，听起来真跟集贸市场里的迪斯科舞厅差不多。,25755,2014年10月27日
23342261,3755077,YoSkrillex,如果没看评论，认为人声是败笔的绝对不会这么多，大多都是跟风，脑子里有了不好听的概念后，继续听就不会觉得好听了。相反，我认为人声非常不错，下面也有很多和我看法一样的人，这说明女声绝对不是槽点。,24380,2015年6月23日
139555275,52521025,一米八八,Someday we'll live as one family in a sweet harmony 想像有天会迎来共产主义的美好未来谁翻译的 站出来 给你一个大拇指,23155,2016年4月9日
5289840,2786402,赵赵赵赵Leon,这感觉就好像含在嘴中的跳跳糖，甜蜜与动感并存，不焦不燥。,20010,2014年10月29日
4931692,39522389,Biu90098小周,雷哥呀，我终于找到歌了,15146,2014年10月16日
66219791,89723324,胖墩小锅盖,光窝验证码，40道题，我么有一道答对！！图片上几个糖，你问我哪个是奶糖，我他妈又么吃到嘴里 我咋知道哪个是奶糖，来铁道部部长我来给你出道题，桌上几杯酒，哪杯是茅台！你答不上来咧吧，你还在这儿出题，问我哪个是奶糖！我就给你设，这么有一杯似茅台，我要似能嚯起茅台，我还坐怂火车🚄,12153,2016年1月30日
14483764,47063139,耳机里的繁星,你们换个好耳机仔细听人声就知道了，人声其实能很好地融入这首歌里，和电音的声音很像，人声结尾还有一小段左右声道的不断变幻渐渐走远，和电音的颤音很像，很有魔幻的感觉，而且让整首歌断开，缓冲一下，不至于单纯的电音高潮到乏味，其实人声才是精髓,10162,2015年4月6日
56307371,87633794,PoWerless_10969,现在听这首满脑子都是“上面有几颗糖，问那个是奶糖”……,8910,2015年12月25日
1303647855,552032927,妹妹你大胆的往前走呀,如果加入人声之后还是不能停止抖呢,1536,2018年11月19日
1303621003,269073252,平安喜乐a__,满脑子都是B站里李云龙跟小田表白的对话😂,525,2018年11月19日
1303619780,493724554,酸奶有点甜丶,“这就是你在试卷上画心电图的理由？”——某老师,552,2018年11月19日
1303554362,40224112,森海塞尔赠品中心,电梯踹不开，要扒开才可以的,595,2018年11月19日
1303554977,316717608,Chieonist_Iwannpleaudfmewkqnin,我是空伐的粉絲,147,2018年11月19日
1303548728,426662237,弑神无月,2分01有惊喜,119,2018年11月19日
1303517985,441872118,叶阳天LD,不要问为什么，厂长是我表哥！！！！！！！,214,2018年11月19日
1303441534,507523325,_好多鱼--,这人啊，一旦接受了某种设定,241,2018年11月19日
1303367776,445306645,此账号昨天己注销,听到人声治好了我多年的抖腿病~~~,101,2018年11月19日
1303308138,466369832,BokuniDeau,吃饭戴耳机即使不抖腿也该扇,107,2018年11月19日
1303299145,532155493,Rem最上,为了防止我听这首歌继续抖腿，我已经把这首歌设为了闹钟,98,2018年11月18日
1303291176,303617963,old-man-disco,告诉我谁是整个lpl最有排面的电老鼠！！！,86,2018年11月18日
1303286654,266636659,渡这山河又如何,坐下坐下,126,2018年11月18日
1303247290,637291043,法兰西小土豆,某天，我们将住在一个如蜂蜜般甜蜜的家里。,84,2018年11月18日
1303205461,495331570,Music-Station,听 云宫迅音 会不会从肚皮里蹦出来？,105,2018年11月18日
1303214828,1602042833,噬魂残影墨染盛夏,手动弹幕最为致命！,129,2018年11月18日
1303136387,1362376874,TA5锦江小壮,鲁班七号无敌之歌,49,2018年11月18日
1303145759,1345689895,24K纯帅-小吴哥,²³³³³³³ 6666666666 厉害了23333 ²³³³³³³³³³³ 2333 666666 ²³³ 666 太牛了！！ ²³³³³³³ 6666666 厉害了23333 ²³³³³³³³³³³ 2333 6666 66666 ²³³³³³³ 6666666,241,2018年11月18日
1303109127,1300680522,Kirahey,笑死我了😂😂😂,80,2018年11月18日
1303111099,47602570,王CC小太阳,超爱人声,30,2018年11月18日
