5023414,16241844,宇智波萝卜头,GALA一直在好好唱歌！,26049,2014年10月20日
202667918,127725462,橘子那么好吃吗,大学时候，宿舍里有个免费座机，一吊丝舍友天天给女朋友打电话聊天，一聊就是半夜，吵得大家都睡不着。有一天我们偷偷的把电话线剪了，结果他还是聊到半夜，当晚我们久久不能入睡。,22387,2016年8月21日
4960442,26967261,吃货太能吃,越过了高山才发现那里的雪莲没有你更纯洁，跨过了海洋才明白那里的飓风没有你更狂野，翻过了青春才发现你流连过的篇章永不凋谢，捱过了四季才明白你就是我追随不落的日月。,19233,2014年10月17日
29437735,65376183,素色如初,这首歌刚出的时候，就特别喜欢，推荐给男朋友听，寒假一群人去唱K，他唱了这首歌，说练了很久特意想唱给我听。一起8年，现在我们分手，他说喜欢上别人，对我没有感觉了，我问什么时候的事，他说上个月。8年抵不过1个月的新鲜感。不知道他现在还记不记得这首歌。,18578,2015年8月4日
27044506,48459287,搁浅de岛,我看着他的网络状态从2G变成4G变成wifi再变成2G如此反复，哦他可能在坐车信号不是很强，他到站了到了市区，但在忙， 他回家了，可能很累，要休息了 。晚安。,11728,2015年7月19日
4995768,3648306,最爱红南京,在今天还能哭着抱着恋人说“我绝对不能失去你”的人.是否有些不合时宜.,10102,2014年10月19日
24908419,14113913,怪兽思维,听了120遍，仍然失去你，曾在夜里被深深的无力感牢牢的扣住，难以适应。可是，失去你又怎样？你看，我现在还活的好好的。,8100,2015年7月4日
69474618,30608704,张菓子,真羡慕那些要死要活的评论，二十多岁了听这种歌没有能回忆的感情,5684,2016年2月10日
5611134,18625453,Aleena,分手唱这首歌应该很催泪,4774,2014年11月9日
9064007,26927704,墨绿色的马丁2,我没放弃，当听到这首歌的时候，我哭了，这就是前段时间我的状态，我只有在晚上或者没人的时候偶尔想想我们的过去，听完这首歌我给你发了一个短信，推荐你听这首歌，就是有一种不服憋屈，别说一个男孩子听一首歌听哭是很丢脸的事那是因为你真的用情了一切都为未确定，最后的就是我心里的呐喊，你等着我,4143,2015年1月19日
65868248,32701062,窗外的牛啃草,一个人有多不正经就能有多深情,4021,2016年1月28日
67268327,95465976,帐号已注销,于家中 拾旧物 思及你 终不遇,3746,2016年2月2日
42596425,3228617,梦里会相遇就毫不犹豫,谁给我唱这首歌我真的会嫁给他。gala认真唱起来情歌那份拙朴赤城又漫不经心，苍老小孩，用情怪物，真让人受不了。太直击人心了。,2292,2015年10月24日
149835729,52637365,帐号已注销,和天蝎分手的人脑子都有屎,755,2016年5月4日
601834084,70536677,Hanatan__,我绝对不能失去你,721,2017年11月1日
601834084,70536677,Hanatan__,我绝对不能失去你,721,2017年11月1日
601780167,298559059,PLAD2,不在一起了，,197,2017年10月31日
601620198,273102787,lIhAn要好好学习,快下载吧,225,2017年10月31日
601468572,538891440,乡下第一撒娇女孩,,65,2017年10月31日
601335480,249594303,Aspirii,版权消失了一晚上又回来了？,200,2017年10月31日
601186827,294678819,偏爱北方的南方姑娘,扎铁了 老心,37,2017年10月31日
601077370,375979124,我的小傻瓜a,💓💓💓🌻,29,2017年10月31日
600551424,254689176,楊忘羡,不知道为什么封面给我一种压抑感,49,2017年10月30日
600531420,124656197,听说他很棒,分手那天晚上，听了这首歌哭的像个孩子。,58,2017年10月30日
600523413,53759647,我真的非常暴躁,我不能失去你,30,2017年10月30日
600511492,476706064,17岁欧巴想当歌手,追梦赤子心也是她写的吧！,37,2017年10月30日
600399231,110801042,Univstar,扎心了,22,2017年10月30日
600370896,16376849,小北在坚持,真想把这首歌唱给你，可是你结婚了。祝你幸福。,40,2017年10月30日
600384074,409304898,小仙女的蛋,知乎上 那些心碎的小故事得知的这首歌 很好听 我也想说 我也绝对不能失去你zw,22,2017年10月30日
600376097,308242731,贰伍柒丶,最后的呐喊扎心了,21,2017年10月30日
600337912,92078123,牛屎兒-,之前听这个的时候 只是单纯觉得声音很独特听起来挺舒服的 最近分手了 再一次听到这个歌 简直扎心了 句句心声的感觉。,27,2017年10月30日
600319634,545688536,Narrat0r_,如果你懂那种一个人坐在外面看着街上车水马龙听着歌哭成傻逼的感受你会不会有想要抱抱我的冲动,41,2017年10月30日
600319556,386278244,保温杯阿姨,原谅我年少不羁 半世流离形影只,34,2017年10月30日
600311651,545688536,Narrat0r_,坐在车上听了前十秒就开始哭了,16,2017年10月30日
600285900,113044209,我想变好吖,@我的小傻瓜a ,8,2017年10月30日
