6493001,35940040,DarlingPoker丶,万一舒傲寒是宋胖子的外号呢,10.7万,2014年11月30日
149013772,49823132,日音天,今天在天桥上遇到个流浪歌手抱着吉他在唱歌，风刮的呼呼的，我把身上带的点零钱翻出来给他，和他说，你的音乐声太大啦！快听不见你的声音了！他笑了笑说给你唱首歌吧，就唱了傲寒啊啊啊我觉得这可能是我长这么大遇到的最浪漫的事最浪漫的人了太没出息了我,88399,2016年5月2日
32653869,66816252,帐号已注销,马頔最好的歌不是南山南 而是傲寒.最好的一句不是那句“如果全世界都对你恶语相向 我就对你说上一世情话” 而是那句“忘掉名字吧 我给你一个家” ,66095,2015年8月24日
39123311,69262284,Vega丶趙,我以为陈粒能唱一辈子祝星 ，我以为傲寒真的会嫁给马頔 ，我以为宋冬野会和董小姐私奔。原来什么事情都是我以为而已，昨天晚上听走马听到凌晨三点，原来歌词不只是歌词而已,56331,2015年10月4日
5229286,15962176,为何昵称总被和谐,我连女朋友都没有听这歌刺激很大,38426,2014年10月28日
63347902,123737554,甜桃梦游记peach,▷在南山南，傲寒还没火的时候，时常有人问我听的都是些什么歌，语气仿佛这些旋律不属于这个时代，我笑而不语，如今它们火了，我也时常听见他们哼唱着里头的旋律，可我知道他们的内心其实并不懂民谣，不知道有种故事叫民谣，不知道民谣其实在心里，没有声色犬马，没有灯红酒绿，有的只是四海为家，,32581,2016年1月20日
53103322,69980737,复刻元年,到了清远那一站，有个姑娘上车坐到了我旁边。她提着一个行李箱，想要放在行李架上。热心肠的我麻溜地帮助了她，她羞涩地说了一句“叔叔谢谢你”。之后的5分钟，我的心里怎么都不得劲。终于，我忍不住问她“你今年多大”？她愣了一下，回答我“19”。当时我18岁。,31342,2015年12月12日
5271149,39361925,贰七JOLO,狗的寿命只有20年，我们这样的只能叫单身龟,26471,2014年10月28日
5238671,20669657,风景旧曾谙-------,麻油叶，单身狗也是狗，可以不爱，但请不要虐待，我们也是人类的好朋友,24960,2014年10月28日
144996161,137518118,DarkMatter0,我说我喜欢南山南，她说她喜欢傲寒。我听了傲寒，感觉还是喜欢她。,24300,2016年4月22日
21451523,57753587,范草木,我妈听到完 说 这小伙挺会骗人的,21246,2015年6月9日
61900387,99027086,Deron丶,如果我睡觉时流出了眼泪，别叫醒我，她在梦里。,19959,2016年1月15日
29063307,70644122,你说你喜欢海我就一直浪,但愿这首永远不会被什么选秀节目糟蹋,16221,2015年8月1日
62634358,90657667,大龄不文艺的涂先生,今天，就在刚才准确的说是17点12分我喜欢的人跟我说她有男朋友，我回了一句那不挺好嘛，是啊那不是挺好嘛，我在这里这里祝她幸福，虽然她曾开玩笑说要嫁给我，我也曾认真的答应过，但该走还是会离去，为什么要在这里说，因为她不听民谣，所以她不会看到。,13660,2016年1月17日
1070179553,250866417,我只看你_,2016年6月18，重庆，草莓音乐节 你在我身旁，马頔在台上 你对我说“我们结婚吧” 2018年3月31，你已经走了84天,10933,2018年3月31日
1242135113,296207281,-就让它随风去吧-,而我成不了你的傲寒,1427,2018年9月10日
1242141963,1410668779,他开的房子舒服吗,愿等待的人不在被抛弃,530,2018年9月10日
1242124421,619413427,_浣清,谢谢🙏我相信他。,235,2018年9月10日
1242126327,130502270,Vol-downyep,傲寒 再见,511,2018年9月10日
1242136875,1513583754,云笙迟昼,菲菲～梦秋,138,2018年9月10日
1242125162,543543307,李先生你加油,我以为陈粒能唱一辈子祝星 ，我以为傲寒真的会嫁给马頔 ，我以为宋冬野会和董小姐私奔。原来什么事情都是我以为而已，昨天晚上听走马听到凌晨三点，原来歌词不只是歌词而已,286,2018年9月10日
1242124209,548131015,沒有名字所以我想抽根煙,摸摸头啦,103,2018年9月10日
1242123115,322553172,赌徒-AY,愿长情的人不再被辜负,117,2018年9月10日
1242140581,619413427,_浣清,我等他。不过还是谢谢你呀，祝你找到自己的幸福♡,71,2018年9月10日
1242135626,619413427,_浣清,谢谢呀，你也是个温柔的人呢,49,2018年9月10日
1242104491,1587092418,饮惑_,我没有什么极度伤感的故事，只是想找一个人过完余生🌾,139,2018年9月10日
1242114034,553615761,f__k-romance,只怕你的故事与我无关,125,2018年9月10日
1242094352,260661765,killersong,冬天又要来了 每次冬天就喜欢听这首歌 物是人非…,126,2018年9月10日
1242126651,1538905915,伊璠_,听的真的想结婚,96,2018年9月10日
1242086438,1467061704,墨竹180525,我们结婚 无力,54,2018年9月10日
1242099893,96250062,siysiye,据说要凉了？？？,53,2018年9月10日
1242095821,335406695,Marry-Christmas_,必须的,32,2018年9月10日
1242077247,1586821580,醉生梦死的七楼,我就想知道这首歌那个和声的女生是不是傲寒？,87,2018年9月10日
1242086874,14618254,宁爷vs奥特曼,直到有一天我不再歌唱只担心你的未来与我无关如果全世界都对你恶语相加我就对你说上一世情话还有我们的故事自始无终,46,2018年9月10日
1242066994,272065576,17wQ1128,要下架了 下载,97,2018年9月10日
