5865391,36332403,二特飞呀,有没有人听着这首歌想起星爷？,13.4万,2014年11月16日
28327746,54703411,嗣灵,陈奕迅唱的是明星的无奈李荣浩唱的是凡人的辛酸,10.6万,2015年7月27日
18121303,3805470,王土豆泥,为什么 全世界的面我都吃一遍,69308,2015年5月13日
5547211,37302504,写歌的人假正经呀听歌的人最无情,李荣浩永远都是前奏比高潮好听的歌～,42927,2014年11月7日
56561993,111113531,无敌四边形,就我感觉“不信你问李清照”这句是凑韵脚吗😂,41094,2015年12月26日
23798241,75885308,咚咚冬冬锵,上次去陈奕迅的演唱会，最后一首歌之前他说：听我的歌听够了的话，我推荐你们听李荣浩,39983,2015年6月26日
5556279,25151444,xixiy,这首歌基本和模特在一个路子上，但是很奇怪的是李荣浩的起点非常高，他却依然在唱小人物的心酸，好奇怪。这首词说是李荣浩自己写的也有人会信吧……,22989,2014年11月7日
149438727,68099905,傅若浮生只为卿,李清照：别问我。,22018,2016年5月4日
22790090,32167300,MMuse,一直觉得李荣浩像是个长得有点周杰伦的陈奕迅唱着方大同。这句话神烦,19548,2015年6月19日
13767220,50470317,-梦中游,我觉得吧好好听歌就好没必要扯上其他歌手，我也喜欢过许嵩现在也喜欢李荣浩。不知道这个世界是哪里出了问题，大家开始不断推倒，嘲讽当年那个陪伴曾经自己的东西，不论是一个劲儿地想把自己和曾经那个自己撇清关系，还是通过嘲讽来显得自己脱俗而品味高。我只想说，这只能显得你自己很low很low。,13677,2015年3月29日
131163900,125429743,失格猫,我想自己《天生》就是一个《作曲家》，行为举止俨如橱窗的《模特》，大有《李白》的洒脱之范，想谈一场《落俗》的恋爱，我靠着心爱的《女孩》，我笑着对她说《不搭》你怪我《太坦白》，期望着这样 《两个人》，走在温馨的《老街》上，去看望各自的《爸爸妈妈》，这就是我想要的《不将就》的爱情,10503,2016年3月18日
1128678645,1328393162,半痴半醉半天真西红柿,喜剧之巅，哀伤无限。,6243,2018年5月26日
1262366272,1577706620,嵐叹,牙疼，特别疼，你的喜糖就不吃了不胜酒力，你的喜酒就不喝了健忘，特别健忘，你叫什么也忘了,5663,2018年10月3日
1321235180,419211180,池田幸子,我是个喜欢哗众取宠的女生，童年家庭的悲惨，曾四年的校园暴力，与曾经三年的男朋友分手，我满身的伤疤只能给他带来负能量，后来我总是做出怪异的表情和动作，话语为了博取他人注意，学校决定出钱让我去做谐星，可我不快乐，我想去电视台，在深夜，安抚和我同样悲伤的人,4970,2018年12月8日
1129913305,63300744,知默_real,有一点开到荼蘼的感觉,2637,2018年5月27日
