47803095,52612947,夏丶天,自行车被我骑出兰博基尼的感觉,14.5万,2015年11月19日
8740252,17362213,我叫浅浅,网易云的做事态度让我赞赏！,98703,2015年1月14日
126209907,107261750,許小贱贱,Force —— 力量Fade —— 幻影Spectre —— 暴动Memories —— 记忆,96699,2016年3月5日
172077854,84036598,我想去吃好吃的,一个喜欢电音的妹纸，没人懂我😂,76007,2016年6月21日
16766892,40182089,_灵魂探戈eR,为什么我听出了 ：我去上学校~~花儿对我笑~~~~~~？,63183,2015年4月30日
138803543,137685098,全宇宙抖腿总决赛总冠军,你以为我ID怎么来的,42871,2016年4月7日
27241198,73107513,33333333333aaa,我要开一个网易修车公司，专修听网易云音乐出事的，计划明年上市，后年干掉阿里巴巴，十年统治世界,29089,2015年7月20日
226309389,343449643,Cho4senkid7,9.2上海会面Alan Waker 很幸运的与他握了手,27308,2016年10月8日
1092591252,271817483,Vivianain,Spectre——幽灵Fade——消逝Faded——Fade的过去式，渐渐消失Light Dreams——光明之梦Alone——独自，个人认为译为独自一人更好Flying Dreams——放飞梦想Sing Me To Sleep——歌声伴我入睡Memories——记忆New Heart——崭新的心Force——力量Hope——希望 译者：畫如花,11008,2018年4月21日
233728229,277336189,白桂三钱,fade刷牙节奏刚好，spectre会刷出血,3996,2016年10月22日
1335144257,1659563265,坏男孩努力中,你应该放《江南皮革场倒闭》了,3239,2018年12月23日
164433467,67131912,zero刹那,我不信你会这么无聊的把我这菊花堵一遍，如果你真的堵了，我只想告诉你，轻点咱。,2028,2016年6月4日
1342621991,1602659476,Tisez_,我有一次听这首歌的时候，当时我觉得这条道限速80，之后我听见后面有2辆警车追我，还拿喇叭喊话:前面的自行车给我停下！我刹车的时候就被甩出去了，20天前刚好,1886,2018年12月31日
1338960453,255907704,倾君念,就是你不开会员了，网易有权利把你已经下载的文件删除是么？,1885,2018年12月27日
1332980384,136240704,卖萌者小x,你是刘皇叔？,1540,2018年12月21日
