29819124,77611558,DAMMN_,全曲67个really，超过了jb的53个baby，加拿大人是读书少吗,17.8万,2015年8月6日
11735757,35032031,最好看最好看的人,Mv由汤姆汉克斯～贾斯汀比伯共同出演～蹲妹能不能回春就看这首歌了,76034,2015年3月2日
11736915,44409411,xyDi,蹲妹终于回归，预祝扫荡各大商场,62177,2015年3月2日
53382600,77339051,HaskyChEn,暗恋很蠢，比暗恋更蠢的是互相暗恋,56527,2015年12月13日
11741862,44679786,海绵波子汽水,I ~really~ really~ really ~really ~really ~really like you~~~,39169,2015年3月2日
26199337,61554936,扶朕去搬砖,在日本大阪的环球影城里面，忽然听见这首歌，忍不住跟着唱了起来，边走边扭觉得自己像个巨星。迎面走来一个外国胖大叔，大家都在唱着，他指了下我，我指了下他，擦肩而过的感觉真好，那一瞬间觉得音乐真的无国界,38105,2015年7月13日
11731887,7486146,Wreckingball,I Really Really Flop~,26513,2015年3月2日
11756384,6851623,MADE_IN_FUTURE,蹲了这么长时间就蹲出这样一首歌？真是辛苦蹲妹了！duang～duang～duang～唱片公司让蹲妹蹲，其实蹲妹是拒绝的……,22094,2015年3月2日
11742811,44409411,xyDi,过段时间Billboard上见,19096,2015年3月2日
46226151,66833002,cagefreeegg,毕业旅行去厦门玩， 沿着海边和女神蹬双人自行车，我说放首歌听，女神放的就是这首歌。女神当时坐后面唱 i really really really like you， 想想当时真是人生巅峰。 现在袋鼠国读书， 机场分别也终究没敢和女神说出口， i really really really really really really like you， too.,17354,2015年11月11日
157622530,130766320,RMacaroni,喜欢就去表白啊 你看like拼出来不就是立刻吗,11072,2016年5月21日
11735964,38095155,帐号已注销,只不过没拍下半身而已,10123,2015年3月2日
33754024,65781313,苏写晴,我想对我喜欢的人唱这首歌，可是他把我拉黑了,8711,2015年8月30日
692470488,481402224,kk懒得起名,“希望你不要再碰到像我这样的人敏感 缺爱总是闹你 经常瞎想老吵着你陪我总让你很累吧但又希望你碰到这样的人因为这样的人真的好爱好爱你啊,4687,2018年2月2日
1198963282,1368581000,_曹丫丫_,为了验证一下你数的对不对 我特意数了一遍 发现真的是67个,3048,2018年7月31日
