438783805,280458886,泽山集,走心日推，冷门好歌,16.1万,2017年6月14日
444050745,246029257,驴子鬼,这几天好多燃系好曲。,91975,2017年6月19日
659143536,250740545,英语口译控,sell out 的翻译严重有问题 不是背叛的意思。在这里这的全力以赴， sell out的这种用法比较少见，但绝不是背叛的意思。,83085,2018年1月2日
457950674,408697850,Snatched-,放开我 我要去统治地球了,50143,2017年7月2日
1289942064,128438744,等我6级就R你,兄弟们，五年了，五年了啊，我们终于是冠军，从一个小学生熬成了大学生，五年，终于看见中国拿到了S赛的冠军，IG牛逼！！！！！,45200,2018年11月3日
1103696949,1335147370,诸葛卡卡咔,距离高考还有37天，我一定能考好！横扫一切！,28641,2018年5月1日
1516488502,347875967,萧龘少阳,这么一首充满宗教色彩的歌，看不懂的人看到的只有热血。sold out指的是因耶稣的牺牲歌者已完全的将自己交托于耶稣，翻译成备受追捧真的是完全错误。,22634,2019年6月9日
711084555,338259152,-Aftershock-,封面应用宝？,20007,2018年2月19日
490938119,330932370,迟到情书,够燃，激起了我学习的欲望，但是我坚强的克服了它。,15967,2017年7月30日
1253174380,507453050,哒哒哒哒哒子,我的打算是打一把游戏写一道完形，然后突然在我放下鼠标的瞬间这歌响了起来,14201,2018年9月23日
1512920097,555087746,不学会RapGod不改名,明天高考，我虽然曾经迷茫过，怠惰过，但我终将踏上征途，赢得属于自己的荣耀,9431,2019年6月6日
1357290655,1336010467,坤坤是珺珺的-珺珺是骆骆的,Sold Out 的意思是票卖完的意思，他是一个歌手，演唱会的票卖光，说明他受人追捧，名声大噪，故隐身为取得成功的意思,6744,2019年1月14日
1337308360,485217515,金昌土拨鼠,不是sell是seld，我对你这个爱好很担忧啊,5736,2018年12月25日
1342953451,502161191,不会迷路的Mark,我以为是卖光了,5711,2018年12月31日
