51109019,62488229,折原九琉璃,猪突猛进是日本的一句成语，在中文翻译过来大概就是猛虎下山的意思…。,13.1万,2015年12月3日
355065406,403359918,-ZM小冷-,清明节那天，我给祖先上香，我打开日推，第一首放的是丧曲，第一首刚放完，竟然是这首，气的我爸差点把我拖到墙角里去揍。。。,11万,2017年4月12日
423206863,400372466,迷失的大雪,“我亲手毁了我的日推系列”,72710,2017年5月30日
313244222,381038676,王小旭_,感觉像是猪跑出了猪圈，主人使劲疯追的场面,56780,2017年2月19日
134068292,122679624,布鲁弗朗明哥,那一天，人们想起了被野猪王无尽猪车的恐惧。。,43725,2016年3月25日
317573494,263932637,蔬菜宝宝OvO,我一定把变态奶牛加到喜欢里面日推才会给我推荐这首歌的,30995,2017年2月25日
427833456,376708370,丶Endeavor_,为什么我的日推里面有这首歌，我该反省反省我自己在网易云做了些什么,29758,2017年6月4日
441843886,503019621,Adrenaline_kk,我怎么觉得是追着主人跑啊哈哈哈哈哈,16469,2017年6月17日
1333496425,281274882,Bleejade,你这和蒙古人学的日语吗，这词不是猛虎下山这种形容词，是描述动作的，真翻译成中文，这词对应的是横冲直撞，或蛮王冲撞,9667,2018年12月21日
701047156,582044955,Aaandy全,小鳄鱼！！我他妈跟你拼了！！！,9352,2018年2月10日
599540695,105260229,lsmgod,德云色赛后伤感分析，配的bgm是再见警察，放完突然变成猪突猛进，画风突变笑死我了,8990,2017年10月29日
1129623289,287162776,有树叶飞舞的地方-火焰就会燃起,给你们讲一个笑话，从前有一只河豚，它游啊游，游啊游，游啊游，游啊游最后游到了海里变成了海豚都他妈给我笑,5542,2018年5月27日
1334590928,262932402,仙丶人丶球,这听着想TM橘猫下炕[多多捂脸][多多捂脸][多多捂脸][多多捂脸],4774,2018年12月22日
1333088360,414587668,握剑的手也能接花,大家不要信他,4582,2018年12月21日
612393575,62240004,丶义薄云天腹肌喵,恐怖游戏党upup,4446,2017年11月12日
