4801154,7336034,-徐徐渐进-,网易是中国最好的音乐软件 力挺,54360,2014年10月10日
5357413,6782162,theOwlofMinerva,32岁的亨利就坐在那里，深情的目光望过去，都是自己22岁的影子。,36624,2014年10月31日
7523818,7180798,留给中国队的时间不多啦,当时光的列车缓缓驶过酋长球场，32岁的亨利就在那里，深情的目光望过去都是自己22岁的影子，还是那辆列车随着时光送走了匆匆过客。静静开往另一片大陆，33岁的亨利就在那里，深情的目光望去依稀浮现自己25岁的模样，远方的期许固然美好，而列车的短暂停留更好像岁月的美丽回眸。当时光奏出回家,25480,2014年12月23日
4824010,36065747,米斯特姚摇切克闹,没记错的话应该是09年的时候，整天单曲循环，后来换了电脑就找不到了，前段时间又被我发现了，这舒爽的感觉就像小孩子找到了心爱的玩具一般,16703,2014年10月11日
4779091,17630683,吉科夫利特,瑞典北部临近北极萨米族歌曲，缓缓的安静。表示至今未听过有比这首动听的。,13306,2014年10月9日
4889977,31997341,万克_,那算是把这歌摧毁了,11672,2014年10月14日
32575493,58627361,飞哥传书5,这是萨米族语，一种北极圈内的语言，请借力下去让更多人知道它,7136,2015年8月23日
17070505,196609,失足少女,那岩是中国评测界单个视频点击量最高的评测人，最后宣布停摆时用了这首曲子做BGM，特在此科普。,6684,2015年5月3日
5611250,29567037,Joseph_Cheng,的确很动听，遇见一首喜欢的歌曲就注定会一辈子烙印在脑海，同喜欢过得人一样出现在你的一段旅程中，回想起那段时光，眼前浮现出那些人，耳边低吟起熟悉的旋律。,4848,2014年11月9日
20169896,1840487,帐号已注销,32岁的亨利就坐在那里，深情的目光望过去，满眼都是自己22岁的影子。,4707,2015年5月31日
25946784,73958808,都还在夏天呢,这首歌陪我看过东非大草原上的日出，也陪我看着赤道上南半球的乞力马扎罗的雪和夕阳。吉普驶出马赛马拉开回内罗毕的时候，坐在车上听到大哭，近一个月的非洲志愿者之行，大概是我回忆一辈子的美好。,4631,2015年7月11日
49237907,56481564,西瓜一直爱着夏天,正在听这首歌的时候男朋友跟我求婚了,4261,2015年11月26日
17242733,44102424,MZDAATZ,有谁是为了科技美学那岩而来的得！再见！,3374,2015年5月5日
17039466,36924162,小闫94,那岩加油科技美学加油科技美学不会再见期待整装以后的华丽回归支持岩哥！！支持科技美学！！！,1658,2015年5月3日
17285309,56024325,啶丶真嗣,那岩自己说了，科技美学1.0下线了。但是，他会带着2.0回归的。我们给点他时间吧。理性对待，有人趁机炒作自己无视就好。吵来吵去反而让他提高了知名度。不过真心想溜那条牧羊犬,1455,2015年5月5日
359619872,77631499,我有一只笨兔子,不会听腻么,728,2017年4月18日
359616991,414674819,Lyxwow,当初的最爱,542,2017年4月18日
359624293,123272997,站在山坡上的0147,当我们习惯了一个人在身旁多年的陪伴 那些朝夕相处的日子，甚至会淡忘他的存在 但离别的一刻突然到来，我们却有些不知所措 目光望向他曾经停留的地方，已经难以寻觅曾经熟悉的身影 于是，脑海中搜索着一切关于过往的记忆 这份记忆，变得更加珍贵,991,2017年4月18日
359628106,284778647,你是后青春期的诗,刚刚搜了搜新闻，马刺新闻不正经，评论也不正经，球迷也不正经,267,2017年4月18日
359616225,284778647,你是后青春期的诗,不会吧，石佛要回归，这真是太好了,171,2017年4月18日
359620021,255361105,kkkhhhhhll,CCTV5的一栏关于足球的节目《天下足球》,421,2017年4月18日
359594583,354857778,大成大,可以净化心灵的歌曲！,333,2017年4月18日
359575437,383259460,不羁只因为侬本多情,这是萨米族语，一种北极圈内的语言，请借力下去让更多人知道它,616,2017年4月18日
359556364,366417846,帐号已注销,像失落的小孩找到了丢失的礼物,292,2017年4月18日
359536666,321221159,千寻记,每次这个旋律响起，就想起高中那次晚自习画画课。因为家里发生的事情，情绪非常低落。当我最后一个来到教室，打开抽屉发现你偷偷放的红苹果，那种瞬间温暖的心情，仿佛一道光把我照亮了......,368,2017年4月18日
359545391,88627637,郁-离-子,最喜欢的小语种歌曲，不想告诉别人,422,2017年4月18日
359536533,422411445,人生路上寻觅你的L,那估计天天得睡过吧……,107,2017年4月18日
359501726,319667429,1990_2015,天下足球：亨利，谁与争峰,208,2017年4月18日
359478443,131293381,逼格海德,现在季后赛他又回马刺球场了，然后皇阿玛说要是打到总决赛就再签他一次哈哈哈,75,2017年4月18日
359464947,257456481,Dr_Miracle,请问这句话是有什么原因的嘛？,84,2017年4月18日
359481162,131212007,Whitney-sa,请问这是什么电影吗？,82,2017年4月18日
359437548,284778647,你是后青春期的诗,怎么能没有邓肯，永远的石佛，永远的新秀,54,2017年4月18日
359434479,312011021,La-la-latch,去年…我们小组正在拍摄微电影…剪辑时就就挑选了这个音乐为背景音乐…在即将毕业的现在…偶然听到这首音乐就想到了那为梦想奋斗挣扎的我们剧组,113,2017年4月18日
359410627,396971872,别离暗涌,早安阿,52,2017年4月18日
359408186,122887026,我是悦儿你是谁,用这首歌做背景音乐，拿到了最想要的冠军。💕,122,2017年4月18日
