2394346,9389925,一颗葱,不要哭了妈，该哭的人是我爸,11.3万,2014年4月6日
14388570,49154488,路西丁,一直好喜欢这首啊哈哈哈哈，超级喜欢，超级既视感啊哈哈哈。说分手劈腿的姑娘说话乱七八糟哭得稀里哗啦妆都花了，被甩的男生很无奈地安慰对方然后说好啦好啦来抱一下你和他两情相悦不是很好吗好啦乖快去收拾东西去他家,38532,2015年4月5日
35816868,44136209,Botrytis,昨晚打车回学校 司机师傅是个小哥 大概就是和我们一样大的时候听动力火车 手机定位错了小哥绕了很多路接到我 上车也就吐槽了一下下 他车里在放这首歌 等红绿灯的时候他趴在方向盘上看着右边发呆 绿灯亮了他出神了好几秒才走 感觉被击中 也不知道他想起了什么。,25742,2015年9月13日
19371788,32399294,江河故人,那就这样吧都过去了,10198,2015年5月24日
727737857,134307099,海霸堡,人生不能永远都是少年。,9886,2018年3月6日
1112031008,436211103,将相青衣,谈了七年，然后他告诉我他喜欢上别人了。从初中到大学，他说的时候真的懵了。我跟他说好。有时只要想想，心就很疼，可是人都要向前走。我知道感情无法勉强，所以祝你以后都开开心心。以后我们都各自过好,9637,2018年5月9日
16740799,12284416,songsky,这首歌的旋律和歌词结合的比较好，朗朗上口，好像在叙述故事一样，哎，现在的歌曲很难写出这样的感觉了。,7239,2015年4月30日
38954266,3432498,陈北及,那就这样吧，再爱都要Sayonara,6241,2015年10月3日
1050094589,435715733,玉儿躲进你怀里,死缠烂打的样子很丑吧，可是，如果不是不舍得，谁又愿意做个小丑，我坚持不跟你说话，不表示我没有想你，是因为我知道，我不能拥有你，好的爱情，是两个人的努力，而不是一个人的委曲求全，大概有些爱只能，止于唇齿，掩于岁月💔,3619,2018年3月11日
1332596120,1419457454,陈二迅hq,你是魔鬼吗,3401,2018年12月20日
39613415,33390877,壹哦哦,云音乐要不要这么调皮，刚好路过北京西,2932,2015年10月7日
38102137,29090703,ToBbetter,多年前喜欢听动力火车的歌，可是直到今天才听出其中的痛和无奈，对呀，该哭的人是我呀，而且泪都要流干了，何必呢,2531,2015年9月28日
1075048811,552859043,柒柒柒柒柒柒月i,那就这样吧 🍂,1813,2018年4月5日
1111756313,115586559,丿沉稳,爱一个很容易，可是心里总有那么一个身影在你的脑海中浮现，挥之不去，刻苦铭心！你知道我还一直在想，希望你幸福！,1608,2018年5月9日
