4990900,35313828,MevinYIN,妹子让我学会这首歌的吉他版 不弹给她听就和我绝交,13.6万,2014年10月18日
5124400,9033924,热血一卡车,有一种英语叫做galaglish……,11万,2014年10月24日
5237187,9578191,Rynnoo,发音特别好！不看歌词我都听懂了！不枉费我学了十几年的英语！！,10.4万,2014年10月28日
11098611,35710081,睡梦罗汉Y,中文版歌词，不信你唱唱：上路的人渴了摘个瓜，月光下要管的是獾猪刺猬猹，他爹说你听到哪里叶子哗啦啦，走过去轻轻捏着叉~,89339,2015年2月20日
5236468,38069609,陳某乎,散爹咿嘶咖明哇呢拽买咖 土呦呃啪门我一呃破怎来咖嘶哒～,55228,2014年10月28日
126597181,69991895,摆脱高级趣味的人,之前看到有人在百度上问 一首像驴叫一样的是什么歌🤖,46880,2016年3月6日
5344328,34418399,蛋花汤dhtkahsu,原来不是粤语啊,46065,2014年10月31日
5450170,20700060,走着走着就跑起来啦,本来困惑GALA的山炮的英文发音为什么起了真没洋气的名字，原来GALA是旮旯，现在都明白了,38791,2014年11月4日
366977612,261017446,Balance0618,坐在火车上听网易云，对面一个妹子问我 你听的是网易云么 我点点头，她又说 听网易云的男的都长的跟你一样丑么？？我过去就是一个大嘴巴子，开玩笑，听网易云的丑男只有我一个，剩下的都是大帅比！！,26468,2017年4月27日
5127698,34595164,Yanray,别说这发音！越听越好听啊！！！,23436,2014年10月24日
5546229,41694147,MrGaptain,第一次听是09年，刚才看到居然是04年出的专辑。十年前在小镇听陈奕迅的时候，城里的小孩儿已经搞出了这种东西。,21999,2014年11月7日
27716744,62997421,LeePerry,通篇只听懂了一个单词，California，真是白瞎了我的高级口译,20061,2015年7月23日
19197541,51573371,墨彩天下,怎么听出来有种 "我就是吊 怎么 来打我啊" 的感觉,14377,2015年5月23日
5145945,40466305,中国十佳少女,一听这歌就想起我表白失败的男神！！！好喜欢他！！！！,12454,2014年10月25日
32757450,60913890,森林里的妖怪,妈呀！第一嗓大脑当机！让我瞬间想起了富土康流水线的张全蛋～～只能说这俩人的英语是同一个东北体育老师教的～哈哈,10483,2015年8月24日
601683601,278426090,ShadowLichking,看着歌词听歌，异常喜感，233333333,497,2017年10月31日
601634003,260914959,悲词,不要消失,2569,2017年10月31日
601443803,483643370,梨花开山,我和你相反，右耳失聪,239,2017年10月31日
601357698,44796151,嗨咿嘿,害怕咬着舌头,96,2017年10月31日
601305084,55171520,辕门暮雪_,不能听了？,173,2017年10月31日
601061092,86643853,E-V-Z,(ง •̀_•́)ง,49,2017年10月31日
600877144,103012755,野望此中出,以前空耳听着这歌听不懂唱的啥觉得唱的好逗比呀。等到知道歌词了才空自嗟叹自己还是孤身一人,97,2017年10月31日
600613890,394097280,暴走的阿甘-,就我一听这首歌就感觉到悲伤心酸吗？,146,2017年10月30日
600619462,296572341,明日黄花落,日推给我的，谢网易云,43,2017年10月30日
600565979,389129874,帐号已注销------,@飞旆还时,21,2017年10月30日
600546904,618422884,燕子坞少主人,嗯，这是一个正经的乐队,52,2017年10月30日
600530624,350491816,我怎么就知道吃,在学唱这首歌......你们说我会成功吗,65,2017年10月30日
600517931,453650028,意中人vn,好想听句家乡话…要好久才能回家,21,2017年10月30日
600538147,266802800,MAO川,ilomoyou,15,2017年10月30日
600514223,305560206,啾可--,2333 为什么推这首给我,9,2017年10月30日
600507367,515092342,Sssign-,日推哈哈哈,10,2017年10月30日
600494668,615333875,洋洋想要糖糖,有谁知道这首中文是啥,9,2017年10月30日
600462926,279523671,帐号已注销,热评第一去哪了？百度搜索：“有一首像驴叫的歌叫什么？”,1737,2017年10月30日
600441988,320406765,little_hooligirl,哈哈哈要笑死我,7,2017年10月30日
600452399,501269820,Xsun_,这歌好熟悉,7,2017年10月30日
