49344218,91075512,音乐人徐梦圆,小正太即视感，还是这张专辑，继续古风吧~谢谢双笙演唱，温莨词作，独角鹿的海报,14.7万,2015年11月26日
50774431,63904952,己喃,“人就像茶，得受得了高温熬，叶片从浮到沉由卷至舒，艰辛多少。”——愿，人如茶，虽一叶，亦尽染清水间，溢香唇齿。,90018,2015年12月2日
69789846,34607378,安和桥旁的楼,超喜欢双笙的声音。不过谁能告诉我大黄和村头小母猫的关系😒。,75446,2016年2月12日
58679755,88967129,涂山老三,食物链是这样的:村头小母猫＞大黄＞恶霸,63977,2016年1月3日
123317982,118970379,Yatosama_,最可怕的是笙笙才上高二，果然江山代有才人出,41548,2016年2月25日
56421534,66406497,你是队长,跟着唱一下，快断气了,40454,2015年12月25日
63430737,81003189,抱歉搞到你嘴里了,每一个韵脚都是AO٩(๑ᵒ̴̶̷͈᷄ᗨᵒ̴̶̷͈᷅)و,29155,2016年1月20日
149258736,42469635,杨某某和许小懒,这首古风真的能把人代入进去，不是一味的追求词藻，反而叙事一般娓娓道来，轻快的节奏像歌中的小村落，大人农忙，孩子满处闹的鸡飞狗跳…中间官府赋税高一语带过，留我遐想，或许这只是短暂的欢宁，或许战火，或许官府，强盗会光顾…但是这霎那间的欢乐祥宁，却让我无法自拔，不停循环生怕失去,28442,2016年5月3日
53497271,57060988,哈喽这个是什么人,每次听双笙唱歌都要流眼泪，我靠这声音也太犯规了,22075,2015年12月13日
124545056,41453262,人见人爱的小辣鸡,刚刚才看见作曲是徐梦圆，当初他还不太红的时候和他说过话，他人超好的。他的歌都好好听。加油~(>﹏<),20014,2016年2月28日
49554189,105080216,Seplongerles,( ˃᷄˶˶̫˶˂᷅ )一下子充满了干劲 努力复习 人就像茶得受得了高温熬,15690,2015年11月27日
137116966,17127427,云僖_Enko,“大黄别再咬，不准扯我小夹袄，否则把你送给村口小母猫”万万没想到，被这句生生洗了两天脑,14404,2016年4月2日
628843479,544524512,恣意-二十三,采茶纪这首歌一条明线一条暗线，明线是少年偷懒不惧母亲鞭打的乐观，恶霸赖账的勇敢。暗线是面对重税赋高无可奈何，以及父亲死后母亲与少年的相互扶持。歌词最后“人就像茶——艰辛多少”明暗线合二为一的交融升华。用笑容去面对坎坷的情感奔涌而出,12309,2017年12月1日
148271665,124831560,kk-思无邪,村头小母猫芳心暗许，大黄却是个不解风情的鲁男子，玩心甚重，只知道找小主人耍去。那一日，大黄扑着蝴蝶到村口，小母猫见着了，嗷的一声扑了上去。。。大黄隐约觉得自己做了亏心事，便处处躲着，小母猫常于无人处垂泪，想说与那负心汉儿听，声声都是痴人泪，这一片春心，好教人怎生分付。,7794,2016年5月1日
1076348381,544999237,雾失楼台-月迷津渡,欧厚，还有一条暗暗线啊。少年偷懒被母亲发现，本要偷溜，看到少女婉桃便“算了作罢了”“不为藤条折腰”；四宝被母亲数落，听着村人善意的哄笑，心里眼里全是正在素手采茶的婉桃啊。单纯的少年或许还不懂什么是爱恋，但正是着默默的关注和在意暴露了朦胧的心意呀。于是又是一份沉重现实中难得的美好。,6029,2018年4月6日
