64825469,81005138,joni_,Sia的咬文嚼字不清有种说不出的魔性😂,10.8万,2016年1月25日
54692449,17348097,MaserC,就目前情况来看应该改成It's Friday night and I am alone.PS:Sia姐40岁森快,51577,2015年12月18日
150347124,54842076,YIP-YIP,不下洗牙的歌是因为不想锁屏点开后看到歌曲封面 我怕,50636,2016年5月6日
204162433,33850285,Babululu,所以这首歌名叫 穷开心 ？,38774,2016年8月24日
54916485,46473972,wewere17,求hit，好歹也要出一首chandelier这样的，来洗洗歌坛。所以，现在坐等高能mv,18084,2015年12月19日
214423280,252201194,Des-pa-cito,以前看到她专的封面就不喜欢，后来在跑步的时候听了电台，就好奇着这是谁长的这么好听，开始喜欢她，看了她的资料，知道了她的故事，就越发的不可收拾。她的声音有穿透力，会让你去思考。事实证明一张照片不能什么，只有歌声才能征服一切。路转超级粉了,15249,2016年9月14日
143408425,64558868,MY98,我发现现在UK榜的质量可以甩Billboard好多好多条街…🙄,12580,2016年4月18日
65979360,74740406,看月亮掉下来,新专最好听的歌,7908,2016年1月29日
135439478,55942790,LIUZIX,b榜没看到，uk榜前10果然uk亲儿子,6744,2016年3月29日
1335469369,440844358,Freedom170319,咬文嚼字和咬字是俩意思[多多大笑],5708,2018年12月23日
140702358,113971856,音动_言-行动,sia这首也就她能做出这般饶耳之歌，说是人不要的，不，那是只有sia唱得好的，很棒，说出了淡泊金钱，为自己欢乐而争取的人的心声，这些人的喜爱，对欢乐的追求也就sia她懂了。,5204,2016年4月11日
188773780,27840830,右手友梨奈,祝贺sia第一首美国冠单成就达成,4759,2016年7月26日
1351822029,437581371,我手机又砸脸上了,别强迫自己虚伪的评论好吗。。就我目前的审美。。我看着也慌。,4265,2019年1月9日
1348840372,514589519,靛蓝脚底板,仔细听，有股印度味,4132,2019年1月6日
66530180,45022690,Rebekah茜子,说上一首最好听的时候也是没想到下一首,3900,2016年1月31日
