67771224,1716483,崔子格,喜欢吗,43568,2016年2月4日
55415494,87779452,Miss莱西issippi,凉鞋 薄纱 金龙鱼 塑料首饰 塑料盔甲 香奈儿帽子 乐视硬广 阿里芃芃 九王写快递单 赵王送快递 可是已经发展成这样了我还在追 底线呢,41439,2015年12月21日
55365434,91727144,长颈璐的鹿,为了看这部剧，我下了乐视APP，还买了个会员，是被下降头了吗？,23688,2015年12月21日
55422279,62060596,托怀明月,剧组的钱估计全花在买吹风机和请配音演员上啦,23370,2015年12月21日
55390305,37448172,summerlock,第一集觉得好雷，第二集觉得还挺有意思的，后来觉得越来越好玩，根本停不下来，直到突然发现，特喵的，怎么没了,20946,2015年12月21日
60570019,70103483,帐号已注销,原来太子妃升职记的主题曲是崔子格唱的，好听的要哭了。看完这部剧我的感触还是颇多的，觉得机会真的很重要。张天爱不再是那个只能跑龙套的小角色了，盛一伦成功转型，崔子格也不再是我心里那个只会唱老婆最大的非主流歌手了。在这一切到来之前没人知道他们经历过多少的辛苦。在薄发之前的厚积，是痛苦,17359,2016年1月10日
62789678,48840269,背上书包炸学校,整部剧只有九王认认真真在谋叛，江氏认认真真在宫斗。至于其他人.......他们只是猴子请来的逗逼,16367,2016年1月18日
62198373,46939726,李在徐,这一年倒没什么长进 就认识了俩字 芈和芃,13650,2016年1月16日
61547070,112068896,千番zzZ,小说里芃哥直到最后坐上太后的位置、看到死而复生的齐晟那一刻 才是真正敢放下心来爱他之时。“当你的性命都握在一个人手里时，还怎么可能敢不顾生死的爱他？”齐晟这辈子最大的错误便是在江北想要杀芃哥了吧 这一下手 便搭进了最爱之人对自己今后的大半生的信任 用人心换人心 却是足足弥补了一辈子。,9769,2016年1月13日
55381394,54272007,o谨以此生献给你o,终于出来了！！天天追这部剧追的停不下来，为它冲了会员，这部剧有毒！！,9099,2015年12月21日
134094022,127131658,赤花火,有能力有唱功的歌手却一直为了生计唱口水歌 这样的歌手还有多少呢？,7701,2016年3月25日
55376390,106688340,黑湖芦梢,知道了这剧，又去看了小说，又去买了乐视会员，又来搜歌了～,6673,2015年12月21日
55381812,89287246,Charoncely,终于有了，唯美的片尾mv啊！,6164,2015年12月21日
63064639,113305105,明媚的灬蜀黍,我躲过了花千古，避开了琅琊榜，放弃了芈月传，没想到，却中了太子妃的毒,5039,2016年1月19日
60598053,116879483,H-Claire,“赌我能护你一世周全，若我赢了，你便要对我一心一意，陪我共赏这万里江山”“芃芃，我心悦你”“善妒，善嫉，甚至虚荣，蛮横，你从前失去的，我都会慢慢给你找回来，我会容你，纵你，宠你，爱你，直到你愿意牵起我的手，与我并肩而立”,2966,2016年1月10日
