5825491,2976653,风飞沙yy,我上幼儿园的时候就开始听了，40多年了。,8256,2014年11月15日
5525774,16832287,宵韵,一直觉得bandari很多曲子没必要配鸟叫声,4416,2014年11月6日
7327445,10369782,那年人淡如诗,毕业生这部电影实在伟大，不仅影响了美国一代人，更为后人留下了珍贵的两首歌，一首《The Sounds of Silence》，另外一首更加出名，《斯卡布罗集市》,4055,2014年12月19日
22100947,44047180,扶苏长生,只是录音的方式而已 因为班得瑞的音乐都是在山谷或森林里录得 有时有鸟叫很正常,2407,2015年6月14日
52521050,85891288,蓝蓝就绿,我现在的女朋友很喜欢班得瑞，从交往的字里行间知道是曾经她生命里出现过一个好男孩送给她一张CD，让我女朋友的青葱岁月有所寄托。看到她这么开心，我也很开心。很感谢当初送她CD的那个男孩曾经出现在她的世界，如果有机会，很想亲自对那个男孩说声谢谢，一起干一杯。,1837,2015年12月9日
134347770,54854858,_________等,班得瑞为了采集自然音效上山下水、甚至露宿荒野对班得瑞来说算是家常便饭如必须熟知每一种候鸟的季节性与飞行路径，有时为了数分钟的音效往往在荒野守候达数月之久有时必须举着比人身还长的录音架往峡谷中采集风声，整个过程险象环生但也因为如此班得瑞才能将这些天然的音效栩栩如生地融合在专辑之中,1478,2016年3月26日
6039054,41703583,shasha的,喜欢这种单纯的感觉。 就像曾经喜欢过的女孩一样。虽然时间匆匆后，她已不在那么完美，但曾经的回忆，在silence中无法抹去 。QT,1144,2014年11月19日
201862732,280087183,我是大喜姐,想起在长沙橘子洲头坐小火车，秋日天高气爽，鸟儿在枝头嬉戏追逐，河水碧波荡漾，静谧的岳麓山和长沙城交相辉映，动静隔江相对。多年后，每每听到这首曲子就会浮现这个画面，那洲就像水里泡开的茶，慢慢的在记忆里舒展开来。,658,2016年8月19日
283772361,271835025,a尘世芯雨,麦振鸿 胡伟立是真的太棒了！！！！！！,605,2017年1月9日
283406852,390926462,起什么名字都难以掩盖我的潇洒,这才是真正的艺术家,314,2017年1月9日
283289853,300042776,鹤鸣九皋yo,同学们，你们好这里是暨南大学调频广播，大学英语听力考试将在这里进行，,289,2017年1月8日
1353537434,254209180,苏佚名_,人家就是热爱生命，亲近大自然的。。。鸟叫不是配的，是真实的。,227,2019年1月11日
1345852328,17740914,万物生长靠太阳-,蝉噪林逾静，鸟鸣山更幽。可能只留鸟叫淡去的那一秒会更好吧。。,207,2019年1月3日
284054731,50197991,謐空,我没上幼儿园就听了，，，，我没上过幼儿园，而这对我只过去20年，这个国家还有落后三十年的地方吗？,201,2017年1月10日
283865993,317749388,我是多么单纯的小少年,这是我初中放学时候放的歌，每次听到都会有种怀念，有种不舍，有种失落，几年了依然没变，毕竟这首歌陪伴了我三年，陪我度过了最美好的时光,201,2017年1月9日
2068387451,108510769,单刀直入777,,3,2019年12月31日
2068180532,362812033,爱在西元前JAY_,拿 高数课本 当封面是什么个意思？就不能让我心静一下,14,2019年12月31日
2067841502,419653538,猎户座-W,网易云的心动模式真是赞！每次我写文稿的时候，就喜欢放一些轻音乐，很轻的那种，能让你忘掉音乐和周围的那种，而心动模式似乎也懂我，每次放的都是恰合我意的～,8,2019年12月31日
2067790806,41703583,shasha的,是的,0,2019年12月31日
2067669235,1706376459,镂前,毕竟回忆是回不去的美好,0,2019年12月31日
2067425626,345638640,l来着不明,2019年12月30日， 马上就要2020年了，我能听到这首歌也是一个缘分吧，一个人听着这首歌欢迎2020年ヽ｀🌙、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀｀ヽヽ｀ヽ、ヽ｀ヽ｀、ヽ｀｀、ヽ 、｀｀、 ｀、ヽ｀ 、｀ ヽ｀ヽ、ヽ ｀、ヽ｀｀、ヽ、｀｀、｀、ヽ｀｀、 、ヽヽ｀、｀、、ヽヽ、｀｀、 、 ヽ｀、ヽ｀｀、ヽ｀ヽ｀、、ヽ ｀ヽ 、ヽ｀｀ヽ,11,2019年12月31日
2067117759,495916567,海之子叫浪,考虑众筹,0,2019年12月30日
2066770081,1491043042,艺党,怎么回事，本来是想翻翻评论，哪都是你。同志,1,2019年12月30日
2066784875,1491043042,艺党,同志，书出了吗？,0,2019年12月30日
2066019760,1336539151,对不起该账号已被注销,以前泡书店的时候里面总放这首歌 很舒服,0,2019年12月30日
2065157034,1422930176,二哥哥的小少爷,这是玩炫舞时代那个森林（好久不玩 忘了）里面配的音乐,3,2019年12月29日
2065142580,625909598,卖吉_,深实初中部下午写字课铃声 放完一整首就开始放写字课的古筝曲了,0,2019年12月29日
2065077954,324455108,豪黎徽,那你别在这里刷屏啊他看得见?,3,2019年12月29日
2065071269,1608775403,未被探知的宝藏,第一次听这歌还是在小学的美术课上,0,2019年12月29日
2064926479,1500164981,花痴花蜜,我能回复你的评论吗？我想说：你误会我了这是我给帅哥哥的留言这是我给我帅哥哥的留言 看到有人赞你，然后必须要解释的事（很友好的回复）,0,2019年12月29日
2064888213,443473173,胸部半藏,守望者,0,2019年12月29日
2064033484,388178189,漫步云天之孤独行走的灵魂,聆听！ 🌷🍁🍒☕,4,2019年12月28日
2063373589,1752012225,梦蝶幻游,6ui,0,2019年12月27日
2062418752,390485729,MichallX,真-童年的声音，致流光岁月，00后加油,1,2019年12月27日
2062314071,1835983280,Evenaly,原谅我 猛一看差点想歪,0,2019年12月27日
