66184372,43115315,oneMargarita,我心中该是本场第一的水平。,10.5万,2016年1月30日
66327067,31665710,离心机的离,我觉得我是歌手的500个观众就应该从网易云里面选拔,72653,2016年1月30日
66212280,574080,满满的芭比,哪位大神编的曲，伴奏软绵绵的，人声背景脱离，苏运莹第一次唱野子时那种一往无前的气势荡然无存。,54629,2016年1月30日
69667610,7689139,夜雨声烦不觉寒,怎么作业越多~我心越方~写啊写啊~我的眼泪放纵~写啊写不完我十张试卷~ （我只想表达后天开学）,50223,2016年2月11日
137718773,96268067,即林檎,有人说，苏运莹这唱法唱功能力才华，如果不红，那就是输在了这个看脸的社会。我同意,42898,2016年4月4日
144878883,267097192,人来人往不必等待,《我是歌手》8期以来，观众的表现一如既往的稳定，1秒飙泪，2秒起立，3秒大合唱，表情丰富，感情到位，节奏感和力度都把握得很好。在享受完一场听觉盛宴后，纷纷把票投给那个自己认为颜值最高的人,34708,2016年4月22日
66387126,71379981,瓶子不玻璃,她唱的时候看其他歌手表情突然很心酸，加上信反复强调的，在这行混多久都不会是安全的。你够努力，你够坚强，你缺的只是一点天分而已。你打拼了好多年，开始相信天道酬勤，突然一个年轻人不知道从哪个角落跳出来，聚光灯就不在你身上了。,27881,2016年1月30日
66235160,88616302,staywellzzza,我就知道剧情出现了 踢馆的不会踢馆成功 名次也不会太差,23932,2016年1月30日
66211271,52362538,我没时间陪你玩了老实人zZ,苏苏是自由的，即使回不到好歌曲时的惊艳。,16107,2016年1月30日
66905452,95392359,鹿与星辰l,《山丘》唱出了迟暮的悟《野子》唱出了青春的梦,14573,2016年2月1日
66210254,287226,乐乐的音乐天堂,后生可畏！,10562,2016年1月30日
66387857,91664113,编号7610,芒果台是在昭告天下，不管是好声音、还是好歌曲，在我这儿都不好使！,10281,2016年1月30日
66226192,59441769,NateRuess,很久没有听歌听哭的经历，但当听到这首歌几句以后就泪盈眶了。,9384,2016年1月30日
66251316,57475351,NamSing,网易总算名正言顺拿到《野子》版权了,8350,2016年1月30日
68718294,31545068,夏天的星星沙,《野子》让我听到旷野、听到苍穹、听到荒漠和无边无际的黄土丘壑、听到炽热的沙暴、听到蓬勃生长的一切、有温度的、干燥到要燃烧的生命。就像是二十几岁的青春，没有那么青涩无知却也不过分老练。还有梦，还期待做梦，还敢做梦。,7561,2016年2月7日
