170024247,63503006,mmino,我只知道那个自己拿奖都很淡定 却在4minute拿一位时候哭了的人是金泫雅,26889,2016年6月17日
66900252,42624385,qinkaeda,4米妮 2NE1 两个顶着女团旗号出道的男团,21770,2016年2月1日
66923237,50023136,crazzzspencerrr,记得4minute video里所有成员的共识“不求做大红大紫的组合 只求长长久久”09女团 同时期或前辈女团历经各种重组 空白期 有的甚至都解散 4分钟坚持着一年回归一次出现在歌坛 实话说 除开泫雅 其它成员的个人特色确实不鲜明 因为她们性格是极其低调的 然而 五个人09-16 一起走过来 细水长流,12918,2016年2月1日
138214580,247036269,陈瑞薪,0709团的时代真是女团盛世，可现如今，BEG，WG，AS回不到原来的盛世，Kara解散，少时Jessica退团，T-ara8人变6人，2NE1敏智退团，f(x)雪莉退团，4minute合约即将到期，secret，rainbow不温不火。。为什么会这样,7324,2016年4月5日
66925205,69720059,点击此处修改昵称,曲风突变虽然被吓到但依然阻止不了我疯狂抖腿嗨到起飞嘉允开口跪好听炸四米妮回归大发,7248,2016年2月1日
66891254,44985912,Rickwang711,虽然觉得主歌和副歌有点接不上，但还是酷酷的,6033,2016年2月1日
66870366,64030136,月野兔本兔,忙内那段节奏逐渐加快走入副歌的部分真的太好听了，嘉允开口跪高音听着太爽，我们智允依旧rap帅炸智贤的声音好温柔好戳心，想死你们了终于回归了,4135,2016年2月1日
66873333,2425759,叫我MeU,1分10秒全身鸡皮疙瘩，这才是四分钟原本的样子,3545,2016年2月1日
67215814,100795178,Hertz_Hzzz,听韩曲的你们都知道编曲的Skrillex吗？,3477,2016年2月2日
134569906,121263548,hhhhhhhhappiness,其实我也喜欢泫雅但是我并没有觉得4M 被泫雅覆盖 只不过泫雅比较出名别人只认识泫雅罢了 说真的泫雅部分平心而论也一般般（除solo） 我不信这个团只靠泫雅一个人就可以撑起的 你看现在不也五个人都有自己特色了吗 方块也开始重视南队这次造型也美美哒 个人观点 4M不是泫雅养的 不喜勿喷！,2702,2016年3月27日
69289162,52032234,阑珊芷灯火,开头骗人系列,2413,2016年2月10日
66923187,76114887,tatsurra,以散发出的帅气美魅力归来的元祖女团4minute终于回归!这次的迷你七辑全员都参与作词 希望能大发呀!,1977,2016年2月1日
