304773972,323641690,一个甜草莓啊,可能最幸福的事是我在网易认识了一个男朋友吧❤️,27.2万,2017年2月9日
313564133,60553593,yu鱼乐-,泡夜店、纹身、打洞、买醉这些事看似很酷，其实这些事一点难度都没有，只要你愿意去做就能做到。更酷的应该是那些不容易做到的事，比如看书、健身、赚钱、用心爱一个人，这种在常人看来无趣且难以坚持的事情,19.7万,2017年2月20日
290729779,68630012,影子大王zzZ,看了Galen Hooks的编舞，那点烟的动作，那表情，那眼神，那肌肉，那爆发力，虽然动作简单可是做好也不容易，撩得我心神荡漾,67540,2017年1月19日
292443749,268272391,第三个愿望留给别人,翻译君再次飘过。谢谢大家的支持。很多不足之处会改正。爱你们么么哒~,62021,2017年1月22日
454275634,113528157,DiedAt17,分了就该老死不相往来，展露一丝思念都是贱。,51524,2017年6月28日
516350550,71495359,穆轲一,蹲电视机前半个多小时就是为了等广告搜这首歌。,50544,2017年8月19日
506509185,249960110,EaderValeria,满脑子都是飘柔广告里空姐小姐姐们的头发,34538,2017年8月11日
1194523004,630107490,老板来一满杯百香果,“你敢踢她这一脚 我保证你会后悔一辈子”哇 自带bgm的道明寺帅气出场,27765,2018年7月27日
1211811962,114797851,libera的阿狸,Like a river，Like a river如同清澈见底的溪流Like a river，Like a river如同缠绵婉转的小河Like a river，Like a river如同万马奔腾的大江 没有人夸翻译吗？！这翻译吹爆啊！,26630,2018年8月11日
1332515207,83443030,纳水尼蓝,牛气冲天！！！请问怎么样才能在网易认识女朋友,16593,2018年12月20日
67706658,50430012,如花一般绽放丶,开口醉～,11975,2016年2月4日
1060890904,443238974,AloneSking,我很想你，但我不会主动找你因为我很酷！没想到你比我更酷，我不找你你也不找我,10196,2018年3月21日
1333906947,128775657,万古人间四月天呀,还他妈真有网易云恋爱的？,8390,2018年12月21日
700256224,356313702,靠谱的成年女性-,姥姥76岁了 今天一起看电视 突然问我这个歌叫什么名字 说很好听😘我自己歌单里就有 放给她听 开心,7618,2018年2月9日
67638532,66369446,独行的棕鹿,封面好棒啊,7334,2016年2月3日
