170740485,38424012,夏目的木,论专辑封面和曲名是如何埋没一首好曲子的……,10万,2016年6月18日
199958449,47260781,天佐具卖,我想写一本书，叫《论演奏者前奏起得快还是切歌者手更快》,70977,2016年8月16日
170975933,290747270,焰令,封面毁曲系列,47355,2016年6月19日
228097934,107965830,傅晓涵,只要十美元就可以买到一颗星星的命名权，还有一张像模像样NASA的证书。中文的外文的平庸的奇特的，只要花钱的人愿意，给哪颗倒霉的星星取名叫 二狗子都行。可是花再多的钱，我都没有办法在你的名字前面，加上“我的”两个字。原来对我来说，你比星星更遥不可及。,45622,2016年10月11日
192897396,302533792,山药芋子茄,自从听了寄生兽以来啊，每日推荐都是纯音乐，我告诉网易要雨露均沾呐，可是网易偏食不听，纯音乐！纯音乐！纯音乐！听到我都不知道怎么唱歌了,36534,2016年8月3日
171626961,267179577,羡羡几岁啊,私人fm里看名字真的想切的但是手欠把进度往后拉了一段感谢今天手欠的我 ,17960,2016年6月20日
164846277,93046780,洛霖-,世间的繁华喧嚷，总有尘埃落定之时。。。,16753,2016年6月5日
290779919,135204536,Mr哈,突然想起村上春树说的一句话“你要做一个不动声色的大人了。不准情绪化，不准偷偷想念，不准回头看。去过自己另外的生活。你要听话，不是所有的鱼都会生活在同一片海里。”每一天晚上都要早早睡觉，不要熬夜，不要多想。,15194,2017年1月19日
253857210,62648179,烈咚-,看到歌名我还蛮激动的 终于给我推了一首汉语歌啊 点开才发现我想多了。。。,13324,2016年11月26日
169355794,255798244,苏元可,这世界原本轻描淡写所谓悲喜，错过，遗憾，失落都是恰好的正确何必只盼望一片妖娆,9694,2016年6月15日
309187397,351610742,爱你爱唱歌6,写歌的人假正经，听歌的人自煽情。,9084,2017年2月14日
170061183,291184417,把话说给懂得人_OeqU,或许当我变成一片叶子，一粒尘埃的时候我会听着这歌伴着风起舞。,7383,2016年6月17日
605772030,417747610,暮雨独白,临秋温凉天色晚，稚童逐犬深巷穿。屏中色彩熄几时，恍觉浮生已过半。,7104,2017年11月5日
359824873,333684021,子悦融妆,曾经拥有的东西被夺走，并不代表就会回到原来没有那种东西的时候。——东野圭吾,6567,2017年4月18日
321653213,284686608,不离不弃33,💭小时候我爱哭，妈妈骗我，你再哭警察叔叔就抓走你，我一怕就收声了。长大后真喜欢上一位警察，在一起六年，双方父母闹了六年。最终他选择回归正常生活，跟别人结婚去了。他结婚那天，我呆坐在家门口，忽然想到什么，回头笑着对妈妈说:您说，我现在哭，警察叔叔会把我带走吗？妈妈哭了。,4766,2017年3月2日
