126326322,76084967,天野河星乃,如果我们 能活着出去的话 万水千山 你愿意陪我一起去看吗,12.2万,2016年3月5日
127047209,246260887,衔葭,真正有中国元素的国漫的才能唤起我们的情结，让国人产生共鸣而得到归属感。小红娘从开头的中国民间四大爱情传说，到涂山氏，九尾狐，姻缘石等设定，都是我华夏千年的文化积淀。国漫的崛起无法依赖别人，就像《大圣归来》一样，我们自己的文化要靠我们自己来书写传承。相信终有一日我们会以国漫而为骄傲,72755,2016年3月7日
168549273,49452874,UNEKO,ACG榜这个第一是你们给我的！谢谢所有喜欢她的大家！！！！！很开心有那么多人通过这首歌和MV知道了狐妖这么优秀的作品！这也正是我最想做到看到的即将超展开的月红篇也请大家继续支持啦！！！虽已光荣交棒OP 梦回还仍然会作为剧中重要插曲再次出现噢(・ω< )★,65878,2016年6月13日
126285451,40023197,一片无言无语的星空,这大概是我自认为第21集里王权x清瞳最重要的部分了，基本等同于《梦回还》的MV。看的时候请想象满屏滚动的弹幕“如果能活着走出去，万水千山，你愿意陪我一起看吗？”又燃又感动😭然后和我一起来追动漫和漫画好吗,34073,2016年3月5日
126311596,38838628,取西经的唐小藏,21集一点都不好看，我也就从昨天一直循环今天。这首歌一天都不好听，我也就十几遍吧。王权富贵一点都不帅，我也就截了几十张图。真的不好看，也就是看哭了。,30392,2016年3月5日
126341632,81300393,Ekkoart,前半句说对了 后半句说错咯 是妖术 但 是道法！,19609,2016年3月5日
126341614,70794067,宝宝不啪,你们相信轮回么？,17033,2016年3月5日
135319270,58169106,生活需要一点点魔法,「道门兵人，足不出户，上一世你为此烦恼，这一世我又怎能使用限制你自由的东西呢？」——少奶奶的笑容由我来守护吧,16869,2016年3月29日
126476514,250120486,苏苏-名L字O别V太E长-白月初,国产动漫原来真的不逊于日漫啊，这是我看完狐妖之后的第一想法。曾经觉得国漫很幼稚的我，现在已经深深的喜欢上了这部动漫，虽然它的画风没有所谓日漫那样精美，可是我们喜欢的不就是狐妖中的点滴温暖吗？一曲梦回还，一段狐妖缘，一部此生最爱的动漫，一句无悔入此坑的宣言：我永远爱你，狐妖小红娘。,15090,2016年3月5日
128934818,34763395,suremax,我就一句话，我愿意为此动漫付费观看。,12870,2016年3月13日
128595970,115710121,莫德雷德是世界的宝物,本神预测！当动漫出到苏苏与月初接吻的那一刻！B站绝对弹幕爆炸！要是B站弹幕不爆炸！本神直播日致远星,10651,2016年3月12日
137314492,124664397,疑似智障,真没用啊……二货道士……就这么死掉的话一点也不像你啊……你这个把一生都搭在我身上的人……为了我，离开涂山……为了我，扬名立万……为了我，全力阻止人妖间的厮杀……就为了当年心中，容不下你的我……苦情巨树啊，你听见了吗，如果我也已经爱上了他，我愿意用我们相识的一点一滴,10590,2016年4月3日
130915764,61061552,摈除七情六欲只求发家致富,其实这是个很逗比的漫画，逻辑上也不是很严谨，可是不知道为什么每一个爱情故事都会看哭，不知道为什么打架就觉得帅，讲情话就觉得感动。这可能是只是一部各方面来讲都一般的漫画，可是总觉得能看出情义，看出大道。,10314,2016年3月18日
134071271,35260038,我是Alice,不喜欢王富贵，但是好心疼王权富贵！！！,9847,2016年3月25日
641075645,311753745,君奈奈,王权富贵把所有帅都用光了，啥都没留给王富贵。我拒绝承认这两个是一个人,3875,2017年12月14日
