18796255,1,网易云音乐,当然……………… 不可能。,62.2万,2015年5月19日
5265375,30599120,SweetJourney,关于开头的一段话。那是一株薰衣草。女孩轻轻的碰碰薰衣草弯弯的脑袋，这时风铃清脆地响了几声，店门被推开，女孩回头，看到一个带着笑容的大男孩，刘海净净躺在眉间，干净的眼睛看着女孩，接着落到窗边舞动的小花身上。越过千姿百媚的花枝，径直走向薰衣草。,22.1万,2014年10月28日
17599993,48337298,Hentaiuncle,前奏对话的后半段Lucy:"What do you mean?"Lucy:"你的意思是?"Ray:"Oh， you see， you won’t have to send them anywhere. I’ll pay for them， and then， I’ll leave them here， for you."Ray:"哦，你看，你不必把花送到任何地方。我会买下她们，然后我就会把花留在这里，送给你.",12.7万,2015年5月8日
123595269,137331718,第五个影子gn,因为网易云 我预备结婚要放的歌已经满到溢出来了。可能要结两次婚了………………,11.1万,2016年2月25日
5399122,33412870,不再扎马尾,歌曲开头的对话片段引用自一部电影《Assignment: Outer Space》（又名Space man，法语Le vainqueur de l'espace）的对话。,10.9万,2014年11月2日
4834023,13885331,桑尼颂,我已经喜欢上网易云音乐了.,92571,2014年10月11日
324415097,370883774,幽兰-戴尔,刚开学我上课的时候戴耳机听歌，被班长发现。我舍友开玩笑说我戴的是助听器，班长当真了。之后我和班长在一起的时候就一直带着耳机， 班长经常把我的“助听器”摘下来，然后小声骂我蠢，我忍着笑装听不见。有一天，班长说：「我要骂你啦！摘助听器！」我把耳机摘下来，却听见班长小声说「我喜欢你。」,91779,2017年3月6日
387734067,474546813,神罗天征_s,个个都在期待520！其实520的意思就是，5分钟的感情，2个人干的事，最后都是等于0。520是假的，只有502才是真爱，一滴永固，三秒即可，永不分离，即使分离，也得脱皮…,85009,2017年5月20日
129336336,136412361,磨刀霍霍向羊毛,和男朋友，哦不，现在是前任了。第一次冷战半年的时候，弹了这首曲子，那个时候真的觉得跟蝴蝶一样，越谈越快感觉自己要飞了，然后我就治愈了……感谢爹妈以前拿着菜刀逼我学琴，居然是个治愈失恋的方法,76038,2016年3月14日
53075278,20473172,大大胖冬瓜,前奏刚起吓得我差点把英语试卷拿出来,75033,2015年12月11日
58400364,113890444,Ade_-,可以喜欢，请别上,70650,2016年1月2日
728528421,319964110,啊帆呦l,卡农、雨的印记、菊次郎的夏天、雪之梦、悲怆、星空、天空之城、秋日私语、克罗地亚狂想曲、梦中的婚礼、夜的钢琴曲5、寂静之声、泪之曲、梦中的雪、风居住的街道、神秘园之歌，花之舞，会有人懂我说的,66040,2018年3月7日
1124865988,565888162,_六六二,他家附近有只猫他总买肠喂它看着小猫 他开玩笑说你要是有灵就保佑我多赚钱有天他在马路中间安全过马路突然腿咬了口 他下意识的退了几步这几步他刚好躲开失控的车咬他的猫却碾在车轮下晚上他梦见小猫开口讲话我虽然没有钱但是我有九条命送你一条我喜欢这个故事,48169,2018年5月22日
47986464,48353,网易CEO丁磊,一无所知的世界，走下去，才有惊喜！,43932,2015年11月19日
5123448,33422607,vctcn93,日本纯音乐，用西方的乐具演绎东方的灵魂。Refrain 就是典型代表。,43054,2014年10月24日
1550794833,258895105,旺仔大炮,当我听到时，希望能忘了你的样子,3584,2019年7月9日
1550757364,1784924899,彭帅文,我的名字是我朋友的名字，叫彭帅文，他要转学了，我非常的喪，我和他玩了5年，当了5年的兄弟，我愿意下辈子继续和他当兄弟💔,1561,2019年7月9日
1550788711,269235658,当当当当当_H,人家就不能结金婚，钻石婚吗？,112,2019年7月9日
1550766066,264710882,橘子味的鱼阿,人为什么要活着。。。,987,2019年7月9日
1550788608,512425180,爱国者兔,王朗小儿，快下马受降！,558,2019年7月9日
1550783605,602375937,停留的十字路口,节奏大师集合了,481,2019年7月9日
1550765789,380626199,TX4333,各位晚安,531,2019年7月9日
1550768738,452831740,空城空梦空回忆,来啦…（来自睡眼惺忪的温华）,41,2019年7月9日
1550728063,501683426,熊猫熊猫熊猫吃竹子,一个人的晚安(´｡• ᵕ •｡`),352,2019年7月9日
1550719014,1685819370,24K纯Au滑稽,网易云好，这首在马化腾那要钱,918,2019年7月9日
1550736709,1892482458,被遗忘的胡先生,越喜欢的.越不珍惜你 .再也不见.看介绍,301,2019年7月9日
1550702049,477229605,壮壮啊望望,和letter记混了，都一样好听,392,2019年7月9日
1550686512,330818122,Yue0211,今天很不开心，我来听听这首音乐太累了想不明白自己在为什么烦恼再为什么压抑。。。。。。。,257,2019年7月9日
1550685542,364933897,不正经的小辰,天哪，你经历了什么,71,2019年7月9日
1550671554,442968874,鬼小木_,像我这样的人,45,2019年7月9日
1550632210,584062383,皮卡丘我们去抓海绵宝宝吧,看到啦，谢谢你,25,2019年7月9日
1550634120,442057790,MynameisWangLaosi,我也这样,38,2019年7月9日
1550658588,1516884071,敌敌畏都毒不死的用户,转眼。。。10w+1了啊,309,2019年7月9日
1550650527,1481529301,子非安鱼m,11601个赞有我打破，哥们，快来听歌。,40,2019年7月9日
1550583320,1424925153,这是谁家的小棉花糖啊,遗憾吗？可惜吗？对那个人......,225,2019年7月9日
