142424218,94308852,奇怪的老妖,一个慵懒一个柔软，都好听,17.7万,2016年4月16日
153687017,67127038,澳洲鸭脚木不,双笙子只有跟囧菌合唱时能唱出姐姐的感觉其它时候都是小妹妹（didi）,15.3万,2016年5月12日
149492289,127110453,-Lordly,听歌归听歌，麻烦大家别评论谁谁唱的好听不好听。这是不礼貌的行为 还有请大家尊重原唱者！毕竟没有原唱拿来现在的翻唱？ ,79515,2016年5月4日
231198687,292546300,_彭阳阳,上次我一个同学让我给她推荐一下高考曲子，我说你唱双笙的吧。然后她说二笙就和她一个培训班，古风歌根本不敢拿出手,73130,2016年10月17日
142359608,71221421,揪马克思羊毛,梨花香，缠着衣角掠过熙攘复悄入红帘深帐听枝头黄鹂斗渠儿，细风绕指淌坐船舫，兰桨拨开雾霭迷茫不觉已一日过半过眼的葱郁风光，悉数泛了黄褪尽温度的风，无言牵引中便清晰了在此的眉目暮色的消融，隐约了晦朔葱茏在这老街回眸，烟云中追溯我是谁只消暮雨点滴，便足以粉饰这是非待这月色涌起,41348,2016年4月16日
154972948,89219893,林念蓝,网易云我跟你说，你再给我推荐这种歌，我，我就不走了o(≧v≦)o,32325,2016年5月15日
152000196,270630813,古韵悠扬丶,去微博找啊少年，一看你就不是老司机/滑稽,28060,2016年5月9日
157007872,82294553,饭饭丸子熊,嗯，益笙菌，cp要站对！,26529,2016年5月19日
182335382,267715419,帐号已注销,囧菌二笙前世绝对是千年虐恋，他们的情意天都嫉妒。于是今世变成了她们，可这依然无法阻止她们要比翼双飞的信念,21824,2016年7月13日
142337665,71221421,揪马克思羊毛,谁人轻叩这门扉苔绿青石板街，斑驳了流水般岁月小酌三盏两杯，理不清缠绕的情结在你那淡漠眉间，瞥见离人的喜悲霜雪楼阁现，尘飞雾散荧光蹁跹显露出斑驳石阶入眼是落英纷然，芳草入深院凭栏杆，小桌上置琼觞两盏阖眼听清风疏叶似曾有欢声笑言，萦绕这高轩云动寂静鸣蝉,18024,2016年4月16日
642940346,1307123479,追不回来的童年,我和小棋童下棋时，遇见了琴师，琴师弹了一首倩音流年给我听，我们在白石溪里看见了一条大鱼。回家路上，我碰到了我的一个道姑朋友，她告诉我这山上的霜雪千年不化。后来，我听见一个扬州姑娘在唱歌，我上前询问，她说她在唱棠梨煎雪，她还问我要不要和她一起等月出。真爱粉看懂接下去。,15431,2017年12月16日
143597251,113242172,liiinnnnmm,循环笙笙好几天了,10800,2016年4月19日
215983372,260660097,阿柏想成为小布尔乔亚废物,去漫展偶遇双笙……真的，确认了之后没给拍照,9963,2016年9月17日
142371573,71221421,揪马克思羊毛,雨坠激漪涟皴擦点染勾勒这世间缘起的一眼，定格了三生千年在这老街回眸，烟云中追溯我是谁只消暮雨点滴，便足以粉饰这是非待这月色涌起，谁人轻叩这门扉苔绿青石板街，斑驳了流水般岁月小酌三盏两杯，理不清缠绕的情结在你那淡漠眉间，瞥见离人的喜悲霜雪三月梨花雪，几载开了又败笔锋走黑白,9513,2016年4月16日
142379511,71221421,揪马克思羊毛,丹青中穿插无奈彼时那弯儿月，何时初现于江畔而我又在待何人在这亭台回眸，千年后忆起你是谁只消月色隐约，便足以粉饰这是非待这 回忆涌起，恍惚之间已下泪枫红十里长街，红帘后谁人蹙着眉遥梦桑竹桃源，轮回中曾道别的地点愿今生再相见，消融你眉间悲戚霜雪,6755,2016年4月16日
