123033350,32601115,我愿是天空里的一片云,突然想起初中生物课本上关于蛋白质那部分有一个浑身都是肌肉的女人,26.4万,2016年2月24日
6504277,10073926,Lunas,引用之前听过的一句话，有些歌，就是不会过时，什么时候听都感觉她站在流行的最前线，,89097,2014年11月30日
24330442,31350336,斋人無音,由美国摇滚女歌手Joan Jett于1988年演唱的单曲，取自专辑《Up Your Alley》，Joan Jett凭借该单曲终于再次打入Top10，专辑也成为了她的第二张白金唱片。刘德华在1996年借这首歌的旋律翻唱了粤语歌曲《我恨我痴心》，收录在其专辑《一个人的感觉》。,59857,2015年6月30日
8630798,23858628,TO1208,那么老的歌竟然那么那么那么好听！我觉得不掺两句脏话无法表达我的爱，太特么好听了，摇头晃脑抖得听不下来,49452,2015年1月12日
7094847,6080871,你听啥呢,封面袁泉,34107,2014年12月14日
9572054,44389125,和田光司,欢迎来到实况足球八。。。,24937,2015年1月28日
126551947,93080070,买辣条也用券-,为什么你们都是抖腿？？？可为什么我想动脖子啊。。。。。不是段子来着，是真的想律动着。。。动脖子。。。难道上辈子是新疆人。。。。,24093,2016年3月6日
8563503,39454126,加州招待所-大所长,谁说女的唱不了摇滚?,23651,2015年1月11日
1073180250,303030531,狞芙,看头号玩家的时候一个人，听到这首超兴奋又没人分享，只能默默跟着节奏点头哈哈哈哈哈哈,18178,2018年4月3日
27091079,72527230,Laurindaaa,我和我妈在看好声音 看到那女的唱歌 我妈说 好想听听她唱英文歌 我说 她这嗓子我只能想到她唱I hate myself for loving you 谁知道后来她说她给婚庆唱歌 就唱这个。。,16379,2015年7月19日
1075102781,393029529,网易路鸣泽,2016 - 疯狂动物城（偏见与和平） 2017 - 寻梦环游记（梦想与亲情） 2018 - 头号玩家（虚拟与现实）,15138,2018年4月5日
1076043135,501395347,-忆夏思乡_,从小到大，关于游戏听过的最多的一句话就是——玩游戏有什么用？当然，现在的年轻人可以回答，说玩游戏可以打电竞，可以挣很多钱。你也可以这么回答，但如果你真的这么回答，那么十几年前那个穿着背心拖鞋打着双截龙超级玛丽的男孩他一定会难过。因为肯定不是这样的。打游戏才不是为这个，从来不,12851,2018年4月6日
268134095,290653791,公子五,本来已经跑了五公里了。喘得跟狗一样。忽然耳机里传来这首歌。想起当年的某渣男。老子感谢你不娶之恩。不行了，感觉还能再来五公里,9423,2016年12月18日
1074784779,547848732,写着作业抖着腿,刚刚看完头号玩家出来，这首歌就是我最大的彩蛋，音乐响起的时候太特么激动了，感谢让这首老歌重见天日！！！！6666666,8036,2018年4月4日
1073230213,77042645,学友表弟,如果10年错过了阿凡达 那18年千万别再错过头号玩家了 这是在N年后依旧可以向别人吹牛逼自己当年在电影院感受过的作品,7351,2018年4月3日
