172715536,29769090,四咩,自杀小队换成X特遣队要是再不过审 起名叫少年先锋队我们也是可以接受的,14.7万,2016年6月22日
172058086,76536414,PRXZM__,这电影以及电影原声肯定血洗全球！,14.5万,2016年6月21日
172106986,134057299,momomoyouth_,看见电影名我就痛心，本来自杀小队没过审，改成X特遣队才过，可是又怕剪太多，期待了这么久，这么精彩的配乐，邪魅小丑女，想想都生无可恋,74568,2016年6月21日
173316673,116798641,前尘别,只要能上映 别说X特遣队 就是叫少先队我也去看,49723,2016年6月24日
172132075,111778872,HELENHANS,自杀小队原声带包括姆爷grimes李伟skrillex天灰panic at the disco等等……还有飞行员唱的主题曲！全是我喜欢的，就等着爆炸吧🙄🙄🙄,46539,2016年6月21日
172131297,53408124,沉默的卡戎,heathen意思是没有宗教信仰的人；异教徒；野蛮人；未开化的人，跟自杀小队成员的气质十分符合。 两段RAP中说的psychopath， murderer， freakshow，应该分别指的是丑爷，死射和鳄鱼人吧。,35770,2016年6月21日
172413619,7437658,车干君,民风淳朴哥谭市，人才辈出阿卡姆,33657,2016年6月22日
190628604,294698528,帐号已注销,记住我这条评论，如果《自杀小队》能在中国上映，我手抄四大名著!!!,26494,2016年7月29日
172104271,41109055,SherlockLee_,X特遣队”又称“自杀小队”，成员都是面对严重牢狱之灾的超级罪犯，包括死亡射手、鲨王、回旋镖队长和哈莉·奎茵等，他们为美国政府干一些极其危险的脏活，以此来为自己减刑。该片将承接DC宇宙的剧情，本阿弗莱克饰演的蝙蝠侠也会在本片客串。,24608,2016年6月21日
629800430,614921334,_千鳥銳槍,小丑：你愿意为我而死吗？ 哈莉奎恩：我愿意。 小丑：不，不，不。那太简单了。你愿意为我而活吗？,23225,2017年12月2日
177567557,106543854,小泽玛利原,如果八月份我因盗版电影资源被抓，请你们记住我，我是为了你们,20486,2016年7月2日
172138073,79503231,ii74,why so serious?,19861,2016年6月21日
187327919,110789945,Laqueena,那是因为哈莉几乎调戏过DC每一位男英雄,18620,2016年7月23日
190418016,283768667,石窦伽,民风淳朴哥谭市，人才辈出阿卡姆。诚信商人企鹅人，环保卫士毒藤女，公正不阿双面人，优秀演员乔克儿，管道疏通鳄鱼人，体恤民情黑骷髅，模范丈夫急冻人，心灵鸡汤稻草人，勤学好问谜语客，正骨推拿找贝恩，爱护动物赛琳娜，济世良医奎哈莉，助人为乐小丑哥，人生赢家布鲁斯,13339,2016年7月29日
172985198,113543877,李鳄鱼的bot,DC一直是反派唱主角，去讨论更深更黑的东西，就这种风格我能一直爱下去。各位院线见,10803,2016年6月23日
