215699081,307123750,305舍长,“海绵宝宝！！你被开除了！”“蟹老板！！”“不用谢。”,18.9万,2016年9月16日
215556970,135660861,呦我头发没乱,刚起床听到室友在厕所放这首歌，我惊奇，推开厕所门一看，一人一桌一椅一扇一抚尺而已,12万,2016年9月16日
283898452,288467889,Fortune丿,“什么！派大星你竟然敢把我关进监狱！你被开除了！”“可是我并不是蟹堡王的员工啊”“那么你愿意成为蟹堡王的员工吗？”“愿意！”“好的，这是你的工作帽，你被开除了！“,91014,2017年1月9日
215660411,62985525,Airfree会飞的鹿,我儿子大哭大闹，突然网易宝宝发了一个消息给我，标题为我被这些歌洗脑了，然后我点进来听第一首歌，就是这首，我儿子突然就安静了。感谢网易宝宝救了我的老命！！,49911,2016年9月16日
597760495,373779652,眼神犀利的高尔基,这首曲子，充满了浓浓的北爱尔兰风又与后现代主义有机的结合在了一起，整体曲风活跃欢快，充满活力，象征了海绵宝宝先生乐观向上的生活态度与对蟹堡王工作的爱慕之情，与章鱼哥的颓唐风格和蟹老板吝啬的手段形成鲜明对比，进一步歌颂了无产阶级的无私与讽刺了资产阶级的腐朽堕落,36668,2017年10月27日
213050511,126085241,柠愿装酷,想起海绵宝宝尖尖的喊着章鱼哥🐙，章鱼哥，一个蟹黄堡好了！章鱼哥的大长鼻不耐烦的一抖，站在船型柜台里，高冷的点着餐。,27223,2016年9月11日
494512492,421274103,Nevo_ReX,把我顶上去 我科普一下 蟹黄堡是翻译过来的 原英文是 krabe patty 蟹老板是有一种品种的 并不是熟的 这种品种叫圣诞岛红蟹 呃或者是澳洲红蟹 但是不是熟的就对了,22551,2017年8月2日
193930086,314597592,入MC此生无悔的小号XD,水蛭·蒙太奇 Gmod死亡跑酷 minecraft这游戏真难家庭滑稽录像,21955,2016年8月5日
224416664,126091698,佐佐木v琲世,童年回忆满满想哭థ౪థ熟悉的节奏傻傻的海绵宝宝和派大星，讨厌别人的章鱼哥，科学家珊迪，抠门蟹老板，一心偷秘籍的痞老板这是蟹老板的死党，害怕海绵宝宝的驾校老师，这几个人物就构成了一个温馨搞笑朴至的故事！多么怀恋啊！,15776,2016年10月4日
270840783,308409125,不想长大影影,什么水蛭。。。我只知道这是海绵宝宝里的音乐。大爱海绵宝宝！,8106,2016年12月22日
271424793,279290358,规律瞌虫,什么水蛭？！这是海绵宝宝里的插曲！,6264,2016年12月23日
534147943,409009082,哇的一声哭了-,大家不要把海绵宝宝的小蜗给忘了呀，还有海绵宝宝的父母和表哥，还有大龙虾救生员，还有里面经常在海绵宝宝电视上出现的鲨鱼主持人，还有经常和海绵宝宝打空手道的松鼠珊迪，还有教海绵宝宝开车的教练泡芙老师，还有蟹老板的女儿鲸鱼珍妮，还有痞老板和痞老板的老婆(就是那部机器),5940,2017年8月25日
621487303,542151956,啤-酒酒酒噗,宿舍有善口技者。。？,4267,2017年11月22日
1311661686,126691563,瓜皮西不吃糖,海绵宝宝：他这样飞起来很酷不是吗？派大星：他究竟要飞多高啊海绵宝宝？ 海绵宝宝：一直飞一直飞，派大星，他要飞越这一切！再见咯！朋友！ 派大星：一路顺风！ 海绵宝宝：好了派大星，他现在已经抵达世界的另一边了！派大星：对，他到了一个更好的地方，比这要好! 谢谢你，史蒂芬海伦伯格,4053,2018年11月28日
1314009476,1306072571,青春不走生命不息,听说海绵宝宝之父最近去世了，海绵宝宝治愈许多人，却治愈不了他自己,3855,2018年11月30日
