5944891,42632520,风居住的街道_ZARD,这城市那么空。。。。。。,14.7万,2014年11月18日
6769366,17352077,shuaitao丶YaPi,记得有个同学叫涂雷，每次广播放这个总是很喜感..,67609,2014年12月6日
23124658,33545170,Rainlight,当初学到Apologize这个单词时，老师刚念完一遍，后排忽然间就有人唱到：“It's too late to apologize"之后，他就圆润地离开了教室现在想想，还真是怀念,43624,2015年6月22日
11635085,17485109,IM_AFISH,尼玛爱死这首歌！每次戴着耳机听这个歌，觉得全世界就我最牛逼！,40603,2015年2月28日
46250424,77777696,-不能没有Passion的金大靖-,当年考雅思的时候，第二部分让描述一首歌，我就以这首歌为背景，现场编了一段爱情故事，现在已经出国留学近3年了,28260,2015年11月12日
130781027,69074546,Do9ie,俺摔了只土雷，他爆了炸了，土雷～,23482,2016年3月17日
9886456,44411676,风水工程师,有没有人感觉这版比Timbaland那版remix好听的？？这版从前奏上就赢了啊。。。,19344,2015年2月2日
51646631,34207407,我只要燃烧,高中早课起床校园广播歌it's too late，吓得立马爬起来,17864,2015年12月6日
57632747,94718974,灵肝肝,高中早操跑步学校放的apologize我一同学在后面吐槽说这啥歌跟要没气的似的。那是高中三年以来我们班第一次，我一个女同学和一个男生在操场上撕打成一团，丢了大脸😭现在想想还是觉得他该打！,10116,2015年12月30日
138695386,111783426,树上打瞌睡的猫,评论第一条完全毁歌,6779,2016年4月6日
61656409,51734477,特-斯拉,希望少一点无聊的过时段子，少一点什么考试、做爱、失恋分手、耳聋等无聊无营养的评论，多一点对歌曲的感受，以及对歌手歌名的补充与丰富。更希望多一点推荐，推荐歌曲，推荐歌手，大家一起努力，找到喜欢的音乐，找到风格。希望分分钟的一曲，同频你的心音。,5853,2016年1月14日
137921051,61465678,猫颂,我第一首学会的英文歌 同学一句一句教的我 歌词现在还记得很清楚 每次去KTV必点 我教的她月半小夜曲 她唱歌很好听 12年到现在过了好久 很感谢她在学校对我的照顾 我不爱喝水 她每天在宿舍煮好水倒我杯子里让我喝 有段时间早上上课起来 她泡好了麦片给我跟另一个同学 很幸运遇见她,3734,2016年4月4日
11970067,29330164,臆丿,像钟楼上堕天使捂脸 十二点敲钟人忘了敲 鸽子没了心跳 锁没舍得放开钥匙 少年抱黑猫跨过梯子 白衣服后背两道笑脸伤口已经缝好快要结冰 工人给镜子装相框 烛台两边左肩盒子银笛色内层天使面孔右肩盒子灰崖色无名者笑容 “你在默哀？”"我还没死"“你在悼念？”“她还活着”,2476,2015年3月5日
138281245,256902811,五年的感情,放下吧，曾经给你买的手机你丢了，换上了6s。我知道。但你不知道曾经和你买的单车我丢了，现在我换上了路虎,2121,2016年4月5日
55051356,106705538,SouDanni,每次失望一次，我就少做一件爱你的事，直到最后备注改成全名、取消特别关注、上线不主动找你、收起你送的东西、删掉你所有的照片、再也不偷偷看你的时候，就是该说再见的时候了。多年后你会不会记得，曾经有一个人很努力的珍惜过你。——失望是一天天积累的，离开是很长的决定……,1953,2015年12月20日
