207404791,44905530,愫真,三毛说：“每想你一次，天上飘落一粒沙，从此形成了撒哈拉。”,14.9万,2016年8月30日
207554797,127557446,枝楑,鲛人长生烛不熄，深海而居梦佳期。 山有木兮卿有意，昨夜星辰恰似你。,10.8万,2016年8月30日
223838312,55261371,Kiomewa,烛问，人生到底有多长？ 小和尚答，几十年之间。 烛问，人生到底有多长？ 小和尚答，饮食之间。 小和尚自问，人生到底有多长？ 小和尚自答，你我之间。——玄色 哑舍,99819,2016年10月3日
269448706,290658615,零小瑢,熬夜等于慢性自杀，那熬夜和喜欢的人说话，算不算是慢性殉情呢？,83590,2016年12月20日
221436700,304710139,榮呀339,曾经有个男生问过我，你知道山有木兮木有枝什么意思吗？当时我不懂，后来懂了，但我们没有后来,69261,2016年9月28日
249505722,105010176,帐号已注销,就是这把嗓子，把我拉进了古风圈从此万劫不复永世不得翻身！虽然后来爱上了魂总的江湖少侠气，又入了粑粑的户口本，还抱住了干妈的大长腿，但是，每次听见老大那有点色情的沙哑、忧郁的温柔的嗓音，就想去啃他的喉结（虽然那肉肉的脖子是真的看不出喉结！）,64643,2016年11月19日
265133467,72525786,西诵,那天吵架后 发现他把签名改成 愿世间山有木兮卿有意 昨夜星辰恰似你。这是我很早之前分享过的歌 我以为他是改给我看的。后来才觉得 我特么太能给自己加戏了。他根本没注意到我发过歌 今天上他号 发现一个和他很暧昧的女生 签名是 身无双翼 却心有一点灵犀 愿世间春秋与天地 眼中唯有一个你。,61936,2016年12月14日
258161580,321695416,可是你也会难过啊,特别喜欢这句话:愿娘子相离之后，重梳蝉鬓，美扫蛾眉，呈窈窕之姿，选聘高官之主，解怨释结，更莫相憎，一别两宽，各生欢喜。,56101,2016年12月3日
222261250,272658023,古槐树_小妖,可是无论我再怎么想你，天空都不会掉落一粒沙，因为这个世上，只有一个撒哈拉,43196,2016年9月30日
255457665,273665597,巧克力玫瑰糖,“愿你一生努力，一生被爱，想要的都拥有，得不到的都释怀。”,29886,2016年11月28日
233130133,131234841,杜汉生与刘奈斯,这首歌让单身狗超级难过,23051,2016年10月21日
1500103593,311499889,执素兮兮兮,评论破六万打卡！我终于有姓名了！作曲认领成功！也挺感慨的，这首歌到现在已经有三年了啊。总之，很感谢喜欢这首歌的人，也很期待有一天「山有木兮」所有原班主创团队新的合作作品出现！,22606,2019年5月25日
257895586,102029426,仙门少夫人,想起沧月笔下的鲛人，苏摩灰飞烟灭前对白璎说，每年的这一天，我会化成潮水会来看你。鲛人一生只爱一个人，当时没多大感想，如今想起才发现有多虐,22278,2016年12月2日
252977009,43109449,请赴长安_,曾经我不懂什么叫做“山有木兮木有枝，心悦君兮君不知。”现在我懂得了，却没办法说出口。我心悦的那个人啊，我只愿你一生安乐，一生被爱，一生走过一切皆如你所愿。,17824,2016年11月24日
699846815,454732643,木南ku,越人歌今夕何夕兮搴洲中流今日何日兮得与王子同舟蒙羞被好兮不訾诟耻心几烦而不绝兮得知王子山有木兮木有枝心悦君今君不知 讲的，确实是男子与男子的事然而又有何耻？不过是情起不得已。紧紧是握手，就足以记一辈子。我仅能在桥下看你盖凤霞也罢。,16617,2018年2月9日
