203213903,256971166,如今我们天各一方,曾经校园三巨头：许嵩 汪苏泷 徐良,28.4万,2016年8月22日
203532168,70905236,向阳坡上,我记得歌词好像已经滚动了，没想到我之前传的歌词还能过审，这应该是我为汪苏泷做的第一首歌词。有生之年居然还能在我汪的歌词下留下我的名字，太感动了,14.1万,2016年8月22日
203596737,263481755,还有救的懒癌晚期,小峰峰 徐良 许嵩 汪苏泷 单色凌 后弦 渔圈 颜小健 乔洋 本兮 小凌 c蓝 阿悄 我记得的就只有这些了，欢迎补充,83998,2016年8月23日
205474566,47409967,胡萝卜12138,作为一个男的，对这种剧上瘾了，别赞，要脸,76830,2016年8月26日
205462179,62516399,Aaaaacce,这部剧证明了小说翻拍电视剧不要随便改动按照原版就能好评。,56473,2016年8月26日
205728732,132806738,小鹿凭栏,这剧最喜欢的地方就是 男主喜欢女主 女主喜欢男主 没有第三者 男生宿舍的好兄弟之间友情也都非常牢靠 没有背叛 一起创业 很喜欢,54725,2016年8月26日
202974957,44292263,同95_汝何秀,曾经的网络歌手之一蜕变成创作才子，一言不合就二次元献唱，自古好剧配好歌~啦啦啦~我要用我的洪荒之力抢前排了~汪~,44874,2016年8月22日
203067693,247601188,薛之谦的前女友,“就承认一笑倾城一见自难忘，说什么情深似海我却不敢当，最浪漫不过与你并肩看夕阳。”配上男女主角初次见面时候的小悸动，也是没谁了,39460,2016年8月22日
205717090,272636572,迦邮,我看过原著的同学说。整部剧和原著没什么太大差异男女主角都很符合原著。唯一不足的就是郑爽演的贝微微没有原著的贝微微胸大。我去你的😂不要在意这些细节,36276,2016年8月26日
206382661,69133157,太乙真人徒弟灵珠子,这部剧虽然玛丽苏，但是你要知道里面都是三观正天天向上的，就算打游戏也不忘把卷子做完 233333,28790,2016年8月28日
205019152,111144117,听着故事看着云,汪苏泷：答应哥哥，看微微一笑很倾城的时候，不要跳过片头曲。,23579,2016年8月25日
205964527,129108900,送你一首Daydream,看到网上一个评论说:躲过了若白倒在了肖奈,21006,2016年8月27日
205681295,248058332,酱油腌柠檬,原著党可以很负责任的说 还原度几乎达到百分之百 连内心的读白都几乎和小说一模一样 大赞！！！！！,17549,2016年8月26日
204802475,315993480,勿莣离忧,有多少人喜欢杨洋演的肖奈啊,13530,2016年8月25日
