280392230,295220811,slowboat_,诅咒看到这条评论的人，钱多到花不完,21万,2017年1月5日
225494873,55535424,welphenEDM,三哥R3hab又给女歌手制作混音啦！这次是瑞典流行女歌手Zara Larsson的Ain't My Fault！,34091,2016年10月6日
242948071,44256819,偷封面的人,跟我一样大的妹子都已经出了16张砖了，而我却躺在被窝里晃腿。,30063,2016年11月7日
625018481,406827568,会唱歌的陈子豪,我为了找这首“哦哎哎哎哎”，对着听歌识曲哎哎哎哎了一下午，嗓子都哑了，屁都没给我找出来，最后花了一个礼拜，找了五六百首电音，终于才找到，很难受，想哭,24212,2017年11月26日
508062723,408082057,鲜虾鱼板面_Kris,我天真的以为，戴上耳机以后我还能写作业,15146,2017年8月13日
225566814,101379876,TimDiCaprio,被R3hab看上的歌并且为其Remix的一定是好歌！,13383,2016年10月6日
225565630,258482292,帐号已注销,来晚了新晋老婆被抢走了,7995,2016年10月6日
225513436,112077194,dArtagnan小虎,听见阿三哥就感觉这首歌有一股印度味听了听果然是呀,5243,2016年10月6日
225564261,77590631,Tance梦,三哥R3hab再次给女歌手制作混音！这次是瑞典流行女歌手Zara Larsson的Ain't My Fault！ Zara Larsson - Ain't My Fault (R3hab Remix) Release Date: 2016-10-07 Label: Epic Records Style: Future Bass,4613,2016年10月6日
423453423,265351988,im-推,大家好~ 我希望大家对我友善一点~ ,3780,2017年5月30日
1332390357,555429702,我的腿只为你抖,好恶毒的诅咒，我好喜欢,3668,2018年12月20日
225492962,42689902,清新温柔Kevin,R3hab又出新混啦，还是是大家喜欢的Zara Larsson的单曲Ain't My Fault ,3584,2016年10月6日
225496844,74412924,胡思乱想夫斯基,混音扛把子Future Bass也玩的6，三哥叼叼叼！！！好听极了,2545,2016年10月6日
1334283883,266014096,A_uT_umn,小小年纪说话这么欠赞,2399,2018年12月22日
