256891931,337602752,林亦熙zz,屌丝捧红了女神，女神选择了富二代,10万,2016年12月1日
251980825,273463745,经常洗头,我就是当年欺负她的那个人，卢本伟,49893,2016年11月23日
244936922,106715682,扯铃儿,告白气球就是这几年神曲中的一股清流，听了很多的版本都是那么好听，甜甜的初恋感觉。更何况二珂那么美，简直甜到炸，哈哈我爱你们,39204,2016年11月11日
260354010,294035829,韩箱子的音乐盒,如果有人知道南开大学的梁剑峰，请告诉他，我还是爱他，我叫林园。如果评论被淹没，就当我是个傻子。,36331,2016年12月6日
244605181,3211454,橘黄色向日葵,这是我上传的😊,23250,2016年11月10日
264076730,371117583,土块0,有个叫周杰伦的翻唱的不错，大家可以听听,21882,2016年12月12日
265242785,262892561,第九深蓝,你说你有点难追 我他妈反手就一锤,18115,2016年12月14日
282002962,36445819,袁白露,“老子扎破你们的告白气球”,15009,2017年1月7日
259302665,267751423,老是晚上去散步,去KTV唱这歌 有个女的跟我一起唱 我以为是要对唱 我唱了几句 停下来 那女的好像不太会没跟上 接着我又唱了几句想让她接 她还是不会唱 然后把歌切了 不会你别拿麦 这么可爱干嘛,14987,2016年12月4日
270106780,67064514,Meridiren,你说你有点难追，想让我知难而退，礼物不需挑最贵，只要：YSL唇釉、CPB隔离、Armani红管、Chanel丝绒、TomFord口红、Dior变色唇彩、bobbibrown粉底、SKII神仙水、lamer面霜、纪梵希小羊皮、ipsa遮瑕、纪梵希散粉……,11123,2016年12月21日
269985468,251326652,卷毛大人的一天,大二的时候 一个女孩子主动追我 其实我对她并没有那么强烈的感觉 一天她让我去舞房 正巧那时舞房没有人 她平静的把手机连在了音响上 然后放起了这首歌 然后 她用jazz跳完了这首歌 她跳起来的那一刻我就知道 我已经深深喜欢上她了 静静的看她跳完 她红扑扑的脸仰着 问我跳的好嘛 我说 当我女朋友吧。,9663,2016年12月21日
270150714,300594668,银草金草都是花,把评论告白全赞了一遍，毕竟这么怂的人不多见了,8177,2016年12月21日
277442700,122971049,你温柔了十里冬,老婆，对不起，害你跟着我受苦那么多年，一直租房子住，当年的班花啊，结婚四五年，没去旅游过一次，没去ktv一次，唯一去的游乐场还是带我们的女儿去儿童游乐场，看着你陪女儿坐碰碰车那么开心，心里好难受。,5920,2017年1月1日
264678021,95189177,牛仔布坦克,南开大学的男女关系真的复杂！！！,3623,2016年12月13日
325394238,307177287,sakaru,如果你刚好认识南京的崔颖玲，就请告诉她，我喜欢她，我还在等她，我要娶她。如果这条评论沉了，就请当我周志豪是个傻逼吧。,3447,2017年3月8日
325454674,275949785,初墨书生,时间真的可以 改变 很多东西,2034,2017年3月8日
325448558,111635962,StarrySky丶MK,想看有二珂的狼人杀😐,861,2017年3月8日
325445491,395547036,我还是跑调算了,还在一起么,441,2017年3月8日
325442866,286168106,不是陈梓妍,扎心了 老铁,445,2017年3月8日
325449034,122481792,JerryVoV,祝评论里没女朋友的都能找到校花女朋友，校花太多用不完,1127,2017年3月8日
325439606,50230027,原只为,自己不努力还不允许别人追求美好!,679,2017年3月8日
325435475,328526577,不见清风1,加油,206,2017年3月8日
325430531,291436291,唯爱挚莹,告白不代表会你们能厮守终身，但是不告白注定会后悔有一个可以厮守终身的机会。,503,2017年3月8日
325424963,307177287,sakaru,那你就当周智浩是个傻逼吧,265,2017年3月8日
325424737,354876632,迷人的秀儿,你说你有点难追，怕是翻皮水了,188,2017年3月8日
325423557,367042923,焦星博问你要不要来点猫,才6赞，真沉了,542,2017年3月8日
325394238,307177287,sakaru,如果你刚好认识南京的崔颖玲，就请告诉她，我喜欢她，我还在等她，我要娶她。如果这条评论沉了，就请当我周志豪是个傻逼吧。,3447,2017年3月8日
325392328,425059876,SirLopez,我现在处境和你一样兄弟，现在只有拼命赚钱，记住，我们都欠自己媳妇一次,327,2017年3月8日
325389277,252219564,悟空少卿,告白气球飞走了怎么办,154,2017年3月8日
325380679,95458445,每天多喝温水,唯一九神贼九的前女友吗？心疼粉丝，想接盘都接不到。,96,2017年3月8日
325371483,109010357,Goodbye丶Mylove,骗自己真的没意思,57,2017年3月8日
325370365,353838184,旧时光成糖,让我想起以前的同桌,72,2017年3月8日
325363792,63804837,一棵yang,分了散了好久了，小肥 牛蛙君 狗徒 贼九,63,2017年3月8日
325346822,299551668,保护长耳朵的兔子喵,告白网易，我今天七级啦！,93,2017年3月8日
325350284,267136447,Xiah13,二珂和著名富二代小肥走到一起了啊，你不玩微博的呀？,55,2017年3月8日
