261086603,324515602,生物化学与分子生物学重修,有多少人知道“樱花🌸”是路明非艺名的？举个爪。,14.8万,2016年12月7日
244721724,64846286,满汉全席音乐团队,把歌都传上来啦！基本全部都是无损WAV哦以后b站跟网易云会同步上传哒～,10.1万,2016年11月11日
260118676,75542889,Hi钱小钱,上杉绘梨衣，不知道有没有人懂,68726,2016年12月6日
248860237,270641838,淡醇熏骨染云笺丶,我已经不能再在你的身边了。总是在散步道，樱花树并排的地方慢慢远去。经常游戏的河面上的天空的光的方向去。虽然已经不能见面了，虽然孤独，但是不要紧。有生以来真好，真的很好，和你遇见真的很好。樱花，樱花，想见你，不要嘛，现在就想要见你没关系，不要再哭了，我是风，正包围在你的身边。,44511,2016年11月18日
260591638,253478250,H知行合一Z,樱花飘落的速度是每秒五厘米，我要用怎样的速度，才能走完我和你之间的距离。,41745,2016年12月7日
248815347,270641838,淡醇熏骨染云笺丶,樱花，樱花，想见你，不要嘛，现在就想要见你没关系，不要再哭了，我是风，正包围在你的身边。樱花，樱花，想见你，不要嘛，现在就想要见你谢谢，一直都最喜欢你，我是星星，会永远看着你守护着你。和你认识真好，真的真的是很好很好。已经不能在这里了，已经不走不行了，真的对不起。,25799,2016年11月18日
248815352,270641838,淡醇熏骨染云笺丶,没关系的，在这里，我是春天，抱着你的天空。樱花，樱花，想见你，不要嘛，现在就想要见你.谢谢，一直都最喜欢，我是鸟，永远为你唱歌。在樱花满空飞舞的他方，如果闭上眼睛就在心里。樱花，樱花，想见你，不要嘛，现在就想要见你。可以啊，微笑的看哪，我是花，你指尖上的花。,15050,2016年11月18日
248771436,270641838,淡醇熏骨染云笺丶,樱花，樱花，想见你，不要嘛，现在就想要见你谢谢，一直都最喜欢你，我是星星，会永远看着你守护着你。和你认识真好，真的真的是很好很好。等你归来的午后，你的足音，不形于色的事情(不能告诉别人只有自己知道的事情)对我来说的，(知道了)是最开心的事情。你对我说的话，一天的事情，很多的事情,10307,2016年11月18日
721464033,1384297793,莎菲娜爱上莉莉安,你喜欢一个日本女孩十年❤️为她种过樱花❤️为她学过日语❤️为她背井离乡❤️为她放弃一切❤️最后，你放弃了❤️我真的想安慰你，可是我连同样喜欢了你十年这件事，都不敢说出来。我又拿什么安慰你？💔,9341,2018年3月1日
248787446,270641838,淡醇熏骨染云笺丶,对我来说的，(知道了)是最悲伤的事情。那是你的笑脸，你的泪水，都是你的温柔。叫我名字的声音，抱紧我的手腕，都是你的温暖。虽然已经不能再接触，也不会忘掉，(这是)幸福的事情。有生以来真好，真的很好，能遇见你真好。樱花，樱花，想见你，不要嘛，现在就想要见你~,8832,2016年11月18日
654571424,569130053,陈曦_lin,“我一直强行把一些东西送给你。我的时间，我的爱，我的胡搅蛮缠，我的狰狞和可爱。我从没问过你想不想要，我只知道这些我从不给别人”,7835,2017年12月29日
714483520,285667955,网black啊,爸爸爱抽的香烟也早就升价了.小卖铺那位白发苍苍的老板也快要离开人世了.这世界变得真快阿 什么东西都在转眼间就消失了.所以你还有什么理由怀念过去 而不去珍惜现在.开始努力呢.不要总为莫须有的事情 而放弃了一直陪伴你的人，,7674,2018年2月22日
248827327,270641838,淡醇熏骨染云笺丶,樱花，樱花，想见你，不要嘛，现在就想要见你。谢谢，一直最喜欢，我是爱，在你的胸(心)上。樱花，樱花，想见你，不要嘛，现在就想要见你。没关系，不要再哭了，我是风，正包围在你的身边。樱花，樱花，想见你，不要嘛，现在就想要见你。谢谢，一直都最喜欢你，我是星星，会永远看着你守护着你。,6796,2016年11月18日
707737208,425104816,我八岁好吗,昨天，我的猫离开了我，我的小乖乖去了远方，从来没有想过要放弃它，可是它还是离开我了，医院我多少钱都给你，你把我的猫还给我吧。想每天我一回家都跑到我面前要抱抱摸摸得小宝贝，想每次爬上床要和我睡觉的小宝贝，想着被病痛折磨着还坚持爬到猫砂呕吐的小宝贝，想一叫就会应的小啾啾。,5597,2018年2月16日
658159078,499500602,l全村希望l,这首歌写的是一位父亲对死去女儿的思念，个人认为并不适合刷路明非绘梨衣，虽然我也喜欢龙族，但我更尊重一位父亲的爱,4693,2018年1月1日
