252029073,16873023,曾忘情,任何人投入起来，都像是一个小孩。,11.6万,2016年11月23日
261197628,311562370,猪温泉,任然真的是个超级温柔的人 在全民留言说我生日 希望能给我一句生日快乐 她不仅祝我生日快乐 还点进我主页给我的一首歌送了花 一年前的事情 现在都还记得 会一天比一天更喜欢任然❤️,93604,2016年12月7日
1598180213,40863632,葛雨晴_Mars,“时间就像是长了脚的妖怪 跑的飞快”参与作曲的一首歌，希望喜欢,62863,2019年8月16日
301047457,91857398,我住在你丢掉的歌里,下辈子一定要长成你喜欢的样子，然后不喜欢你,50644,2017年2月4日
252265282,105753794,Oh任然,那你肯定没听 《想要拥抱你》🌝,34174,2016年11月23日
380060533,307992242,风偏偏er,照片我没删，我只是加密了；东西我没丢，我把它们都装进了那个大箱子里；而你，我也没忘，我把你整理好，放进那些情歌里了。,30901,2017年5月11日
252242931,200086,Xun易硕成,那你肯定没听 《想要拥抱你》🌝,21689,2016年11月23日
258795086,253563651,白雪公主的-毒-苹-果-,任然，你火了你知道吗…以前你的歌我都是自己一个人静静听，现在很快就999+啦~有才华的人不会被埋没…属于你的大门正在打开😘,21167,2016年12月4日
1580291621,323852477,沈舟晚,16年后，魏婴想要什么，蓝湛就给什么，连天子笑都是笑着给的，失而复得，所以倍加珍惜再也不要弄丢你了再也不要失去你了,20106,2019年8月3日
304818925,111235257,帐号已注销,00后开始早恋了。。。而我这个阿姨级别还没有男朋友,15409,2017年2月8日
1603430029,6182004,LowBit朱鸽,写这首词的时候，我到底经历了什么,14397,2019年8月21日
252243478,128921345,外川科长,你知道吗你呢 前无古人后无来者 认识你真是我三生有幸,11628,2016年11月23日
306094084,103268495,皮皮非主流,曾经有一个女孩，她给了我最好的青春，最好的时光，如今时光飞逝，我们渐行渐远，彼此都有了新的生活。我们都怀念以前，每天都可以牵着另一个人走街串巷，每天醒来都可以看到最爱的人躺在身边，我带她做过浪漫的事，去过最美的地方。她是个悲观的女孩，现在也时时消极，我想让她看到，生活一定会变好的,11221,2017年2月10日
259070279,128921345,外川科长,遇见是运气 没遇见也是,9609,2016年12月4日
319125980,78145738,对面有条狗i,路遇卖唱小伙，吉他弹得帅气，歌声诚恳而有毅力。想拿十块给他，发现钱包只剩一张五十整的，于是走过去把钱递给他。他不禁一笑：不用这么多。我也不禁一笑：找我四十。他笑而不语，我也笑而不语，默默把五十放在了他面前的盒子里，然后拿了两个二十转身离去，身后传来小伙低沉而温柔地“谢谢”的声音。,8128,2017年2月27日
