324053132,233456,唐映枫,想避世。更要在世上。,19.5万,2017年3月6日
324045659,104209716,青峰拂面Soda,三旬尚远浓烟散，一如年少迟夏归。,12.3万,2017年3月6日
324178645,62463377,湖南工业大学,挂了电话，打开这首歌，想起在14年夏天，千里单骑昆明——拉萨，滇藏路上，未逢对手。怀念勇敢的自己，敬时间一杯酒。18考研，愿一如年少时模样，风雨不挡。,95109,2017年3月6日
324959083,121709108,你与宏村,有个姑娘说，你听的歌都太矫情了。我说，你肯定是爱情里被爱的那一个。,62737,2017年3月7日
324046581,95995562,秦才淞,岁月带来皱纹，白发和肚腩，但一定带不走你我心里的那个风马少年。,56323,2017年3月6日
324381471,400393949,吹吹风能清醒感冒也没关系,沈从文说：在春天，去看一个人。愿你在历经过所有的世事沧桑之后，忍受了所有的孤苦无依之后，捱过了无数个泪往肚里流的夜晚之后，内心仍然充满积极向上的希望，依旧拥有疯狂爱一个人的力量。,42811,2017年3月6日
324247730,275576783,氷鬼,卧槽卧槽太巧了！真的太巧了！我竞选学校广播站主播的稿子就介绍的陈鸿宇！最后一句话是“2016年7月，第二张专辑《一如年少模样》开始制作！！！然后今天就出了！！！我明天去竞选 祝福我吧！,37323,2017年3月6日
324098727,94680922,沐雨来,你是年少的欢喜，喜欢的少年是你。,33889,2017年3月6日
653179525,600392057,你个丑八怪呀,愿你是渣的那一方背负所有骂名愉快生活而不是在深夜痛哭辗转反侧茶饭不思做一个痛苦的好人,33374,2017年12月27日
656908101,267398224,柒楼丶,17年初妈妈突发腹主动脉血栓，家里人没敢告诉我，直到快不行的时候才接到老爸的电话，跑遍各大医院，都是冷漠的拒绝。天无绝人之路，血栓转移，虽然家里负担不起，但在我的坚持下，还是送妈妈去了医院，遇到了一个年轻却善良的大夫。快一年了，母亲已恢复大半。2018，希望妈妈早日康复,28792,2017年12月31日
324053112,3194171,苏菀,求而不得没什么不好，至少这个过程你成长了。成年人其实就是少了年少时的横冲直撞和头破血流，想要的就去争取，得不到的就努力释怀，这样才是人生啊。,23101,2017年3月6日
1075958802,437830900,阿薇薇的乔,去年妈妈查出了乳腺癌，陪着她做完了八次化疗，经历了失业，亲戚朋友的疏远背叛，看遍了人情冷暖，如今妈妈的治疗已经完成，重新找到的工作也很好，那些不值得的人已经放下，如今的我热爱生活，乐观向上，一切都很好。,21834,2018年4月5日
324137866,287035567,杨猛ym,多少凉薄世态可动荡，还有孤独要顽抗，多少遗憾自负存念想，唯有时间不可挡！感觉词曲点眼是这，词抓人，曲挠心，上味乐食！,18151,2017年3月6日
657966717,513329994,海底放风筝,十年的努力，终于做到机长的位置。在民航的十年从一个敢说敢笑的楞头青蜕变成一个成熟稳重的中年人。一切都不再年轻，一切终将逝去。成熟的过程总是五味杂陈！只有想到她的时候，才能再看到那个无忧无虑的年轻的自己！,14126,2018年1月1日
1188038640,1318321658,花朝柒-,有一次在地铁口 遇见一个卖栀子花的老太太满头银发 一口苏白和她闲聊"阿婆 侬年纪那么大了干什么还出来卖花啦 辛苦伐""哎呦 你不懂 今生卖花 来世漂亮",10154,2018年7月22日
