466819886,383426021,大马gosh,当你打开这首歌的评论时，很幸运，我们经历上产生过共鸣,11.8万,2017年7月10日
466930394,105753794,Oh任然,雀跃 （电影《再见17岁》主题曲） 词曲：朱鸽编曲：朱鸽演唱：任然+小来哥录音：朱鸽混缩：殇小谨吉他：朱鸽Bass：朱鸽和声：任然和声编写：朱鸽制作人：朱鸽配唱制作人：朱鸽+殇小谨录音室：Hot Music Studio混音室：Hot Music Studio℗ & ©：千和世纪,58156,2017年7月10日
466904412,343642448,巫泠漪漪,爱上任然，缘起山外小楼夜听雨,49365,2017年7月10日
466891501,266088971,谷歌之露,爱情这东西，你来过一下子，我想念一辈子，谁说得清楚,41763,2017年7月10日
467062302,448740834,等灯等灯__,结婚的时候给我一张请帖吧，你开心的，难过的，温柔的样子我看过，最后我就想看看你不属于我的样子。,40636,2017年7月10日
466924597,9380452,幻梦_,此刻正在去往学校的车上 恰逢高温 我是一点都雀跃不起来 十二月离现在很近了 明天考研课开始 临走前妈妈说你得对得起自己吃的那些苦 我坐在候车大厅里看着人来人往 看着父母远去的背影……已经没有时间可以耽误了 五个月以后走出考场的那时候 希望我能雀跃欢呼的起来 加油 共勉,35040,2017年7月10日
466906809,401823497,帐号已注销,记得那天，女生看着对面的男生，说:"你会喜欢我吗？″男生淡淡的说了一句不会。女生温柔的看着他说那我教你好了。,29292,2017年7月10日
719549114,1325640511,蒋丞的眼角,前半生最强烈的心跳:下楼梯踩空上课走神被老师点名和你对我笑 ——2018.2.27,28289,2018年2月27日
466929628,511073075,佶野1,多想留在你的身边 朋友也好情人也罢 看到你 想到你 我就雀跃,17891,2017年7月10日
614936837,396196831,小猪头人有个小猪脑袋,多想你在我的身边，今年的圣诞是否有人陪你吃炸鸡？,17745,2017年11月15日
466916145,277446751,爱与正义的咸宝_,多谢你如此精彩耀眼。做我平淡岁月里星辰,16469,2017年7月10日
468780033,279941015,清弦z,可能想说的就像这首歌一样 五年了 方彦 愿你安好❤️,14495,2017年7月12日
1390097374,1464060430,王啵的85号摩托,“以哥哥的身份陪你长大，以爱人的身份陪你到老。”---《现在就告白》情人节吃过最棒的狗粮了,11561,2019年2月14日
1454781741,456257414,Betterme170421,我在这边备战考研他在那边保家卫国两百多公里的距离我们在想念彼此的时候就看一眼对方的照片我知道等待虽难 但是后悔更甚❤️想到生命里有了他 还是雀跃,7856,2019年4月17日
548605424,110100294,死者生前记,人生是一期一会的事，就像樱花。所以我总是遇见独一无二的你，你总是遇见独一无二的我。,6704,2017年9月6日
