475371276,370256734,AccFeng,遗憾千万种 各人皆不同,18.5万,2017年7月18日
475344242,294320505,墨不畅刮丝,这世界上有什么糖是苦的吗？ 有啊！她的喜糖。,14.9万,2017年7月18日
475292610,280129699,Ankaid,越过山丘 才发现无人等候,59989,2017年7月18日
475884531,135090281,许久未见邓记不起雪标无妨,年少不听李宗盛，听懂已不是少年,57179,2017年7月18日
475298691,19389416,YouTube热门日推,庆幸有三俩发小，是岁月也带不走的。,38589,2017年7月18日
476289445,121870150,L李大岛,不要让某个女人做的蠢事 变成你自己与自己的争执,34807,2017年7月18日
475327514,358508583,接吻高手,当你发现时间是贼了，它早已偷光你的选择,32187,2017年7月18日
475366525,328208256,棩函呀,高晓松说：“李宗盛可能是华语音乐最大的一口井，当这口井滋润到那么多滚石唱片当年的歌手的时候，他周围其实形成了一片森林，枝繁叶茂。”,29098,2017年7月18日
475738993,107598829,请叫我切切,还未如愿见着不朽就把自己先搞丢。,20731,2017年7月18日
475281673,136482002,孫煦,想进一家餐馆喝桃花酒，想去一家布店扯桃花布，想去一家小店看桃花鱼，想越过桃花漫野的山丘和你从十六岁走到六十岁。,19052,2017年7月18日
475613887,245985940,帐号已注销,十九岁，我们在一起六个月然后遗憾错过；二十岁，你来找我复合，经历了这几个月的风风雨雨，感觉好像过了几个世纪，我们都才发现彼此是对方的真爱。这一次，千万别再错过了。我们答应了对方这辈子要坚定不移的在一起。无论贫穷或富有；无论生病或健康；就让我随你去，让我随你去。Y&C,16954,2017年7月18日
475285543,15330924,春路宇添花,定了11點58分鬧鈴聽我哥三年前錄的新歌，終於發完整版了！李宗盛大哥的山丘很有味道，這首越過山丘也很棒。就像宗緯微博說的「彼時山丘，今時越過，懷情眾生，皆有情懷。」楊宗緯演唱，高曉松作詞，完美。單循入睡，晚安❤️,13337,2017年7月18日
475298611,16873023,曾忘情,“1998年暑假，你俩约好用望远镜相互观察。决定1998年有两个夏天。你们看到了丛林与麦浪，燃烧的万花筒，麋鹿和麦芽糖，十万只火烈鸟在路易斯安那，旅人沿着bobo河顺流而下，经纬线swing，抵达廊坊火车站，甜橙色齿轮。你们在暗夜里划船，豢养发光的巨鲸与潮汐，然后单方面宣布看到了爱情。”,12957,2017年7月18日
487795688,112970553,用户112970553,无论相遇还是不相遇，都是献给岁月的序曲。随着熙熙攘攘的人流，向着开满鲜花的山丘。挥挥衣袖，只爱自由。,10438,2017年7月28日
695071359,369100138,基本不心动,每次别人说喜欢我我都觉得他们的喜欢很浅浅到喝过酒就忘记吵过架就放弃,8302,2018年2月5日
