703896888,128745597,不要悲伤啊,星空总是这样明洁，像极了最初的你。,13.6万,2018年2月13日
1084285871,479252290,此帐号已被注册-,每次听音乐看评论，都像是在批奏折,12.4万,2018年4月13日
1099377618,629792578,软子哇,我对星星说：“你真好看w”然后它闪了闪 这是什么意思啊qwq我听不懂星星说话啊qvq闪一闪是在说什么嘛q△q我听不懂啦q︿q谁来翻译一下了啦quq,66739,2018年4月27日
1227356963,547010541,灰澈_Official,纯音乐是没有歌词的，写诗的人是您呢,41267,2018年8月25日
1128327951,275028977,喵小家猫大,它在说，你也很可爱啊,38151,2018年5月26日
712193449,630772058,倪彬20,你能听到我内心的声音吗。没有微弱的呐喊，甚至连出声的机会都没有。你知道星空下的海和一望无际的你一样吗？像是人心的无底洞，像是被风拂过的绿草。也不想接受一些记忆的骗局，也不想接受伤害的言语。就像你一样。正如你一般。我又何曾想过这些那些，但是很高兴认识你。很高兴你离开,24249,2018年2月20日
1083963784,311690230,陈恭澍,汝内心之音者，发自心间，顺于血脉，流淌至身。若无垠之萍，无晨曦明月之星空，或尝受欺者，亦无其过耳。若前沿坦途，饮马碎花，何故曰其人生。耐凡人所不耐，期常人之未所期，当独行于路，偶遇旁人，问好。待汝遇命中所为遇者，方为汝声。吾生于汝之于祖国之处，还望再遇，不甚心激也。,18702,2018年4月13日
1150009211,277634561,Ternura-Cloud,星空之所以美丽，就是因为在无限的宇宙中，不管黑暗如何蔓延，都有星星的光芒去把它照亮。 世界也是这样，有绝望的地方，就会有希望产生,18301,2018年6月15日
1106291685,1292068164,嘿-你没有名字嘛,小时候，我以为裙子只能夏天穿，冬天就必须把自己裹的像个粽子，我也以为只要自己善良，对待一个人的时候全心全意去对待，就会被对方同样对待。可是后来长大了才明白，原来冬天也能穿裙子，善良的人也会被丢弃,17914,2018年5月4日
1335345823,317633161,一不等于零,它说的是，你瞅啥,16560,2018年12月23日
1253632157,1327636855,帐号已注销,它在说：“你也很好看”但是你不知道呀于是它再抖了一下可是你还是歪着头不懂它着急的跳动着闪闪的星光在夜空温柔的眼波里跳跃着算啦你听不懂也没事反正你很好看也很可爱,12823,2018年9月23日
1335453483,1485815274,我会冬眠,😂别人的回答都好温柔啊，唯独你最清奇😂😂,9215,2018年12月23日
1332478363,132669806,凌琼碎玉,朕，已阅[多多耍酷],8071,2018年12月20日
1179250866,547010541,灰澈_Official,555谢谢,7486,2018年7月14日
1127918328,477886004,1dZero,+1！！！！！！很少几个人记得星游记了，现在都是各种其他动漫。。六年了麦当还未到彩虹海，我会和他一起长大，一起到达心中所向往的地方！给我高高地飞起来啊！,6702,2018年5月25日
