496812696,274353892,CamilaAccess,最喜欢Havana了half of my heart is in HAVANA,15.6万,2017年8月4日
618172948,603960588,阿里猫阿老师,如果你错过了20岁的泰勒，20岁的艾薇儿，请不要再错过20岁的卡妹,15.5万,2017年11月18日
496852909,15694464,DangerousUser,中意havana的编曲💕古巴风情,87580,2017年8月4日
513387973,292916121,Blueblurx,为什么我会想到小黄人的banana,75601,2017年8月17日
497651383,48117990,yijianhanshuang,终于终于终于终于 出了首能拿出手的单曲 不再是sia 不再是不知道调拐到哪儿去的电音 不再是唱不上去硬挤出的高音，而是回归自己comfort zone，真是喜大普奔,71294,2017年8月4日
551457633,335361387,YJ-shake,见鬼了，见鬼了，见鬼了，昨天看了一个视频背景就是这首歌，当时觉得这首歌挺好听的，就是不知道歌名，今天就给我推了,53940,2017年9月9日
708387083,135276052,99年的大白菜,作为一名语文课代表 我必须指出 （喜极而涕而激动到哭了） 是一个病句,48136,2018年2月17日
572919740,128951344,chenggn,卡妹被丁日翻牌后的反应太真实了哈哈哈哈哈哈哈哈,35943,2017年10月2日
572918083,78635665,fredarmy,Camila Cabello知道Bieber听了自己的歌之后鸡冻的哭了，视频里真的好可爱,33266,2017年10月2日
573319220,61787700,Goodmello,卡妹Camila Cabello因为Justin Bieber在ins stories上分享了自己的新单《Havana》喜极而泣而激动到哭了！,31350,2017年10月2日
572991274,307514870,Just乔治,被老公翻牌的女人,26452,2017年10月2日
605594734,306895629,世界花式抖腿第666届全能冠军,卡妹本人是古巴人，而havana（哈瓦那）则是古巴首都，是卡妹的故乡，四季气候宜人。正是如此，卡妹这首也是唱出了真感情吧！祝取得好成绩！,21800,2017年11月4日
707492983,98227689,努力努力努力努力呀,这首歌给我的感觉，就想在一个炎热的夏天，一个多情弹着吉他的流浪音乐人，在一次篝火晚会上遇到了一个热辣的古巴女孩，在一段贴身热舞后把姑娘搂在怀里，在她耳边告诉她要带她回亚特兰大，却在第二天篝火熄灭后消失的无影无踪。,20146,2018年2月16日
702998580,490228519,Antonio-Salieri的邻人,卡妹男友据说已经曝光了，Matthew hussy，英国媒体人，是个dating coach，也就是所谓约会专家。原本是教男生的，后来跑去教女生，教导女生从男性的角度去看 了解什么才是适合自己的爱人 NBC节目ready for Love上媒人 著作 get the guy 为纽约时代杂志畅销排行榜热门书籍。祝福！,16473,2018年2月12日
1077517170,97323141,吃玉米的喵星人,同学说这是香蕉之歌,13644,2018年4月7日
