4445489,2770008,我是怪人_,能找到这歌的人绝对有福气,11.3万,2014年9月23日
10005087,18106457,Iamdxc,记得大一那年，老师给我们放了这个电影，然后就疯狂爱上了这首歌。如今大学毕业，时光如白驹过隙，遗憾没能好好把这四年过得像个样。,21432,2015年2月3日
12924246,37342136,笨驴伙计,上学的千万不要起床听歌，会迟到的,19238,2015年3月19日
19779352,7647961,Lana智,想起那年 我的室友们 两男两女 都很有才华 外语很牛 一天我们去KTV 我就这样默默的听那男生和那女生流利地唱这首歌。天知道我有多羡慕 我多想像那女孩一样 和他对唱 和他无所不聊 天天一起嘻嘻哈哈有说有笑 现已各奔天涯 回忆起曾经的小情怀 很美好很苦涩,16077,2015年5月27日
276215252,358045203,赵小鹏的小阔乐,国外的情歌听了想结婚，国内的情歌听了想孤独一生。,13724,2016年12月30日
4933158,37433884,Ten_0010,如果不能给你幸福，我希望可以给你祝福。如果连祝福也给不了你，我只能让你舒服。,8584,2014年10月16日
54822532,77040718,倾故_Yvonne,其实不如说，因为网易云音乐我才遇见了那么多动心的英文歌。如果是其他app，我想我只能每天听着大部分中文歌然后艰难的在各种榜单中挑选着一两首喜欢的英文歌。所以说不是我们装逼，只是基于大数据上重逢好歌的惊喜。,7858,2015年12月19日
5658969,7391222,不和你聊人生,大学四年的来电铃声～～～打开网易的每日推荐随意播放着，这熟悉的旋律蹦出来，我的心扑扑跳…这么多年，听起来还是有心动的感觉,6396,2014年11月11日
6936715,9078407,wonder显,当你可以坦荡的说 我喜欢现在的自己 那大概就是你最好的时候吧 / 无所依无所求的 但是心里总有个方向 一步一步的在朝那个有光的地点靠近 越来越看懂了自己 生命的脉络也变得更加清晰 这样就好了 / 睡得太饱还容易撑坏肚皮 刚刚好就好 归属感❤💦,5471,2014年12月10日
7167467,44686901,攒钱买秋裤,先知道的这首歌，单曲循环好久，然后知道的这电影，看了之后，对这首歌喜爱程度更深了,4016,2014年12月15日
71793526,108762573,天真亦或沉沦,我有一个愿望那就是开着车陪着爱人和孩子去旅游，然后听这几首歌《youre beautiful》 《cry on my shoulder》《k歌情人》插曲，《need you now》《everybody knows l love you》,2242,2016年2月18日
1210397703,401609778,Pouhonlam,不管生活中的你是像亚历克斯那样沉迷于昔日的辉煌不敢坚持自我，还是像苏菲那样被曾经的心理阴影所笼罩，好的爱情总能在最关键的时刻拉你一把，让你看到自己的止步不前和自怨自艾，也让你发现志同道合的另一半，它会给你勇气，激励你与另一个人一起继续迎接人生新的篇章。,1319,2018年8月10日
1342963600,440505617,Princess__Anna,你的评论很正能量，谢谢您给予我自信,1036,2018年12月31日
269624762,50828056,暁遥,老婆，对不起，害你跟着我受苦那么多年，一直租房子住，当年的班花啊，结婚四五年，没去旅游过一次，没去ktv一次，唯一去的游乐场还是带我们的女儿去儿童游乐场，看着你陪女儿坐碰碰车那么开心，心里好难受。,923,2016年12月20日
497131702,443121842,Vivian林中树,我喜欢你！那你喜欢我吗？我不敢跟你表白，因为我是女生。我害怕你不喜欢我，万一从此以后你就不跟我做朋友了呢！可是我还是想告诉你我的心意，我想跟你一起唱《K 歌情人》你不会唱我就唱给你听！赞满700开学我就跟他表白！加油加油！,695,2017年8月4日
