559901196,2688170,银临Rachel,特别感谢图老师愿意跟我合唱~,11.1万,2017年9月18日
557141958,50426147,灰原穷_,这首没啥好说的！给你们图大！给你们喜欢的《牵丝戏》、《拜无忧》、《笔底知交》、《燃犀照夜》的风格！只不过......不给你们加古风元素啦！！,70383,2017年9月15日
569134291,442804304,折桂一支,“是风动，还是幡动？”“是我心动。”,69822,2017年9月28日
556872640,579138391,lhzsz,曾经沧海难为水，除却巫山不是云。自风动起，自我心动起，无论我行至何处，青山远黛是你，英英白云是你，清风竹影是你，凌霜傲雪是你。我看似不动声色地出现在你面前，其实心里早就千转百回。,36234,2017年9月15日
558873323,286295634,天空中一朵超级大乌云,政治刚学到这儿，被洗脑了哈哈哈哈~当时老师就举了是风动还是幡动的例子，激动了一节课！因为心看厌海枯石烂，所以看到水涨桑田；因为心里有你岁月的足尖，所以看到孤鸿在雪原行走……可也正因万种飞烟过眼，才会找到自己的归宿，找到那片巫山。仿佛还是唯心和唯物的矛盾？（哲学真有趣）,24837,2017年9月17日
556917033,411176855,棠狸哩,《坛经》中云：“时有风吹幡动。一僧曰风动，一僧曰幡动。议论不已。惠能进曰：‘非风动，非幡动，仁者心动。”对这首歌来说，是风动，也是我对小姐姐的心动(๑•̀ㅂ•́)و✧,22980,2017年9月15日
556843840,66567770,陆九歌kyuu,作为悲催的海外党差点连数字专辑都买不了。赶紧让基友登了账号购买。一直很喜欢择荇的词，河图的新歌《失空斩》就听得我如痴如醉，今天听到《是风动》，又是一首惊艳的好词。我觉得《失空斩》大气，《是风动》婉约。临姐这首歌的作曲惊艳程度不输《失空斩》。两天两首如此高质量的新歌，真的非常开心,17918,2017年9月15日
557028610,66567770,陆九歌kyuu,你如白云可以任意去来，而你若来，春风自来。见青山妩媚，而不动声色，愿你见我应如是。缘木求鱼还是刻舟求剑？如你，你是那一剑，是让人忘筌的鱼，是执念。,13472,2017年9月15日
1332428737,466629421,关于我们你还有些许记忆吗,是中国移动。🌝,10280,2018年12月20日
556908090,112232118,澪濛子,最喜欢的词作和最喜欢的两个歌手合作了一首歌，简直激动得要昏古起择大的歌词实在是太美了，清疏的行文里却带着震撼人心的力量，经常听得我汗毛都起来了😥整个人呜呜呜呜呜呜呜呜的,9608,2017年9月15日
563300245,77876580,Layla-03Gemini,早就该合作的两个人，终于在二零一七年圆满完成了晚了一个世纪的合唱♡.,8593,2017年9月21日
635622067,52297530,花解语vivila,沧海一扁舟，朝夕任浮游。残风拂云过，新月照花柔。归鹤闻远客，转眼各西东。孤风吹几载，嬿婉镜难容。幡起散飞霜，纷扰何徘徊。思自各入梦，吹乱心失偲。风动亦幡动，如是心不动。心动无可证，自在风幡动。,7941,2017年12月8日
558490528,249262974,暮钟mz,前奏响起来一下子戳中泪点，突然就哭了，我也不知道为什么，想起夭折的初恋，语无伦次不知道说什么好，就是，哪怕他走近一点，多跟我说一句话，我都能像是熬过了凛冽寒冬终于等到缱倦春风从心上吹过，最后才发现，风吹过了，就真的把什么都卷走了，留我一个人在原地，万千红尘都远了去，遗憾都留不下来,6964,2017年9月16日
556966330,395611438,奏簫夜客,择荇的词风都显得洒脱不羁，歌曲节奏也不同专辑其他一些歌曲那样婉转悠长，更显银临小姐姐作曲的灵气！！,4562,2017年9月15日
621946519,442047719,我才是择荇,所以谢谢大家包容欣赏，也谢谢诸位提出不同意见。PS:歌词和银子核对了n遍居然还有错误我也是醉了只需记住:你们图大是“不动”的那个，他是全程痴汉围观银临的“青山”，而银子是“动”的那个，她是千载春风，她是摇曳竹林，她是撩了就跑的来去白云……,4507,2017年11月23日
