4050052,17758846,北极空,一首钢琴曲被调教成这样…,13.9万,2014年8月29日
19205122,61676566,一生都在躲雨,网易真的以为我只听纯音乐了！！！,10.2万,2015年5月23日
30514214,71056288,_木昜巾凡,亲们千万不要标记网易君推荐的纯音乐 尼玛我好久没听过人话了,95827,2015年8月10日
25322413,51239445,一万个蛋卷得不明显,自从标记喜欢了几首纯音乐，就一直不停地给我推荐 啊啊啊啊 想听有歌词的了啊,50267,2015年7月7日
17355397,65063038,LOVE无奈幻想,卧槽……昨天刚在若风视频里求bgm因为太晚所以睡了……这特么早起起来打开云音乐就给老子推荐，网易你是老子肚子里的蛔虫吗,43647,2015年5月6日
54669417,12389338,-----黑猫-----,这一个个都是诗人，俺们村都是端着面条蹲在门口边吃边听，听到嗨了微微摇头喝口汤,32883,2015年12月18日
6149224,16409945,Novone_ZK,网易太给力,25685,2014年11月22日
48288253,61387935,筱冢一诚,最后一个月，考研冲刺中，又听到这首歌，莫名其妙觉得世界都亮了！从没这么拼过，高考也没这么拼过，因为，北京大学！我必然要把你踩在脚下！,23760,2015年11月21日
6089162,265006,基地80,it’s a very beautiful BGM for coding in the night. ,20485,2014年11月20日
126144510,72658771,ShowEason,激情版本：River Flows In You (Original Mix) 动感版本：River Flows In You (Single MG Mix) - remix 安静版本：River Flows In You-Yiruma 英语版本：Color Blind-Matt B 德语版本：Für immer-Eisblume 韩语版本：River Flows In You-TIM PS：前面的是歌名，后面是歌手,16049,2016年3月5日
134208517,258358481,启明廿五,我爱网易云音乐的每一个人，明明写作文也拿不了满分，但却能说出这么多暖人心肺的话语。,13166,2016年3月26日
70274353,129301308,_Sociopath_,原作是李闰珉2002年7月的专辑《初恋》（First Love）里的第4首钢琴曲river flows in you。这首曲子广为人知，被多次填词。而color blind 发行于2014年，两者不存在抄袭。希望大家能够赞我让更多人看到……,9374,2016年2月13日
679529560,391716202,毅佳饭店,家里的钢琴很久没用了，今天突然来了性质弹了卡农和这个曲子，怀着孕的老婆就坐在旁边看我弹…她说我一弹，肚子里的宝宝就动的好欢快…4月份就能看到她的降临，心情激动，因为有预感是个女儿，而且这个是二胎…希望两个宝贝都健康快乐成长，也希望全世界的即将做父母的，多关注关爱你的宝贝,8168,2018年1月21日
351021097,41907096,兜里有腊肠啊,大家看，这位就是被喊麦毒害的少年,5640,2017年4月8日
136625507,112832857,Eatofu不是吃豆腐,這次点的赞要过10吧！激情版本：River Flows In You (Original Mix) 动感版本：River Flows In You (Single MG Mix) - remix 安静版本：River Flows In You-Yiruma 英语版本：Color Blind-Matt B 德语版本：Für immer-Eisblume 韩语版本：River Flows In You-TIM PS：前面的是歌名后面是歌手,4903,2016年4月1日
