1213188533,426763940,巨蟹瑶呢,世界上有一个很可爱的人 这个人正在看着这句话😉,38493,2018年8月12日
584914511,292251834,傳琦Kyan,期待已久的马丁和Brooks合作的“Boomerang”终于上线了！经常在马丁的现场听到这首，Future Bounce 的风格今年也是很火🔥！Brooks之前就跟小马丁合作过热单“Byte”，他Remix的Scared To Be Lonely 、Dusk Till Down以及Feel Good都超棒！,36685,2017年10月14日
584936043,47690104,DJHouc,Martin Garrix No.1,15830,2017年10月14日
584959247,135661908,帐号已注销,鸡冻！小马丁继Byte后第二次与Brooks合作！只不过这次是以小号GRX的形式合作，GaRriX应该是马丁的第三个小号这首虽说是Brooks占大部分，可马丁味儿也能听出不少，超级弹性的Drop是太洗脑！好哥们硬好马丁今年都是火力全开，那就看他们ADE上一决高下吧！期待！,10927,2017年10月14日
586247795,267557440,弋昂同学,给我来一台缝纫机和十套卷子,7080,2017年10月15日
584966566,77590631,Tance梦,Brooks🇳🇱携手GRX(Martin Garrix)🇳🇱新单Boomerang在STMPD RCRDS发行，风格Future Bounce。小马丁现场必打之曲，想必大家期待已久。Vocal版也很好听，这首非Vocal版加入了小马丁的音色，曲子很带感，当初觉得Drop部分那么熟悉，原来这是某曲的2.0，罪过罪过,6457,2017年10月14日
1476230300,560150169,JonesBrent,Boomerang，名词起源于印第安一种回力镖，动词译为使自食其果，反噬。所以这歌中文名可以叫回手掏?,6390,2019年5月3日
584984978,257144199,V-magic,来晚了，昨晚睡着了，醒来看到马丁发布新歌曲了，这首我也是期待了很久，听过枪版的，非常棒，发布后直接加歌单并且下载了，马丁马丁，永登第一,6191,2017年10月14日
585002005,127248187,PassVerification,一口气抖上六楼不费劲，听歌得听盖中盖,5640,2017年10月14日
1234920461,319957907,云南省花式摇头亚军,因为你只能听听7妹虞姬的了,4286,2018年9月1日
586280834,6122466,Memory_888,在异国他乡上不算差的大学，压力大的不想说话也没人可以互诉衷肠。身边的人成双成对，但是并没有适合自己。无数次怀疑自己能不能有所成就，失落的时候就来听听自己喜欢的edm。有时候，一首歌可以挽救自己失落的情绪和低迷的状态。edm给的正能量真的替代不了。always be high！,3711,2017年10月15日
1540288841,1674464537,寤寐之思,我作为一个火影迷，为和某些只刷某音等无脑刷评论“忍者的时代即将过去”的人同为这部热血漫的热爱者感到羞耻。这里给其他不了解火影的确被莫名刷屏而气愤的人道歉了[多多难过][多多难过],3068,2019年6月29日
585171282,399238880,我以前叫Garvey,又一次和brooks合作，这一首future bounce棒，就喜欢铁桶敲，马丁也开始练小号（GRX）了，期待21号百大排名！Martin Garrix No.1！燥起来！,2698,2017年10月14日
