597549145,317437114,ROLLINZ幼稚王,白羊颜值普遍都高,31.9万,2017年10月27日
595977313,98357645,周果亦,之前在杭州和龙龙一起吃饭的时候，他给我看了这个词，就很期待这首歌，后来也很开心参与了编曲制作，希望你们喜欢这首热烈的白羊,18.8万,2017年10月26日
595975831,129687062,任先生-,我是白羊，我很花心 花心的爱她所有的样子。,16.5万,2017年10月26日
596386843,470489854,咯北,好想和徐秉龙 沈以诚谈一场不分手的三角恋,14.5万,2017年10月26日
596039578,312454975,蛋糕和你嘴角的果酱我都要尝尝,陈瑞一定是个短发的白羊座小可爱吧💕,92156,2017年10月26日
595989774,472588863,帐号已注销,自从遇见你 人生苦短 甜长,80351,2017年10月26日
595984890,376270403,帐号已注销,我是白羊的孩子，其实白羊座表面很傻，内心比谁都清楚，看起来是所有人的开心果是因为我们不想让谁不开心啊，宁愿自己委屈也不会让别人不开心，外冷内热的白羊，请珍惜你身边的白羊吧，他们真的很累但是不会说，性子急护短的我，你愿意靠近我吗,62890,2017年10月26日
598846660,122690538,徐秉龙,“可爱不是长久之计，可爱你是长久之计。”,59110,2017年10月29日
611261147,84331027,寄居蟹o,听这首歌的人要么是白羊座 要么就是心里住着一个白羊座,53391,2017年11月11日
595988941,531806778,失眠在冬日,希望有一天我也可以云淡风轻,49006,2017年10月26日
609821366,410526600,-你怎么连话都说不清楚-,白羊座是一个没有安全感的孩子，爱音乐，非常非常爱，怕黑，却习惯晚睡，喜欢隐藏真正的心事，喜欢有口袋的衣服，否则会不知道手放在哪里，习惯抱臂，习惯冷战，有时会突然不知所措，喜欢窗户，喜欢蜷缩，喜欢写字和阅读，有时会莫名的孤单，感到无法抗拒的恐惧感，不爱说话又很爱说话。,37580,2017年11月9日
716129573,66823455,元气少女诗,白羊座的梵高说：“某种程度上，我就是一朵向日葵。”白羊座的安徒生说：“凡是能冲上去，能散发出来的焰火，都是美丽的。”白羊座的三毛说：“我笑，便面如春花，定是能感动人的，任他是谁。“这就是白羊，热烈迷人且倔强。,31690,2018年2月24日
596079302,407832877,安与大树,听一首喜欢的歌， 感受生活明朗，万物可爱,30469,2017年10月26日
718811036,288047313,ForNight_49,你仍是自由的白羊只是我已不是那位牧羊人,26547,2018年2月26日
1466570481,41686976,-大胡子叔叔-,幸好我怀里现在就有个小白羊，每天搂着睡觉香,25933,2019年4月27日
