6148815,681194,泡泡小朋友,这歌词怕是再也写不出了,12.5万,2014年11月22日
1083179370,66195194,心海悠蓝,乔峰开局就满级，段誉中途开挂，虚竹盗满级号，慕容复前期充钱，得充值礼包就到处浪，只顾搞公会，后期都没满级，只有鸠摩智是一刀一刀砍怪升级。由于前期欺负段誉，后期被段誉开挂复仇，丢装备删号退服。,88312,2018年4月12日
9622632,50902328,慢热至闷骚近妖,黄日华的萧峰，李若彤的小龙女、王语嫣，陈浩民的段誉，古天乐的杨过，朱茵的黄蓉，张智霖的郭靖....真心谢谢香港影视为我们奉献了那么多经典不可超越的电视剧，点缀了自己儿时的大侠梦。还有这些电视剧的主题曲，经典到不行！,53830,2015年1月28日
7125763,502102,待雨未绵时,黄日华十八掌打出几条龙到处缠绕，帅死了。然后总是YY自己也打出几条龙。。。美好的童年啊！,29980,2014年12月15日
17666210,32960554,-Kisame-,周华健绝对实力派，有一年到我们这里商演，结果第一首歌唱了半路现场音响系统出毛病，结果他完全清唱好几首，并且把现场气氛完全带动起来，那次商演请了好些个明星，那次后我折服的第一是周华健，然后是动力火车,29874,2015年5月8日
6729236,17793384,找人找找人儿,手机存储再大也装不下回忆。。,21692,2014年12月5日
5462610,41467375,红小黄,太熟悉了，现在的武侠剧就少了这一种江湖气息。我们虽不在江湖，却能感受到江湖,17180,2014年11月4日
1290297927,320886289,治愈系男声李新荣,笑你我枉花光心计/慕容复爱竞逐镜花那美丽/马夫人怕幸运会转眼远逝/庄聚贤为贪嗔喜恶怒着迷/所有人责你我太贪功恋势/鸠摩智怪大地众生太美丽/段正淳悔旧日太执信约誓/段夫人们为悲欢哀怨妒着迷/所有人啊啊舍不得璀灿俗世/虚竹啊啊躲不开痴恋的欣慰/段誉啊啊找不到色相代替/乔峰,14753,2018年11月4日
5361819,7907287,烈焰花火,哎呀，太经典了，儿时的记忆啊，那时候没电脑，没iPad，看电视有很大的乐趣，科技在进步，如今快乐却少了,13196,2014年11月1日
6897696,16463683,FUCCCKYOU,特效再好有什么用 诚心才最重要,12625,2014年12月10日
8023977,48473530,在遥远的天空底下,出场自带BGM的男人：乔峰！,11050,2015年1月2日
44065007,58353527,贰姑娘,儿时至今的经典，那些翻拍都死远远的,5839,2015年10月31日
5081375,38826004,有痴心没痴性,小时候放学一群人跑到同学家看，因为只有他家有个彩色电视，而且可以收到电视台。那个每一集中间过场旋律永远不会忘记。,5761,2014年10月22日
43992436,94859475,Haley茵,我的天。这首歌已经单曲循环了差不多一个月完全不觉得腻味！周华健的声音，林夕的歌词，独特的TVB曲风，完全俘虏人心啊。光是歌曲里的江湖气息就完爆各种翻拍了！更别说经典中黄日华的乔峰，陈浩民的段誉，樊少皇的虚竹了！！,5061,2015年10月31日
44032250,47761260,用户47761260,吞风吻雨葬落日未曾彷徨 欺山赶海践雪径也未绝望 拈花把酒偏折煞世人情狂 凭这两眼与百臂或千手不能防 天阔阔雪漫漫共谁同航,4882,2015年10月31日
