7080176,16815547,天蓝--MJ,在现在这个动不动“约”和“生猴子”的时代，“我喜欢你”反而显得那么单纯而美好！,2858,2014年12月13日
8972239,2479038,勤劳的铲屎官,多年前的某一天，坐在课堂上发呆的你，老师的声音越飘越远，那时候的你觉得2008年的奥运遥远得不可想象，也不知道自己2015身在何方，窗外的树上，一群麻雀叽喳着飞过，粉笔砸中你的头，老师让你站着听课，同学们在窃窃私语，窗外的树叶滑落，没人注意到时间它那么仓促，再次想起是否想重新来过？,2379,2015年1月18日
5885359,42230762,_边境线,好多这种类型的歌已经被电视台等媒介毁了,1104,2014年11月17日
6489705,35333973,孤独的加肥猫,喜欢又能怎样，爱都不能轻易说出口，说出来的爱就是责任，就是包容，就是妥协，如果你不确定真爱就是眼前人的时候，放过自己放过那个无辜的人，不要等到爱变成负担，变成怨恨了才说出其实我没那么爱你了，人都很自私，更何况自私的爱，你给不了的爱就放手，成全自己成全彼此。,911,2014年11月30日
26283803,68785378,聆听灬彼岸,激情版本：River Flows In You (Original Mix) 动感版本：River Flows In You (Single MG Mix) - remix 安静版本：River Flows In You-Yiruma 英语版本：Color Blind-Matt B 德语版本：Für immer-Eisblume 韩语版本：River Flows In You-TIM PS：前面的是歌名，后面是歌手,702,2015年7月14日
4630262,36117105,南方小y牧场吖,大晚上听到这么伤的歌，重复来回好多次，脑海出现很多画面，又会克制不去深想，越来越恐惧，越来越害怕，可也越来越轻松，什么都没有才好轻装上阵，好好休整又重新出发！,535,2014年10月1日
6079940,2912239,今天也是超甜的荔枝,这首曲子有两个版本，风格不同，较慢的弹奏版本柔情似水，较快的版本像欢快的溪流，而又不失水的柔美。优美而略显伤感，温暖而柔情四溢。,362,2014年11月20日
8004566,36954241,帐号已注销,英语听力光盘一打开就是它,356,2015年1月1日
31943163,60407830,丶炽热的灵魂,激情版本：River Flows In You (Original Mix) 动感版本：River Flows In You (Single MG Mix) - remix 安静版本：River Flows In You-Yiruma 英语版本：Color Blind-Matt B 德语版本：Für immer-Eisblume 韩语版本：River Flows In You-TIM PS：前面的是歌名，后面是歌手【转】,149,2015年8月20日
61240037,119397859,KYYK_1397,我小时候其实很讨厌弹钢琴。爸妈当初让我学琴的初衷是想培养我的音乐细胞，也不为考级，但是奈何一个小孩子当时能懂些什么呢。现在长大了，心境不同了，闲暇之余反而想打开钢琴弹弹一些曲子，真正让弹琴成为调剂生活的一种方式。兜兜转转，钢琴上落了很多层灰又被擦去，它终是被我发自内心地接纳了。,52,2016年1月12日
61568250,89952036,bilibili音乐官方,看封面好像山下智博😂,49,2016年1月13日
56266558,17927073,厚黑大师兄,四天后，此曲将作为老罗锤子T2发布会的散场音乐，老罗加油，我们不见不散🙂,34,2015年12月25日
61471987,52243381,Tranquil1ty,激情版本：River Flows In You (Original Mix) 动感版本：River Flows In You (Single MG Mix) - remix 安静版本：River Flows In You-Yiruma 英语版本：Color Blind-Matt B 德语版本：Für immer-Eisblume 韩语版本：River Flows In You-TIM PS：前面的是歌名，后面是歌手,27,2016年1月13日
61538675,84040394,有什么不好的,嗒 嗒 嗒嗒 嗒嗒,23,2016年1月13日
61494469,65752625,M2ONEYC,在本歌名后面加上 Lindsey Stirling 一起搜索,12,2016年1月13日
61538675,84040394,有什么不好的,嗒 嗒 嗒嗒 嗒嗒,23,2016年1月13日
61568250,89952036,bilibili音乐官方,看封面好像山下智博😂,49,2016年1月13日
61471987,52243381,Tranquil1ty,激情版本：River Flows In You (Original Mix) 动感版本：River Flows In You (Single MG Mix) - remix 安静版本：River Flows In You-Yiruma 英语版本：Color Blind-Matt B 德语版本：Für immer-Eisblume 韩语版本：River Flows In You-TIM PS：前面的是歌名，后面是歌手,27,2016年1月13日
61494469,65752625,M2ONEYC,在本歌名后面加上 Lindsey Stirling 一起搜索,12,2016年1月13日
61497271,107763399,海晨海辰,··,5,2016年1月13日
61498144,111808608,Yuan107,好看的！！！！,8,2016年1月13日
61465651,119397859,KYYK_1397,我也是，平常在学校，只能回家才能碰啦😄,5,2016年1月13日
61457209,99013610,记忆力退化的玲玲酱,小提琴版的很好听，可惜找不到。,5,2016年1月13日
61364410,51719953,小睡宝宝,我寒假的梦想之一就系学会这首曲子,9,2016年1月13日
61353061,99657773,老祖的蓝二弟弟,@迷榖_,5,2016年1月13日
61341668,48910200,徦的权_,曾经的某一天怎会知道如今.................,6,2016年1月13日
61303723,69727001,_蜜热,🌙😪😪,5,2016年1月13日
61290114,68616038,幂大队,左溢 离别的那个时候的钢琴曲.好怀念!找了好久,6,2016年1月12日
61254619,119367154,skinstr,境遇相同啊，现在想弹弹琴还要等回家才行,6,2016年1月12日
61248656,119367154,skinstr,正在学习这首曲子,5,2016年1月12日
61240037,119397859,KYYK_1397,我小时候其实很讨厌弹钢琴。爸妈当初让我学琴的初衷是想培养我的音乐细胞，也不为考级，但是奈何一个小孩子当时能懂些什么呢。现在长大了，心境不同了，闲暇之余反而想打开钢琴弹弹一些曲子，真正让弹琴成为调剂生活的一种方式。兜兜转转，钢琴上落了很多层灰又被擦去，它终是被我发自内心地接纳了。,52,2016年1月12日
61162800,34888468,czzzd,@莉子栗栗栗,3,2016年1月12日
61156807,17104527,飘渺的先生,人，总有那多的要求，但自己真的配吗？,4,2016年1月12日
61157548,102266142,小丑在巴黎,喜欢这类型曲子的，可以来我歌单听一下！！风格《空灵》我把轻音乐都评论了一遍,2,2016年1月12日
61117569,2366673,原来发生过这么多事儿,听到这首好想回到那个夏天，真的好想,5,2016年1月12日
