727390916,35239112,可热爱曾是唯一的信仰,她说:不等你了，再异地下去就老了...,17.1万,2018年3月6日
1051017243,431223771,憨憨涵呐-,我只是一个小姑娘而已我又不懂什么感情 我只想要开心而已这个年龄 我不图你钱 不图你房子车子我只要出去看个电影抓个娃娃就能开心一整天这个都给不了我 我不知道还有什么意思这个年纪我跟着你 你只要哄我开心就好等我长大了 我想要的 你是给不起的,13万,2018年3月12日
1064787050,370894699,唯梦想不能辜负,落榜复读，偶遇转校女孩，惊为天人，遂追求，历经半载，如愿。虽终日书信传情，夜半通幽，亦榜上有名。时值奥运之年，吾亲赴鸟巢行工瓦之事，两月酷暑搏伊人一笑，畅！其中种种，美不胜收。然事与愿违，伊人家境颇丰，狮城留学，至今未归。前日于旧友偶闻其已婚配，门当户对，落叶不归根。吾，百无一用,88800,2018年3月25日
1061211244,554039609,明天的路该如何走,20岁是一个男人最穷的年龄却是女人最美丽的年纪。,68090,2018年3月22日
728486111,1337427100,帐号已注销,一生中，总会让你碰到几个怦然心动，让你觉得即使用尽一生都无法遗忘。很多年后，琐碎生活与时间倦怠的逐步侵蚀，感觉日益趋于迟钝，心也由得满不在乎，只是记忆不由得你，或闲庭信步的触景伤情，或梦醒时分的暗自惆怅，或只是某个漫不经心的调侃后，那昔日的情景乍然浮现心间，遥远的恍如海市蜃楼。,50674,2018年3月7日
1067262125,540295062,婉清的爸爸,朋友新公司开业，我去喝酒，包间里寒暄发的中华烟，有个在他公司工作的应届毕业生，她怯怯的问我能不能给她一支。我问她，你也抽烟？她说听她男朋友说这种烟挺贵的，他俩刚毕业，经济还很拮据，所以想带一支给他尝尝。我听后愣了一下，从桌上抓了两盒塞到她手里转身出了包间，再也忍不住潸然泪下,46920,2018年3月28日
1050168459,1328735055,葡萄糖小姐姐,我做了二十年的小公主，被他拉黑的那一刻，第一次体会骄傲和自尊被摔碎在地上，原来那么疼呀,42292,2018年3月11日
1068851946,369651760,羅-Leon,我们相遇于2008年7月30日，我们相恋于2009年2月5日，我们分手于2017年5月15日。我们和好于2017年12月25日，现在的我们，准备结婚与2019年2月5日。十年了，谢谢不离不弃。,34489,2018年3月30日
1056886829,389752697,Name_Trouvaille,—你知道那种感觉吗？像躺在沙发很久突然间站起来，看什么都很晕有一点窒息就像，你不要我的时候,29795,2018年3月17日
1065141851,137621908,满天都是小嫦娥,现在听歌，三个极端，极丧，极嗨，极甜,27001,2018年3月26日
1062510212,512371940,Dreadwind丶殘誮,：好想给你打一辈子的辅助召唤师峡谷太大了你可不可以不要离我太远人头是你的兵线是你的BUFF是你的塔是你的所有的经济都是你的我什么都不要只要你活着,25915,2018年3月23日
727113440,419175926,野生万仔w,终于等到你，欢迎回来，爱你哦又能播放了,16699,2018年3月6日
1072212594,497671149,-叫麻麻,你走了之后，我发现瓶盖儿挺好拧的，一下就开了。东南西北也挺好找的，毕竟手机上有指南针。吃饭嘛，想吃就吃，不想吃就不吃喽。周六周日也不用想着要去哪穷游，满百度搜当地不要门票的公园，睡觉就好呀。其实你走了之后挺好的，真挺好的。我一个人，挺好的,12341,2018年4月2日
1333462629,1461871477,CNCNCNCNCNCNCNCNCNCNCNCNCN,20岁是一个女孩最美的年龄，也是一个男生最穷的年龄,6387,2018年12月21日
1333193079,1299774156,快说我是谁171130,以前不太理解这句话，但现在我懂了。💔,5782,2018年12月21日
