1112474316,375897562,重庆Leslie,最尴尬的就是：人家根本不把你当回事，你还多愁善感到不行,16.7万,2018年5月10日
1106394115,454371830,空卍1704,第一杯酒我敬你，感谢你出现在我的生命里曾带给我的感动和欢喜第二杯我也敬你，愿你前程似锦从此豁达有酒有肉有人疼第三杯我还敬你，再见曾经在一起的岁月和放不下的缘分干了这三杯酒 我们只字不提爱情 愿有人待你如初 疼你入骨 从此深情不被辜负敬你三杯酒 愿你有诗 有梦 有坦途,54516,2018年5月4日
1115186472,573600921,张张ionlyhaveyou,提分手的人是我删除好友的是我不再联系的是我在夜里哭的是我但我们心里都清楚是谁先放弃这段感情的可笑的我却瞒着所有人继续爱了你那么久 💔,51577,2018年5月12日
1122812210,470244778,一个在网易云里写日记的女孩,2018.5.13结束了八年的感情，我哭着求你，我都28了，你娶我吧，我再也没有那么多时间去适应别人了，我一定会努力变成你喜欢的样子，我们好好在一起好不好。你却沉默了，那一刻的绝望大概够我记上一辈子吧。现在我每天上班、健身，偶尔还会想你，你依然是我的动力，只是不再是我的目标了。,43709,2018年5月20日
1116283685,629488462,想要暴富的羊羊,“丧够了吗？丧够了就得努力了，他现在过的很好，你得活的比他更好”。,33761,2018年5月13日
1058968210,1394257354,王理文Livia,谢谢大家对〖庸人自扰〗的喜欢，请多多转发分享，下载 评论哦,27922,2018年3月19日
1098682286,293310008,一個喜歡溫暖的神經病--R,既然一厢情愿，就得愿赌服输若是余情未了，何必庸人自扰,26140,2018年4月27日
1134670272,1295302143,-爱笑哥哥,友情可以淡如水 爱情不能 人们的感情需要两种东西 而不同的是你选择了新欢而我选择时间.,16098,2018年6月1日
1090404961,368112598,花落依然爱G,灯泡坏了可以点蜡烛，红酒塞子拔不出可以捅进去，害怕走夜路可以大声唱歌，罐头开到一半断了扔掉也无所谓，只是 就只有像现在这样的夜晚想起你，我一点办法也没有。,14290,2018年4月19日
1112286845,405034950,张语聆,伸手怕做错，放手怕错过得而不能弃而不舍 爱而不得最难熬,12552,2018年5月9日
1113446233,1438311650,是杨昊呀,有时候，我们喜欢一首歌，不是因为歌唱的有多好听，而是因为歌词写的像自己。音乐这东西，开心时入耳，伤心时入心，快乐的时候，你听的是音乐，难过的时候，你开始懂得了歌词!爱一首歌，常常是因为某句歌词，但真正动人的不是那句歌词，而是在你生命中那些关于这首歌的故事....,10573,2018年5月11日
1113706319,371624381,Hahhhlan,怪我庸人自扰活该又想起你模样还没完全愈合的伤口又被雪上加霜歌词完全是我现在的状态…祝你幸福。而我也会好起来的。,6506,2018年5月11日
1116805770,1454182331,你的存在是我的爱,当爱情的热度逐渐冷却后，生活的细节，经济能力，各自生活习惯，又开始成为爱情的绊脚石，我曾经在贵觅上遇到我的女神，我很想娶她，但是经济能力不够，她离开了我，那刻我便知道，爱情仅仅只有爱是无法长存的，小说都没有写过没有金钱的爱情。,6179,2018年5月14日
1556534021,1503580805,堕落锕,这个月我就要嫁给那个15岁就喜欢的人了,3799,2019年7月15日
1423914107,123414065,王老板想买爪子刀,最难过的是你遇见了也得到了，又匆忙的失去，然后在心底留了一道疤，它让你什么时候疼，就什么时候疼，你连反抗的权利都没有。,2525,2019年3月18日
