1139478280,124956415,_张辰_,像我这样的人在月光下找寻未来的方向遭受的惩罚就是比所有人提前看到黎明吧,22.2万,2018年6月6日
1133485024,309328314,山后未逢,你我最后竟然也平凡到自命不凡。,20.2万,2018年5月31日
1133750511,556897428,StjaelerMitHjerte,有朝一日会成为被喜欢的人觉得大吃一惊 被讨厌的人刮目相看的人,15.3万,2018年5月31日
1133698861,559860648,相忘回首已成川丶丶,像我这样优秀的人，本该灿烂过一生。 怎么二十多年到头来，却在你这里栽了跟。,90161,2018年5月31日
1133762016,250572839,透明人_--,像我这样的人，就算是一个傻子，也是独一无二的！,61649,2018年5月31日
1133433399,119430835,长风界,山海浮沉，泯然众生，我也不过一界凡人。,50090,2018年5月31日
1273927606,287416658,Jay周的奶茶,高中三年，那个男孩一直惹女孩生气，高考前他们相互约定考完后再说，后来男孩成熟了，女孩也走了，但我还是想把这成熟后的好给你,45514,2018年10月16日
1133468447,19389416,YouTube热门日推,我并不是不幸福，也没有什么心理阴影，也没有吃过很大的苦，只不过人生的路有点坎坷。可是，光是活在这世上，就已经很吃力了。,43797,2018年5月31日
1133455122,485443916,小白兔兔兔奶糖_,歌词朴素，听懂的人，乃世故啊。,42882,2018年5月31日
1135787602,624472632,山治mercy,有那么一个人他吹着口哨，踮着脚，他会紧张会喝酒，他会腼腆会害羞会脸红，会搞怪会神经，像所有普通人那样，长得不算太帅，没有背景没有钱，没有人脉不会说话，或许把他放在人群中都很难寻找到他的身影，但是啊，又有哪里不一样，是才华吧，就像珠子蒙了灰一样，经历了大风大浪，那层暗淡的灰褪去了,34167,2018年6月2日
1136448123,1440785146,流不完的浪阿,有人喜欢你绑着头发的样子 有人喜欢你披着头发的样子 于是你犹豫到底该绑着还是披着 可是你忽略了真正喜欢你的人喜欢你所有的样子 就像我这样的人,31330,2018年6月2日
1134420298,441781657,帐号已注销,喜欢在凌晨听曾经很熟悉的歌。喜欢抠伤口上的结痂，就算疼也控制不住。喜欢陪着他玩游戏，虽然我都戒了好久。喜欢大半夜听他曾经唱过的歌。喝东西时总控制不住的咬吸管。偶尔会没心没肺的大笑。偶尔也会自己安静的坐在一旁。有时还会没来由的还会想要哭一下。啊。生活好难,24599,2018年6月1日
1134888520,1395002261,我是小玥哦,攒一杯柔肠作心殇，饮一壶烈酒话情长。,17814,2018年6月1日
1133438387,485443916,小白兔兔兔奶糖_,这首歌的每一段都想一个坎，听完久久迈不过去，终于迈过了，竟会有一丝留恋。,12608,2018年5月31日
