493426196,320832822,节子的水果硬糖,麻烦不要把耳机塞在鼻孔好吗,10.3万,2017年8月1日
8980264,18244427,睇起来像诗人,@沁文围墙 听到这首歌，想起它的来历，这是C.Y.Kong得知哥哥死讯后所作的曲子，原名叫的depression，表达他听到这一讯息后的震撼与不解。后来曲子改编后由黄伟文填了《浮夸》，表达的是小人物的无奈，不被人重视，为了博人眼球，只得表现得浮夸。不过改编后的作品与原曲的目的已经不同了。,50554,2015年1月18日
9876941,46875619,chentimy,ktv唱好这首歌绝对秒杀全场,47429,2015年2月2日
437198074,473609715,Areck-,其实一条一条看评论，就是在找那个能替自己讲故事的人。,30440,2017年6月12日
23601436,65608665,Tone-Sing,那年十八，上体育课，扯低衣领，对一个女孩唱了一句，青筋也现形，那女孩笑得好灿烂。,22366,2015年6月25日
435765028,336700103,一个华华子,看到这个版本只能说明两个问题。一，你品味与众不同。二，另一个版本要钱。,20844,2017年6月11日
246190972,51501065,扶鯤者,一一那年，白宫晚宴，坐着被群嘲那时候，我沉默地发誓，在场诸位都要正视我在美国，平凡而又普通的路太多大厦我又该住哪一座工作中，生活中，受过的欺辱太多自尊已饱经跌堕，惟亿万身家能短暂安慰我未曾获得过便知我为何，大动作很多争江山，夺社稷，博人们看看我，算病态么,16643,2016年11月13日
449957328,445374064,淮初i,陈奕迅的大部分歌听懂了都不会觉得治愈 用最认真最平静的方式 让你去怀旧想你失败的感情 想你失去的朋友 想你错过的时间 想你心里的朱砂痣蚊子血 想你想要抓住却放开的人 把你所想但不敢说的唱出去 你想见又选择怀缅 想选择的人不是陪你的人 反正 唱到你红了眼很喜欢浮夸 很喜欢Eason,14298,2017年6月24日
604439094,324833212,HABAKE_RUDORE,表演型人格障碍是一种以过分感情用事或夸张言行以吸引他人注意为主要特点的人格障碍。行为举止上常带有挑逗性并且他们十分关注自己的外表。常以自我表演，过分的做作和夸张的行为引人注意，暗示性和依赖性特别强，表现高度自我中心。,9488,2017年11月3日
234208845,97634412,OOhhhey,"有一首歌我不是不想唱，我现在是不喜欢这首歌了。你们想听的可以去唱片行找到u87，好像是第五首。你们真的要听吗？那我后年唱给你们听",9068,2016年10月23日
556521136,361685738,Wack___,军训，今天我们休息，然后教官要上前面表演节目，没人上去，于是我鼓足勇气上去唱了这首歌，因为军训嗓子快哑，但我唱的声嘶力竭，但对面的几个女生只是听了前几句就开始聊天了，其他人也都在起哄，我承认这次唱的不太好，但我觉得这是首好歌，我很中意他，因为他让我有共鸣，就算没有观众也无妨。,6766,2017年9月14日
427600392,123064891,Pluviophile__M,高考前再听一次，还是那句，用十倍苦心，做突出一个。加油！,5884,2017年6月3日
1334222179,496146753,朽木不可雕但沙可以,秀儿，别站着，赶紧坐下,5312,2018年12月22日
1368485828,1333064361,阿什么帆,然后eason说:难道你们不想欣赏我的舞姿吗？,4858,2019年1月25日
541482724,250146831,汴卅,那段时间《浮夸》很火的时候，有次eason的演唱会，到快结束的时候eason问台下的观众'你们接下来想听我唱什么歌'。观众齐声喊道《浮夸》；eason有点失落的说 你们只想听浮夸吗....,4856,2017年8月31日
