55054421,68524006,廿六岁的欧阳先生,一位帅哥用这首歌追到了一位美女、然后有了我,21.7万,2015年12月20日
6358196,42833635,__TiAmo,陈百强，张国荣，梅艳芳曾今有过一张合照，而如今，三人相继离世，实在令人惋惜，他们任何一人都在香港乐坛有举足轻重的地位，都是才子才女！！！！也许这就是命，上天注定。。。。。,64843,2014年11月27日
138867962,61761731,已随风逝,相比张嘴就是“么么哒”，说“约吗”的时候脸不红心不跳，跟谁都可以讲“我爱死你啦”……想一下，这个年头，似乎也只有一句“我喜欢你”，还显得比较珍贵。,44964,2016年4月7日
7500223,33758992,clara_,想起小时候阳光透过纱窗洒满屋子，我家老式大收音机📻就放这种悠扬的歌，爸妈正年轻还会带我在路灯下散步，那时候时间好慢像小溪在流。,34333,2014年12月23日
12760147,48872339,分散时间的注意,以前的歌曲真是好听到哭,28897,2015年3月16日
469483840,23838819,春江水海,23岁的我喜欢上57岁的他。故事的开始是知道这首是你最爱。承诺过照顾你，如今也都变得无意义。,20262,2017年7月12日
44422193,99823361,csulyhz,13年去九龙将军澳华人坟场时看望家驹，遇见两个高一的安徽小妹子来看望百强和家驹。当时对百强不甚了解，没有同她们一起去悼念百强。今日被推荐了这首歌，才知道原来这就是那熟悉的旋律。百强和家驹都在93年因为意外去世，天妒英才。再次怀念，致敬那个时代。,16903,2015年11月2日
122902870,53730376,AceProcessing丶C,这首歌是我和我夫人的开始。大学那会去买卡带，就剩最后一盘，女士优先。后来我就经常借带，后来变成了借口。现在听来还是学生时代的感觉。,15132,2016年2月23日
5629264,7342298,梦里杜康,大学时代，“偏偏想见你”的岁月啊,10659,2014年11月9日
176112837,83593713,陶maomao,偏偏，明明倔强，却听出“翩翩”的感觉，如一位绅士，不打扰，是我的温柔。越是平淡，越抚动心弦。,10230,2016年6月29日
38680145,37943432,好像十分厉害的样子,4年前我和你在华南植物园手牵手散步，你要我唱歌给你听，偏偏我那时极少听歌，情急之下想起了这首儿时最喜欢最熟悉的偏偏喜欢你。我唱给你听，你笑说我老土。时光荏苒，回想过去，当年跟你唱这首歌唱对了——偏偏喜欢你。不知爱看爱看电影的你今天是否有看《港囧》？听到这旋律有否一瞬间想起我？,8474,2015年10月2日
40325782,32152078,浱杳,当我翻到一叠书时，意外的掉出了一封信。右下角署名是李振云。那个多么熟悉，如今再也不能说出口的名字。 信里面只有很简单的几句话：如果我有来生，我还是会一个人孤单一辈子，因为我爱的人不爱我。 整个信纸上，填满每一处空隙的，都是我的名字,7472,2015年10月12日
149507175,273308861,極貓,中文流行歌曲史上（不仅香港），带中国古典韵味的歌曲不多，成功且可以几十年流传的作品更不多，由歌者原创的更更不多，「偏偏喜欢你」是一首可以代表东方流行音乐特色的经典佳作之一 流露了东方人情感细腻、腼腆和长情的一面,5683,2016年5月4日
1131719213,316839833,Ido2020,很多年后，琦琦才知道在那趟回家的火车上张骏塞到她耳朵的歌，叫偏偏喜欢你。,5049,2018年5月29日
169197609,49868129,jesscia岚莓酱,现在选择多了好像竟不懂得珍惜了，以前喜欢一首歌会反复听，把歌词写下来，一遍遍的跟着唱，所以哪怕很多年过去了，旋律一响起，依然信手拈来的跟着唱起来。现在的歌单里存了上百首各种各样的歌曲，其实很多都只是会哼个大概，并没有时间和耐心去细细品味其中的意义，也许时间一久便更要忘记了吧。,4702,2016年6月15日
