4899275,11772309,月海浪花,多少人以朋友的名义默默的爱着！！！,10.5万,2014年10月14日
5809752,35491899,wsxwl,十年前的我还是青春少女，十年后的我是俩孩子妈！,48821,2014年11月15日
5227114,35869570,简单日子319,很久以前，听《十年》，想着陈奕迅怎么那么倒霉，不是失恋就是被抛弃。很久以后，听《十年》，看到的不再是陈奕迅的心情，而是自己的心情。 于是，我知道，有些事情，必须要自己经历过后才能体会到那种辛酸。,26727,2014年10月28日
6212496,2546333,Hopesohopeso_,十年前听着这首歌，那时刚上大学，刚和初恋分手，自己哭的稀里哗啦以为世界就这么完了。十年之后的现在，再听这首歌，觉得自己终于听懂了什么叫情人最后难免沦为朋友。都结婚了，都是过去了。都过去了。,23762,2014年11月24日
141477564,94462321,一只椰子哒,今天看到这样一段话 就突然觉得原来已经这么久了周杰伦已经结婚一年多了来自星星的你 已经是两年前的剧了江南style骑马舞火红已是四年前的事了那些年我们一起追的女孩是五年前上映的陈奕迅的十年今日竟然是十年前的歌了九零后说的已经是18岁到27岁的人了或许某一天一转眼的功夫我们就老了,20583,2016年4月13日
178015329,273272848,sebastiansong,高一时，政治老师有次喝醉了，到自习室和我们全班告别，说他不得不离开他喜欢的教师岗位，因为他要养家糊口，他要去下海经商了，说到最后，他哭得一塌糊涂。告别的时候，他唱的这首歌！也是我那会最喜欢的歌曲。十二年过去了，我也大学毕业五年了，现在很是理解他那会的无奈！潘哲老师，希望你能看到,19799,2016年7月3日
70255367,74768394,阿彬彬ivy,“eason只告诉我十年怎么唱，却没教我十年怎么走”,18073,2016年2月13日
5790057,42193541,小树会成长我们都一样,人有时候会突然变得脆弱，突然地就不快乐，突然地被回忆里的某个细节揪住，突然地陷入深深的沉默 不想说话。,14131,2014年11月14日
73019231,98253562,东明谷,坐了两年同桌，高考前才意识要分开了，忽然间发现我已喜欢上她，是那种深深的喜欢，才意识到我不能离开她。我忍住了，没有在最不适合或许是最适合的时间表白。大一异地，我在电话里把这件事告诉了她，也算是表白吧。没有想象中那么悲壮，有的只是一份淡淡的拒绝。如今已经七年了，喜欢了一秒，爱了七年,11390,2016年2月22日
69900292,98597574,手速如飞喻文州,我和我最爱的人，做了一辈子兄弟,10612,2016年2月12日
5079736,39121052,McRedCat,听着十年，过了十多年，感慨万千，十多年前有几位听懂十年，十多年后的我们依旧还听着下一个十年,8098,2014年10月22日
4996437,2822723,aimusiche,经典啊,4071,2014年10月19日
142281152,104680590,域覍妳,即将30岁，一事无成，拿着几千块钱的工资供着房子养着孩子，干着随时可能离职的工作，外账欠了好几万。看着熟睡的孩子，一个人在电脑前迷茫着听着这首歌。我不知道明天会怎样，我只知道压力压得我喘不过气，我只知道我会坚持活着，因为我有了责任，个人感悟。,3153,2016年4月16日
14406429,19817752,这只猫咪不太冷,村上春树说：你要记得那些大雨中为你撑伞的人，帮你挡住外来之物的人， 黑暗中默默抱紧你的人，逗你笑的人，陪你彻夜聊天的人，坐车来看望你的人，陪你哭过的人 在医院陪你的人，总是以你为重的人，带着你四处游荡的人，说想念你的人。是这些人组成你生命中一点一滴的温暖 是这些温暖使你远离阴霾，,2311,2015年4月5日
63426593,106292140,小尖尖先森,人生最怕的就是突然间听懂了一首歌。 ————网易听众的一句评论,1841,2016年1月20日
1560313753,296212259,qllikelzy1314,十年之前我不认识你十年之后我会忘了你,434,2019年7月18日
1429123294,106825389,在月球上的阿牛,致十年后自己,281,2019年3月24日
1393385350,530562808,愿她光芒永存,爱的遍体鳞伤,147,2019年2月16日
1385633237,530562808,愿她光芒永存,零八年七月二十九日，你穿着蓝色连衣裙扎马尾辫，那是我第一次看到你的样子。怀抱既然不能逗留,176,2019年2月10日
1332761722,298925566,肆冥D,几个月就能改变一个人，何况是十年那,228,2018年12月20日
