1644863358,23738698,帐号已注销,@魏萱小姐姐 对不起，我再也抱不到你了。lxy,5367,2019年10月3日
1199764301,23738698,帐号已注销,Wx，18年7月18日我们相识，经历了种种曲折，7月25日在一起，遇到你之前你受尽了委屈，以后的日子我陪你走下去，晚点遇见你也没关系，但愿余生都是你。lxy,3355,2018年7月31日
1386145931,500205349,很想和你有未来_,原来等你，是一件这么无能为力的事情。,3030,2019年2月10日
1177889631,474605478,帐号已注销,H虽然我们分手了，但是我还是希望，余生都是你，就算是我们美好的记忆陪我走完余生也行，至少，我的余生都是你,1700,2018年7月12日
1178765599,474605478,帐号已注销,等你的时间可能会有点长，不过没关系，我已经买好了你爱吃的贰叁十的奶茶，还有威化饼干，蒸饺，混沌，巧克力，奥利奥，燕麦牛奶，抹茶味奶茶，红枣牛奶，小紫薯，薯片，蔓越莓干，黄桃干，什锦酸奶果粒块，迷你话梅粒，甘栗……，还有你爱喝我却不给你喝的可口可乐，你的牙吖，不能喝。你要快点来啊,1563,2018年7月13日
1178712169,474605478,帐号已注销,H，遇见你是我的三生有幸，可是我的福分太浅薄，所以就只能遇见你，不能陪伴你走过余生，今生只愿修满福分，若有来生，我还要遇见你,1258,2018年7月13日
1178753048,474605478,帐号已注销,是啊，我们遇见的太晚了，我已经错过了你14年了，我不想错过剩下的时间，遇见你的3年不够，我的余生都有你才刚刚好,1116,2018年7月13日
1178750516,474605478,帐号已注销,H我想通了，我不要回忆里的你，我要身边的你，我知道你会回来的，我不背对着你走了，我要回到原地，继续等你，H，你晚一点回来都不要紧，我心里最重要的位置还是留给你,1069,2018年7月13日
1178705489,474605478,帐号已注销,攒满失望的人都已经离开了，他们在深夜里喝着啤酒，流着泪，而我还在原地欣赏着你的照片，我知道我只需要等着你回来，因为你不会放弃我的,1036,2018年7月13日
1178717009,474605478,帐号已注销,你说，我们遇见的太晚了，其实，晚点遇见你都没关系，只要余生剩下的都是你就可以，H，怪就怪我，花光了所有运气来遇见你，没有余下的运气来照顾你,1023,2018年7月13日
1178730487,474605478,帐号已注销,我决定了，我等不了了，我要去找你，因为你那么傻，万一找不到回来的路可怎么办，我的余生是要有你的，就算是在找回你的路上度过余生,949,2018年7月13日
1178768616,474605478,帐号已注销,H我相信梦都是相反的，梦里我追不上你的背影，但是余生的路上，我一定可以和你同行,870,2018年7月13日
1178744231,474605478,帐号已注销,H不要跑太快了，以前总是做梦梦到你跑太快我追不上，我现在听你的减肥了，我一定可以把你追回来的,830,2018年7月13日
1179393859,474605478,帐号已注销,你说余生不吃恋爱的苦，可是你的苦在我嘴里很甜，可惜，余生只剩我一人，没有了你的苦，恋爱她甜不起来了,825,2018年7月14日
1179399518,474605478,帐号已注销,H曾经的我以为可以带给你快乐，没想到让你更难过了，若余生有我，你不快乐，我愿意消失，只愿你余生快乐,824,2018年7月14日
