5179788870,1755511453,尼古拉斯司机花荣,那一次听这首歌到时候，不懂……现在，唉,0,6分钟前
5179665423,1383449355,叶呃呃,兄弟 加油,0,13:09
5179672904,1933131066,颠沛流离s0215,加油！,0,12:13
5179666898,260409452,Albert_钟鼓琉离,厚葬,0,11:53
5179630845,1521484573,yy同学不太乖,很久之前第一次听到《老街》，歌词的画面就开始一点点在眼前展开，温馨又悲凉，沧桑又小众。因为这首歌，开始喜欢李荣浩。忙嘛，也很久没有听这首歌，本以为已经不会有曾经的感觉。今天再听，心还是柔软一片，还怀念曾经的自己。,1,11:15
5179557435,4000652967,戴理军师,很多年前那个为了我流泪的女孩已经丢了，走过我跟他她曾经走过的那条每天都路过的老街，听闻她怀孕，结婚，离婚，剩下的只有感怀！有一丝丝缕缕的疼，有一点点滴滴痛，祝她幸福吧！毕竟过去了,1,10:25
5179579019,323507338,在座都是辣鸭,但是这首歌真的是是致敬周杰伦的哦,0,09:43
5179506462,1724750740,求求自己了要开心,回头望一眼，已经很多年的时间。,0,09:17
5179580815,10927155,不知情的Grace,这歌很周杰伦,0,08:58
5179574793,531010098,那句晚安你心动了吗,村上春树曾经说过：“如果一直想见谁，迟早肯定见得到。” 但是他还说过：“所见之日乃是终止之时。” 我刚看到这句话的时候觉得矛盾。后来也明白了 有些人，不如不见 逝去的东西，最好不见，最好不念 见到了，我们所怀的感情也会变得不一样。既然已经回不到从前，不如不见 毕竟，未来才是更好的,0,08:23
5179461156,73770065,随着风儿飘向远方,以后，易云,0,02:11
5179442038,323758400,镜子先生与猫,我跟你一样，也是差几分上重点高中，也是初二听这首歌，不过现在我大二,0,01:21
5179413247,471302204,梦迟归路赊,他在那年回乡路上停下了脚步光却继续走了十四年家人从不在我面前提起他可能是我当时认为他会回来带我来世的人陪伴四年离而去有的人总在不经意间勾起回忆记忆中再无故乡那里残破不堪 只剩我的起点从无忧的成长 到谨慎的活着玩笑般的梦想 换成满心迷茫终究会化为泡影在梦里归去,1,01:09
5179428023,1482403490,段小瞄,曲有点熟悉,0,00:49
5179375487,1686951029,三更门,但是好害怕啊，有我喜欢的晴天，有我爱慕的老街，有我舍不得穿的红色高跟鞋，但是，没有遇见没有好久不见，因为等不到他的，对吧,0,00:46
5179423007,1686951029,三更门,真是可惜呢，都没人说过喜欢我呢,0,00:44
5179363529,1686951029,三更门,与其苦苦等待，不如随他去吧,0,00:43
5179390241,1686951029,三更门,对啊，毕竟喜欢和爱 ，不一样的,0,00:40
5179358884,514984110,澜沧江江,突然想吃家里的菜了，尤其是妈妈炒的茄子炒肉、韭菜盒子、大锅菜、鱼香肉丝、软炸里脊，炖虾仁排骨，还有锅里刚蒸热的馒头...想回家了,2,昨天23:43
5179344930,472542786,编曲人小猛,回头望一眼 已经很多年…,0,昨天23:39
