3183885713,603056900,伱与星河,山河远阔，人间烟火，无一是你，无一不是你。,12280,3月3日 13:45
5179576448,1404252033,JINBUG,分手那晚她分享这首歌给我,0,34分钟前
5179556422,382549555,toc丶baby,你也要幸福,0,37分钟前
5179610987,1519333542,席梦思枕头,愿你心想事成,0,37分钟前
5179620776,421394273,丑先生_he,我想这就是青春叭,0,55分钟前
5179561270,1745113135,miss_0724,加油，祝你前程似锦！,0,10:06
5179553232,1996255660,墨雨_VOwi,我们都要幸福,0,10:01
5179494639,1801843192,拐子帮帮主,对我也很重要,0,08:54
5179488697,2113118776,爱就在这结束啦,所有的崩溃和不堪都会在夜里爆发出来逼得我想发疯我以为会发疯可是我只是翻了个身继续翻着手机轻轻流泪.,1,08:49
5179570871,343842692,符余生,今天是最好的哥们离开这个世界一个月 在上班的地铁上又听到这首歌 窗外地下隧道的光 像时光机 但所有的遗憾终究弥补不了 憋了一路 终于在一个无人角落 大哭了一场,0,08:35
5179542114,124097894,青桔_Prosperity,陌生人，我还有十几天就要考研了，能给我点个赞吗,2,08:34
5179548965,497455701,是小带土,[多多大笑]该经历的都经历了，该看过的风景我也看过了，我也快走了，无所畏惧啦,0,08:09
5179493478,3727462985,酒入愁肠愁更愁_5exF,写给未来女友下次谈恋爱之前 我会告诉她我穿43码鞋 生日阴历腊月19， 爱吃辣吃不了榴莲喜欢喝柠檬水，馒头可一次一个月不怕虫不怕黑就害怕一个人 不要长时间不回我 至少要让我知道你在干嘛我脾气很好 但我心很软 吵架的时候 抱一下就好了 一定不可以把我晾在一边我在努力变优秀 在未来等你,0,08:07
5179552763,1304014657,违规昵称7777777,这也能开车[西西惊讶],0,07:35
5179474529,404924226,HWY-0319,哪怕我只是一个旁观者 你让我旁观的机会都没有,0,06:51
5179517898,1570385385,丢丢唉灬,我用两年的时间放下她遇见你这次需要多少时间才能放下你,0,06:28
5179514787,385914979,献给宋青,轻轻的说，勿忘我,0,04:18
5179460275,1731569484,麦小kkx,你一人低头在路上,0,03:19
5179434302,1383508425,還沒見你一面呢,当然前提是自己力所能及，说一点现实的话，如果自己的经济实力这方面不是很好，那未来可能有点难哦，但如果真的相爱也没什么可以阻挡的。好了还是希望你们可以有一个圆满的结果。当然如果你们不是异地的话，那就放心大胆的去爱吧！问题不大的！,0,01:47
5179417339,1383508425,還沒見你一面呢,如果你是男孩子呢，一定要负责任，不要总说空的承诺，要给女孩子满满的安全感，如果真的很爱她，她也很爱你的话，（当然这首先要熬过新鲜感，新鲜感作祟的感情过不了多久就会散了，网上认识的更加要注意这个问题啦）可以两个人一起提前规划未来，多替女孩子考虑考虑吧。,0,01:42
5179429297,1524009504,睡不醒的小逸,我又想你了,0,01:41
