5176355133,512550371,柠檬半糖不加冰,评论好少嘛。,0,12月7日 08:31
5161476418,367084084,bigfeast,又要过桥啦,0,11月20日 05:33
5161139332,311145085,_如果天还没黑_,我觉得您有必要检查一下是否有小脑受损，伴锥体系、锥体外系损伤。真的挺担心姐妹你的。,0,11月19日 21:08
5161223858,311145085,_如果天还没黑_,你可看清楚了，是你先回复那位说许嵩的人，说暗示后弦炒老板，我才讲你的。自己阴阳怪气在先，又反过来说我阴阳人了？不会吧这么双标的吗？“成熟”在你的理解里，倒还成了贬义词了是吧？,0,11月19日 21:04
3606946515,428111377,吃不胖bobobi,在后弦的歌下面说你嵩哥还说别人曲风不成熟你真是好大的胆子啊,0,11月17日 19:48
3606978349,428111377,吃不胖bobobi,你说人家曲风不成熟不就是指指点点？你不会以为自己真的是大音乐学家在这里给人家意见吧？你这句话是说他自己想改变曲风吗？是你想让他改变曲风吧？,0,11月17日 19:47
3607008869,428111377,吃不胖bobobi,我可没说歌手在歌词暗示什么你自己脑洞也是蛮大啊那我换个说法你就是明示别人风格幼稚？那你不是阴阳怪气在这里一捧一踩是什么？为什么还要带一个你嵩哥呢？疑惑行为？,0,11月17日 19:40
3606993046,467077208,一切随心D,感觉还是2010年的歌的感觉[多多捂脸],1,11月17日 19:37
3606924623,428111377,吃不胖bobobi,你自己也懂暗示啊？整句话阴阳怪气在暗示什么有眼的人都看得出来，被骂了你当然觉得杠啦肯定觉得不是自己的问题啦装傻就很搞笑,0,11月17日 19:32
3606981101,428111377,吃不胖bobobi,好家伙还说句我嵩哥我就是觉得你在这里阴阳怪气,0,11月17日 19:28
3606427821,311145085,_如果天还没黑_,好家伙，我又在指指点点了？你自己觉得那句暗示炒老板的话，不阴阳怪气？,0,11月16日 21:41
3606342538,311145085,_如果天还没黑_,你讲的那波暗示倒也是杠的不行。怎么，你自己觉得歌手在歌词里这里暗示那里暗示倒是对的，我说句其实是他是想改变一下曲风就戳你g点了？,0,11月16日 21:38
3604542098,428111377,吃不胖bobobi,你这么喜欢管闲事怎么不去让费玉清唱摇滚啊搁着巴巴拉拉,0,11月14日 20:36
3604494759,428111377,吃不胖bobobi,人家写歌是喜好有自己的风格你在这指指点点给谁看呢还说别人抬杠咋滴网上刚学会新词就迫不及待用用啊？,0,11月14日 20:33
3604501718,428111377,吃不胖bobobi,别没话说就只能说别人抬杠啊我还觉得你说的也抬杠呢别人什么风格轮得到你来指教呢你是什么大音乐家？说一下您的著作？,0,11月14日 20:27
3604535045,428111377,吃不胖bobobi,这就抬杠了啊？你这么熟悉想必没少做吧,0,11月14日 20:25
3602676666,311145085,_如果天还没黑_,你这么爱抬杠，想必臂力应该挺好吧,0,11月12日 19:31
3602064421,428111377,吃不胖bobobi,那你和他说了吗？,0,11月11日 20:57
3483703338,1437869100,嚣-焰,很棒，真的很强，我只能这么说,1,10月18日 22:54
3477336656,294233471,啊丫丫_,是啊 当初循环过桥深夜学习 是回不去的美好,0,10月13日 09:03
