3350250560,499594404,有鳳故我思,回顾皆如草木 唯你是青山。,10.8万,6月21日 09:01
3351641832,1442278121,001Beautiful,满地都是六便士，他却抬头看到了月亮,83108,6月22日 12:53
3350918302,438609469,终极姚六一,谢谢大家的支持，这首歌是我和几个小伙伴也是制作人，也是老板的几位志同道合的朋友们一起合作得来的，自己也非常喜欢，后面会带来更多好作品的～,73547,6月21日 18:59
3386256525,438609469,终极姚六一,我感觉大家文学功底都惊人的好啊，下次写歌我来征集一下名句吧让你们多些参与感,48161,7月21日 19:49
3356910039,271952075,Carol_round_and_round,我喜欢上我的老师了，他19大一，而我才15我才初三，我们差了四岁唉，我不明白为什么觉得我们有可能，可能就是我喜欢，我也知道可能也是新鲜感，我一开始也是这么觉得的，可是越来越喜欢，我们班同学都在自习室上自习，有的在上课，那天我跟我的另一个同学要补课，找他，再晚一点就没有公交车了，可是他,14317,6月27日 02:27
3359815599,1403103476,酒意入桃枝_ii,英雄被人铭记，刻在石碑上;幸存者被人遗忘，面目全非。“真遗憾，阿瓒棺木上应该盖着国旗呢”“冉冉 好好活着”“我尽量。”——《白色橄榄树》救命 真的意难平。[多多大哭],12029,6月29日 22:02
3377580147,599904336,空知返旧林,那日桥边，惊鸿一瞥再至桥边无处有你，无一不是你,8677,7月14日 23:01
3371911914,1360504431,僞艺术术家,“开始淮河任务，见到宋记者了，好巧”“排雷的时候逗了宋记者一下”“宋记者做事很认真”“宋记者喜欢脸红”“宋记者有点可爱”新年愿望:跟她结婚——李瓒,8184,7月10日 00:01
3395005797,2056887847,乾坤正道和皇权富贵是真的啊啊啊,她是尚书府的千金小姐，他是将军府的铁血将军他们自小便是青梅竹马他处处维护着她，容不得别人说她半句不好把所有的温柔都给了她若不是亲眼所见，没有人会相信手上沾满鲜血的将军竟会对一女子温柔的春风一般可是只有她知道他不爱她所有人都以为待她及笄之时会嫁给他可是她没有在她及笄的时候,7152,7月28日 14:14
3386241746,363765973,暴躁小菜,也许是前世的姻 也许是来生的缘 错在今生相见 徒增一段无果的恩怨,5755,7月21日 20:06
3355616147,1732592163,账号已注销act,“他其实并不喜欢你，只是他寂寞的时候你刚好撞上去还满怀深情，刚好他暂时接受你的温柔，仅此而已”,5130,6月26日 07:02
3386564684,356419354,大漠里藏不住星星,他嘴笨，但磕磕绊绊说出来的都是诗。他不羁，摇摇晃晃走出来的都是人间。,4765,7月21日 23:43
3414785625,1945856062,我喜欢IU-李知恩,其实古人早已知道3与4之间有个数字，不然“不三不四”是怎么来的呢？,4465,8月11日 11:23
3387042287,2118649876,林小夕很温柔,“只要有想见的人，就不是孤身一人” ——《夏目友人帐》,3601,7月22日 12:08
3357275757,47394041,逆若水寒,《月亮与六便士》月亮指；远大理想的象征，而六便士则是蝇头小利的象征，,3289,6月27日 14:27
5179543539,1293878830,心无所及,喜提MV！！,0,10:55
5179528714,1293878830,心无所及,我也是,0,10:53
5179541675,1568349297,栀末之秋,仿佛喜欢上了一个人；从好烦他看我到希望他看的是我，我是不是沦陷了，可是他比我小好多呀，大抵是不可能了。。,0,10:36
5179520409,329354421,寂寞空虚冷MM,好家伙，你这叫舔g,0,09:26
5179566104,440803872,能借我十块钱吗,兜兜转转还是分开,0,09:20
5179538145,1569747435,当落叶坠入秋天里,好听好听,1,09:13
5179490720,439852669,-耀夜姬-,好喜欢好喜欢这首歌,0,08:55
5179579736,121279094,我欲向晚不朝南,玩笑开场，喜剧收场,0,08:24
5179508057,1289935583,ya单色秋澪,哈哈哈哈哈哈,0,06:59
5179446570,3276930011,一个和子,你爱吃糖，我便完成你的梦想,0,05:33
5179452227,3419508445,欢欢7q,我好想你，你能回来吗？。。,0,02:26
5179430282,352836464,酒井少浮,留个地址，我给你寄信吧,0,01:37
5179411468,3385536867,軟肋_5s58,思绪万千但不知道怎么表达，唯独死守才会让自己舒坦一点……我好难啊,0,01:36
5179387571,1564246438,故人走有年回,我同桌就有一个,0,01:20
5179447935,1599309948,别做出痛苦表情,还记得初次相遇,0,00:59
5179453749,3532071173,要瘦回小仙女,在这个世界上别太依赖任何人，因为当你在黑暗中挣扎时，连你的影子都会离开你。 ----宫崎骏,0,00:41
5179358671,557849286,不加糖的冰柠檬,网恋么，我做渣男，陪你打游戏，陪你聊天，给你安慰，早上叫你起床，晚上给你说晚安，不奔现，不爆照，等你遇见了你那个的意中人，他去做你的盖世英雄，我继续做我的混世大魔王，风生水起，您说一句我主动消失。,2,00:40
5179380251,3995214089,梅西他铁子,张苑胜是🐷🐷,0,00:33
5179331607,603044536,要努力温柔a,“不喜欢了，大概就是你的名字再也不能让我怦然心动了”,0,00:23
5179344279,3996494881,GenGen940517,kimkk,0,00:02
