3459035009,594104133,Knightzz9,这份爱 会不会 会不会 让你也好疲惫,28.5万,9月22日 00:00
3461938157,481214790,刘大壮_-,希望大家都能被爱的人温柔以待,21.1万,9月26日 01:07
3459070261,486274527,她也很爱笑-,“梦里出现的人，到底是谁在想谁”,76771,9月22日 00:38
3459046935,3320445721,旺仔不是牛奶ovo-,仔细想一想 我长得不出众 不高 不阳光 学习不好 脏话连篇 多疑敏感 喜怒无常 怎么可能会有人无条件站在我这边,59538,9月22日 00:00
3464574973,515397774,我想睡在梦境,这也是在厕所马桶上录的吧,37647,9月29日 14:36
3463977920,3236936668,愿思安,补课费好贵 题目好难 压力好大 我想睡觉 我想休息可我更想考上好学校,30983,9月28日 18:47
3467985822,2053114244,私藏-k,网课听不进. 数学听懵. 英语逐渐下降. 集体队伍跟不上. 成绩越来越烂. 身边的人都在往上走而我往下掉. 心里明知要努力 可次次都如此. 眼前一切迷茫 看不到光芒. 不知所措 如何开始. 一拖再拖 一次又一次. 老师开始失望. 一日复一日 日日如此. 可我却想要上一中.,26381,10月3日 06:18
3476480797,1606272983,在下舒然,她喜欢吃辣她胃不好她喜欢吃烧烤 烤肉她喜欢喝奶茶 水果味的她喜欢吃肯德基的炸鸡 脆皮鸡特别爱她喜欢喝冰饮她明知道自己来了还是会吃冰的辣的她胃不好但是不会养胃她喜欢穿我的衣服她经常熬夜所以月经期不稳定她喜欢榴莲包括跟榴莲味的所有吃的她喜欢玩光遇,23106,10月12日 01:22
3464190397,1566259098,沙哥太帅别打,为了她我来陪她复读，来三天就分手了。真的要荒废自己的一年和本该去的专业,21745,9月28日 23:40
5174663564,3992887248,P99F11素人歌曲加入热门歌单,如果，你还会来找我，我们的故事就是未完待续；如果，你不来找我，那我们就是全剧终。,20314,12月5日 14:57
3465703464,1516227016,ROADSTER1807,谁说你一定要喝星巴克，戴得起卡西欧，穿得起名牌，要吃海底捞，要去迪士尼，我们可以喝益禾堂，带淘宝的情侣表，穿用丙烯画对方名字的白T情侣服，一起去吃粉，还可以去动物园玩，学生半价，正因为你是普通家庭的男孩，那么平凡又真实贴切，再也没有第二个你了,14843,9月30日 23:28
3459614688,474491547,ysk的妤ya,在每一个不联系的时刻 也都有在认真喜欢你。,12888,9月22日 22:35
3464579287,560369950,失when,为什么明明是你先对我表露爱意，落得尴尬境地还是我,12698,9月29日 16:03
3462793052,637451406,泽sir-77,我是女生 或许有人和我一样也喜欢女生 很难真的很难啊,10171,9月26日 23:49
3463853817,1948543693,心动超标nn,那年夏天那年夏天很热，我转学转到了他的城市和他的班级，班上的他打架，抽烟喝酒所有不好的方面他都占了，他就在我的后排。因为全都是新同学，让本就有点内向的我变得更内向，同座是一个女孩，微胖的很友好，她主动给我介绍班里的同学远。当她介绍到他的时候没有了那么热情 只是让我离一点。,8581,9月28日 12:07
5179629182,3696533486,PW约书亚,出意外的话，这辈子也见不到,1,6分钟前
5179689808,3696533486,PW约书亚,你还满持久的吧,1,7分钟前
5179686831,3696533486,PW约书亚,你踩在人家头上约会？,1,8分钟前
5179698919,3696533486,PW约书亚,wifi开了吗,1,9分钟前
5179649187,125132125,WIllinois,祝平安,1,9分钟前
5179583614,3696533486,PW约书亚,橘桑，故乡的樱花又开了，我推你去看看吧,1,10分钟前
5179653167,344547905,桃色未幸免z,如果我说 我不想你走呢,1,14分钟前
5179628124,488254395,非洲小白脸dear,得不到的才是最好的，不信你看王思聪,1,17分钟前
5179610261,499691387,小天天的大成就,加油！！,1,28分钟前
5179579589,1674345568,陈讨厌001,会不会会不会,1,35分钟前
5179667824,1292934005,小亦要加油,加油，兄弟，祝你早日康复,1,36分钟前
5179560706,423764302,听歌的主子,唱的好好听,1,37分钟前
5179613139,1724495499,喝掉气泡水,她也许是装做的呢，谁知道呢,1,38分钟前
5179647022,1756355757,關伯蘭_沒愛,早日康复.会越来越好的,2,41分钟前
5179614084,2138039873,那就无所畏惧,唉～,1,46分钟前
5179635847,271672145,楊Yovr,我很爱她，我也没有毛病，她现在也爱着我。可她上一段感情里，带彼此回过家，她微信里有他的家人，我没有介意这些，但我很害怕很担心很慌，我不会输给你前任，你也说过我比他好，但直到现在我也没感受到你对我的肯定，你说他没我好可你肯定过他。我也想被深爱也想被你肯定，想和你一直一直一直在一起啊,2,11:23
5179642759,1877972569,龙吟长啸,如果冬天冷了，找不到暖处，就自己将手安放在自己的包里，别奢求太多，因为最后发现自己，谁也配不上，也无人问津呐。,3,11:20
5179636923,331414049,风临谷,你觉得你是渣女，我觉得不是，我说我真的喜欢，我说你很好，我说拜拜，我说我不甘心，我说谢谢你，我说就此别过，我说斯人若彩虹，然后我不知道忽然想起了点什么，扁着嘴，差点哭出声来。,1,11:19
5179658817,295078307,二百斤的鹿遥,两个版本都开始循环了，我还是更喜欢这个吉他版本哈哈哈,3,11:06
5179551583,364525162,甜杆子甜,她说我一直都很幼稚 可她怎么就不知道一个爱你的人 在你面前像个孩子一样 当他不在对你 像个孩子一样 说明他不爱你了.,1,11:02
