5176724008,1477962633,胖球球王师傅,先锋队！,0,12月7日 20:23
5175268882,3872125484,icu贵宾,想多了，你随便找个美声的辅导班随便找几个小屁孩基本都能胸腔发声，气息 音域 控制能力 音色等好不好 发声的只要合理，不说到顶尖，起码能大差不差,0,12月6日 00:45
5174712415,481378963,_我要_快乐_,发声位置不是应该根据每个人嗓音条件不同而改变吗，那种本身大厚嗓还用很多胸声也不行,1,12月5日 15:24
5171051869,99357526,溯__,I'm giving myself up to thee,0,11月30日 18:22
5168242139,3872125484,icu贵宾,我求求你能说句能说到点儿上的话吧，张嘴闭嘴全是pi话，没一点用，都说了，就这水平没讨论下去的必要了,0,11月27日 17:57
5168158337,121728481,Epiphonegjw,不知道的人还以为你是谁呢 笑死我了 快洗洗睡吧孩子,0,11月27日 16:11
5167979478,3872125484,icu贵宾,避重就轻的手段玩的真的次，如果你就这水平就没聊下去的必要了,0,11月27日 12:11
5168025070,3872125484,icu贵宾,倪哥闭嘴吧,0,11月27日 12:10
5167936927,121728481,Epiphonegjw,好家伙 你自己昵称ICU贵宾 说我人身攻击？笑死了,0,11月27日 08:49
5167793979,3872125484,icu贵宾,哦，也没见宁有啥高谈阔论啊？icu都不如不起码半截入土了？这主唱不说还以为是那个朋克小清新乐队出来的，跟其他女声金属比，几乎没有胸腔发声，声场、高音也很单薄，真假音转换腻的一批，所以宁的高谈阔论呢？连个唱功都不让评价就开始人身攻击了？,0,11月27日 00:59
5167628504,1515175131,稼雾,。。。 虽然我能理解有时候可能听惯了男声死嗓什么的会觉得女声不够带劲，但是我觉得这首歌女声表现很好啊？而且这首歌很明显的女声主唱，这么说就有点阴阳了吧。。。。。,2,11月26日 23:53
5167212315,121728481,Epiphonegjw,不愧是ICU贵宾啊,0,11月26日 14:57
5166728760,3872125484,icu贵宾,@为啥昵称不能少于俩个字符 描述你自己描述的很准确，经典生活不如意，骂完就拉黑，还以为你能有啥高谈阔论呢，水平就这？,1,11月25日 21:50
5166253040,3400291345,为啥昵称不能少于俩个字符,指点江山有一套，本事没多少，网上重拳出击指指点点。真可怜的人,0,11月25日 10:57
5166231315,3400291345,为啥昵称不能少于俩个字符,是不是生活压力大，很自卑还得替听催眠曲才睡得着？,0,11月25日 10:56
5165342819,3872125484,icu贵宾,the shinning path —tristania，Haggard，temptation，随便找个女声金属都比这好不少吧？这女声真是又腻也听不出唱功,0,11月24日 00:43
5165203662,3872125484,icu贵宾,一看你听的歌，笑死我,0,11月24日 00:13
5163865699,121728481,Epiphonegjw,老懂王了,0,11月22日 14:12
3601192345,430345046,粉色胡须,难道你们都不是前奏一起来就爱上这首歌了吗？？？？？？？？？？？？？？？？,0,11月10日 14:22
3601185127,35516613,冥了个冥,妈耶...🌚这吼的起皮疙瘩了我,0,11月10日 13:20
