5179977801,1479758437,放过小袁叭_,20年了你们有结果了吗,0,27分钟前
5179880909,449024046,向欧_fly,上次听这首歌还是16年读大学的时候，现在已经毕业快3年了,0,14:39
5179776011,109083143,黑猫碳,还不是 不能怎样,0,14:01
5179705224,1875558201,月是人间散客卿是人间绝色,会,0,13:11
5179656306,508442625,来日方长2y,会,0,12:30
5179712913,472188101,心动止于小王,男生总是会把对前任的亏欠弥补到现任，而女生则会把前任留的阴影施加在现任身上.,1,12:26
5179710938,329795505,杨枝甘露life,额实实在在智能芯片拍 西直门站妈妈妈妈妈妈啊妈妈啊妈妈MMA照片制作zmzmamPzzzzzzzzzzzzzzzzsptryryillo,0,12:25
5179630085,1673207523,清淡椒,会,0,12:09
5179543619,1920191923,小王不想听话_,走过我们曾经一起走过的路，你还会想起我吗，去过我们一起去过的饭店，你还会想起我吗，我想你不会吧,0,11:18
5179511626,1927065356,学会czx,gss 跟你说哈，我决定不继续惦记你了，这次我真的要放弃你了，我准备开始尝试接受其他人了,1,10:08
5179506613,1927065356,学会czx,终于有个地方，可以诉说自己憋在心里的话了，一年了，你身边有了另一个她，朋友和家人说她和我有几分相似，我有想过这一天，当你身边出站另一个人，我就告诉自己一定要彻底死心，不过神奇的事情是，我没有哭，但是难受，这种难受无力发泄，可能是一个人一年多从感性到理性吧，或许其他～,0,09:58
5179567142,1773268613,2112474668,聋子听见哑巴说瞎子看见了爱,0,09:38
5179551123,1673500997,柒-公子1811,泰戈尔在《飞鸟集》中有一句诗： 白日尽头，我站在你面前，你将看到我的伤疤，知道我曾受伤，也曾痊愈。,0,09:13
5179521270,1673225123,浪小白NUMB,但我不甘心,0,08:38
5179503351,1972704450,柒岁鸭_7Gkg,错过就是错过，现在他能为更好的人离开你，以后也是……,0,08:22
5179502074,1972538332,听之倾聆,记忆,2,06:13
5179475247,286110221,SpillingFlake,会有个好结果的 我相信,0,05:13
5179441590,286110221,SpillingFlake,我都说了啊 你不用嫁过来 我可以去你那里的 没关系的 我会跟爸妈好好商量的,0,05:13
5179477225,286110221,SpillingFlake,没有争吵 没有出轨 没有猜忌 两个人互相爱着对方 只是南北的距离就能把我们分开吗 难过,2,05:12
5179487973,1362063966,烧鸡扯一半给我,只不过是权衡利弊后而已....,0,03:04
